dataset	sample_id	source_sample_name	biosample	condition	stage	tissue	sex	infection_mode	treatment	time_hours	batch	replicate	technical_runs
PRJEB14695	ovary_single_sex_r1	Schistosoma_mansoni_ovaries__single_sex_infection-sc-1878515	SAMEA2395931	ovary_single_sex	adult	ovary	female	single_sex	untreated	not_applicable	not_declared	1	6
PRJEB14695	ovary_single_sex_r2	Schistosoma_mansoni_ovaries__single_sex_infection-sc-1878516	SAMEA2395932	ovary_single_sex	adult	ovary	female	single_sex	untreated	not_applicable	not_declared	2	6
PRJEB14695	ovary_mixed_sex_r1	Schistosoma_mansoni_ovaries__mixed_sex_infection-sc-1878517	SAMEA2395933	ovary_mixed_sex	adult	ovary	female	mixed_sex	untreated	not_applicable	not_declared	1	6
PRJEB14695	ovary_mixed_sex_r2	Schistosoma_mansoni_ovaries__mixed_sex_infection-sc-1878518	SAMEA2395934	ovary_mixed_sex	adult	ovary	female	mixed_sex	untreated	not_applicable	not_declared	2	6
PRJEB14695	ovary_mixed_sex_r3	Schistosoma_mansoni_ovaries__mixed_sex_infection-sc-1878519	SAMEA2395935	ovary_mixed_sex	adult	ovary	female	mixed_sex	untreated	not_applicable	not_declared	3	6
PRJEB14695	whole_female_mixed_sex_r1	Schistosoma_mansoni__whole_female_from_mixed_infection-sc-1878520	SAMEA2395936	whole_female_mixed_sex	adult	whole_worm	female	mixed_sex	untreated	not_applicable	not_declared	1	6
PRJEB14695	testis_single_sex_r1	Schistosoma_mansoni__testes_from_single_sex_infection-sc-1878521	SAMEA2395937	testis_single_sex	adult	testis	male	single_sex	untreated	not_applicable	not_declared	1	6
PRJEB14695	testis_single_sex_r2	Schistosoma_mansoni__testes_from_single_sex_infection-sc-1878522	SAMEA2395938	testis_single_sex	adult	testis	male	single_sex	untreated	not_applicable	not_declared	2	6
PRJEB14695	testis_mixed_sex_r1	Schistosoma_mansoni__testes_from_mixed_sex_infection-sc-1878523	SAMEA2395939	testis_mixed_sex	adult	testis	male	mixed_sex	untreated	not_applicable	not_declared	1	6
PRJEB14695	testis_mixed_sex_r2	Schistosoma_mansoni__testes_from_mixed_sex_infection-sc-1878524	SAMEA2395940	testis_mixed_sex	adult	testis	male	mixed_sex	untreated	not_applicable	not_declared	2	6
PRJEB14695	testis_mixed_sex_r3	Schistosoma_mansoni__testes_from_mixed_sex_infection-sc-1878525	SAMEA2395941	testis_mixed_sex	adult	testis	male	mixed_sex	untreated	not_applicable	not_declared	3	6
PRJEB14695	whole_male_mixed_sex_r1	Schistosoma_mansoni__whole_male_from_mixed_sex_infection-sc-1878526	SAMEA2395942	whole_male_mixed_sex	adult	whole_worm	male	mixed_sex	untreated	not_applicable	not_declared	1	6
PRJEB14695	whole_female_mixed_sex_r2	Schistosoma_mansoni__whole_female_from_mixed_infection-sc-1878527	SAMEA2395943	whole_female_mixed_sex	adult	whole_worm	female	mixed_sex	untreated	not_applicable	not_declared	2	6
PRJEB14695	whole_female_mixed_sex_r3	Schistosoma_mansoni__whole_female_from_mixed_infection-sc-1878528	SAMEA2395944	whole_female_mixed_sex	adult	whole_worm	female	mixed_sex	untreated	not_applicable	not_declared	3	6
PRJEB14695	testis_single_sex_r3	Schistosoma_mansoni__testes_from_single_sex_infection-sc-1878529	SAMEA2395945	testis_single_sex	adult	testis	male	single_sex	untreated	not_applicable	not_declared	3	6
PRJEB14695	whole_male_single_sex_r1	Schistosoma_mansoni__whole_male_from_single_sex_infection-sc-1878530	SAMEA2395946	whole_male_single_sex	adult	whole_worm	male	single_sex	untreated	not_applicable	not_declared	1	6
PRJEB14695	whole_male_single_sex_r2	Schistosoma_mansoni__whole_male_from_single_sex_infection-sc-1878531	SAMEA2395947	whole_male_single_sex	adult	whole_worm	male	single_sex	untreated	not_applicable	not_declared	2	6
PRJEB14695	whole_male_single_sex_r3	Schistosoma_mansoni__whole_male_from_single_sex_infection-sc-1878532	SAMEA2395948	whole_male_single_sex	adult	whole_worm	male	single_sex	untreated	not_applicable	not_declared	3	6
PRJEB14695	whole_male_mixed_sex_r2	Schistosoma_mansoni__whole_male_from_mixed_sex_infection-sc-1878533	SAMEA2395949	whole_male_mixed_sex	adult	whole_worm	male	mixed_sex	untreated	not_applicable	not_declared	2	6
PRJEB14695	whole_male_mixed_sex_r3	Schistosoma_mansoni__whole_male_from_mixed_sex_infection-sc-1878534	SAMEA2395950	whole_male_mixed_sex	adult	whole_worm	male	mixed_sex	untreated	not_applicable	not_declared	3	6
PRJEB14695	whole_female_single_sex_r1	Schistosoma_mansoni__whole_female_from_single_sex_infection-sc-1878535	SAMEA2395951	whole_female_single_sex	adult	whole_worm	female	single_sex	untreated	not_applicable	not_declared	1	6
PRJEB14695	whole_female_single_sex_r2	Schistosoma_mansoni__whole_female_from_single_sex_infection-sc-1878536	SAMEA2395952	whole_female_single_sex	adult	whole_worm	female	single_sex	untreated	not_applicable	not_declared	2	6
PRJEB14695	whole_female_single_sex_r3	Schistosoma_mansoni__whole_female_from_single_sex_infection-sc-1878537	SAMEA2395953	whole_female_single_sex	adult	whole_worm	female	single_sex	untreated	not_applicable	not_declared	3	6
