dataset	sample_id	run_accession	biosample	secondary_biosample	experiment_accession	technical_unit	library_name	library_layout	fastq_1_url	fastq_2_url	fastq_1_md5	fastq_2_md5	fastq_1_bytes	fastq_2_bytes	read_count	base_count	ena_first_public	ena_query_url
PRJNA597909	adult_control_r1	SRR10776771	SAMN13691171	SRS5894836	SRX7450674	run_1	ADULT_CTRL_A	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/071/SRR10776771/SRR10776771_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/071/SRR10776771/SRR10776771_2.fastq.gz	2867ef8f3cd86956de8c0c9e3b098c30	42bbf23de9b3ebfb95327dcb83a0afa7	843165681	884848657	22867024	2332436448	2020-01-22	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJNA597909&result=read_run&fields=study_accession%2Csecondary_study_accession%2Crun_accession%2Cexperiment_accession%2Csample_accession%2Csecondary_sample_accession%2Csample_alias%2Csample_title%2Csample_description%2Cexperiment_title%2Clibrary_name%2Clibrary_layout%2Clibrary_strategy%2Clibrary_source%2Clibrary_selection%2Cinstrument_platform%2Cinstrument_model%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes%2Cread_count%2Cbase_count%2Cfirst_public&format=tsv&download=false
PRJNA597909	adult_control_r2	SRR10776770	SAMN13691172	SRS5894837	SRX7450675	run_1	ADULT_CTRL_B	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/070/SRR10776770/SRR10776770_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/070/SRR10776770/SRR10776770_2.fastq.gz	69f7c551dd16722e3b3a694094d2797a	cca1d3e2999c8c6fa2275b5a2d1e602d	875442441	927360454	23862425	2433967350	2020-01-22	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJNA597909&result=read_run&fields=study_accession%2Csecondary_study_accession%2Crun_accession%2Cexperiment_accession%2Csample_accession%2Csecondary_sample_accession%2Csample_alias%2Csample_title%2Csample_description%2Cexperiment_title%2Clibrary_name%2Clibrary_layout%2Clibrary_strategy%2Clibrary_source%2Clibrary_selection%2Cinstrument_platform%2Cinstrument_model%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes%2Cread_count%2Cbase_count%2Cfirst_public&format=tsv&download=false
PRJNA597909	adult_control_r3	SRR10776769	SAMN13691173	SRS5894838	SRX7450676	run_1	ADULT_CTRL_C	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/069/SRR10776769/SRR10776769_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/069/SRR10776769/SRR10776769_2.fastq.gz	230aae71593585d695cd760b2ed60a4a	36bc087eb7427efc704437eabdf56ce9	888568389	932718813	24014650	2449494300	2020-01-22	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJNA597909&result=read_run&fields=study_accession%2Csecondary_study_accession%2Crun_accession%2Cexperiment_accession%2Csample_accession%2Csecondary_sample_accession%2Csample_alias%2Csample_title%2Csample_description%2Cexperiment_title%2Clibrary_name%2Clibrary_layout%2Clibrary_strategy%2Clibrary_source%2Clibrary_selection%2Cinstrument_platform%2Cinstrument_model%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes%2Cread_count%2Cbase_count%2Cfirst_public&format=tsv&download=false
PRJNA597909	adult_control_r4	SRR10776768	SAMN13691174	SRS5894839	SRX7450677	run_1	ADULT_CTRL_D	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/068/SRR10776768/SRR10776768_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/068/SRR10776768/SRR10776768_2.fastq.gz	4272128567e679d932962f67a2667110	08e871200ba11c8efc62ae5fd49d62bf	862261970	921948994	23367890	2383524780	2020-01-22	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJNA597909&result=read_run&fields=study_accession%2Csecondary_study_accession%2Crun_accession%2Cexperiment_accession%2Csample_accession%2Csecondary_sample_accession%2Csample_alias%2Csample_title%2Csample_description%2Cexperiment_title%2Clibrary_name%2Clibrary_layout%2Clibrary_strategy%2Clibrary_source%2Clibrary_selection%2Cinstrument_platform%2Cinstrument_model%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes%2Cread_count%2Cbase_count%2Cfirst_public&format=tsv&download=false
PRJNA597909	adult_control_r5	SRR10776767	SAMN13691175	SRS5894840	SRX7450678	run_1	ADULT_CTRL_E	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/067/SRR10776767/SRR10776767_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/067/SRR10776767/SRR10776767_2.fastq.gz	00b9849af1672a59a54223d86032d965	6caeb35a39080db6a0e04dc4f01656d9	818815834	861328145	22108386	2255055372	2020-01-22	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJNA597909&result=read_run&fields=study_accession%2Csecondary_study_accession%2Crun_accession%2Cexperiment_accession%2Csample_accession%2Csecondary_sample_accession%2Csample_alias%2Csample_title%2Csample_description%2Cexperiment_title%2Clibrary_name%2Clibrary_layout%2Clibrary_strategy%2Clibrary_source%2Clibrary_selection%2Cinstrument_platform%2Cinstrument_model%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes%2Cread_count%2Cbase_count%2Cfirst_public&format=tsv&download=false
PRJNA597909	adult_pzq_r1	SRR10776766	SAMN13691176	SRS5894841	SRX7450679	run_1	ADULT_PZQ_A	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/066/SRR10776766/SRR10776766_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/066/SRR10776766/SRR10776766_2.fastq.gz	c27ba1cd5a992e2b98398af2fbacdfa3	1a8f7dfd3f4f9efb162c5744a64f5343	800758739	840233870	21779295	2221488090	2020-01-22	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJNA597909&result=read_run&fields=study_accession%2Csecondary_study_accession%2Crun_accession%2Cexperiment_accession%2Csample_accession%2Csecondary_sample_accession%2Csample_alias%2Csample_title%2Csample_description%2Cexperiment_title%2Clibrary_name%2Clibrary_layout%2Clibrary_strategy%2Clibrary_source%2Clibrary_selection%2Cinstrument_platform%2Cinstrument_model%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes%2Cread_count%2Cbase_count%2Cfirst_public&format=tsv&download=false
PRJNA597909	adult_pzq_r2	SRR10776765	SAMN13691177	SRS5894842	SRX7450680	run_1	ADULT_PZQ_B	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/065/SRR10776765/SRR10776765_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/065/SRR10776765/SRR10776765_2.fastq.gz	bb84491462b58771f1cb01db4ee2c6a2	a48f320bb9eba2d7f19a695932b47ba6	881147993	952898672	23913401	2439166902	2020-01-22	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJNA597909&result=read_run&fields=study_accession%2Csecondary_study_accession%2Crun_accession%2Cexperiment_accession%2Csample_accession%2Csecondary_sample_accession%2Csample_alias%2Csample_title%2Csample_description%2Cexperiment_title%2Clibrary_name%2Clibrary_layout%2Clibrary_strategy%2Clibrary_source%2Clibrary_selection%2Cinstrument_platform%2Cinstrument_model%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes%2Cread_count%2Cbase_count%2Cfirst_public&format=tsv&download=false
PRJNA597909	adult_pzq_r3	SRR10776764	SAMN13691178	SRS5894843	SRX7450681	run_1	ADULT_PZQ_C	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/064/SRR10776764/SRR10776764_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/064/SRR10776764/SRR10776764_2.fastq.gz	05c9bdabcae9dfeea8fb643efba2bb69	5835015d37a79030910d2bd4b95d6f91	803782127	844596147	21619517	2205190734	2020-01-22	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJNA597909&result=read_run&fields=study_accession%2Csecondary_study_accession%2Crun_accession%2Cexperiment_accession%2Csample_accession%2Csecondary_sample_accession%2Csample_alias%2Csample_title%2Csample_description%2Cexperiment_title%2Clibrary_name%2Clibrary_layout%2Clibrary_strategy%2Clibrary_source%2Clibrary_selection%2Cinstrument_platform%2Cinstrument_model%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes%2Cread_count%2Cbase_count%2Cfirst_public&format=tsv&download=false
PRJNA597909	adult_pzq_r4	SRR10776763	SAMN13691179	SRS5894844	SRX7450682	run_1	ADULT_PZQ_D	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/063/SRR10776763/SRR10776763_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/063/SRR10776763/SRR10776763_2.fastq.gz	d85dd00bbc61d6809dee5ff68c12d14a	c312bf8b2a0736ce43b4235861b091d4	886007569	920161510	23961952	2444119104	2020-01-22	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJNA597909&result=read_run&fields=study_accession%2Csecondary_study_accession%2Crun_accession%2Cexperiment_accession%2Csample_accession%2Csecondary_sample_accession%2Csample_alias%2Csample_title%2Csample_description%2Cexperiment_title%2Clibrary_name%2Clibrary_layout%2Clibrary_strategy%2Clibrary_source%2Clibrary_selection%2Cinstrument_platform%2Cinstrument_model%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes%2Cread_count%2Cbase_count%2Cfirst_public&format=tsv&download=false
PRJNA597909	adult_pzq_r5	SRR10776762	SAMN13691180	SRS5894845	SRX7450683	run_1	ADULT_PZQ_E	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/062/SRR10776762/SRR10776762_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/062/SRR10776762/SRR10776762_2.fastq.gz	d8d023c0724f6f23ac8a02d1dfc9e8fb	2072cc5c6f5288dcbf0a336c1653c7c4	930100221	977155352	25196440	2570036880	2020-01-22	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJNA597909&result=read_run&fields=study_accession%2Csecondary_study_accession%2Crun_accession%2Cexperiment_accession%2Csample_accession%2Csecondary_sample_accession%2Csample_alias%2Csample_title%2Csample_description%2Cexperiment_title%2Clibrary_name%2Clibrary_layout%2Clibrary_strategy%2Clibrary_source%2Clibrary_selection%2Cinstrument_platform%2Cinstrument_model%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes%2Cread_count%2Cbase_count%2Cfirst_public&format=tsv&download=false
