study	sample	run	layout	stage	sex	tissue	condition	treatment	time	replicate	batch	source
PRJNA602528	pzq_0h	SRR10947824	PAIRED	adult	mixed_paired	whole_worm_pair	time_0h	pzq_400mgkg	0	1	not_declared	ENA
PRJNA602528	pzq_0p25h	SRR10947823	PAIRED	adult	mixed_paired	whole_worm_pair	time_0p25h	pzq_400mgkg	0.25	1	not_declared	ENA
PRJNA602528	pzq_12h	SRR10947818	PAIRED	adult	mixed_paired	whole_worm_pair	time_12h	pzq_400mgkg	12	1	not_declared	ENA
PRJNA602528	pzq_1h	SRR10947822	PAIRED	adult	mixed_paired	whole_worm_pair	time_1h	pzq_400mgkg	1	1	not_declared	ENA
PRJNA602528	pzq_24h	SRR10947817	PAIRED	adult	mixed_paired	whole_worm_pair	time_24h	pzq_400mgkg	24	1	not_declared	ENA
PRJNA602528	pzq_3h	SRR10947821	PAIRED	adult	mixed_paired	whole_worm_pair	time_3h	pzq_400mgkg	3	1	not_declared	ENA
PRJNA602528	pzq_48h	SRR10947816	PAIRED	adult	mixed_paired	whole_worm_pair	time_48h	pzq_400mgkg	48	1	not_declared	ENA
PRJNA602528	pzq_6h	SRR10947820	PAIRED	adult	mixed_paired	whole_worm_pair	time_6h	pzq_400mgkg	6	1	not_declared	ENA
PRJNA602528	pzq_96h	SRR10947815	PAIRED	adult	mixed_paired	whole_worm_pair	time_96h	pzq_400mgkg	96	1	not_declared	ENA
PRJNA602528	pzq_9h	SRR10947819	PAIRED	adult	mixed_paired	whole_worm_pair	time_9h	pzq_400mgkg	9	1	not_declared	ENA
PRJNA597909	adult_control_r1	SRR10776771	PAIRED	adult	mixed_paired	whole_worm_pair	adult_control	control	14	1	not_declared	ENA
PRJNA597909	adult_control_r2	SRR10776770	PAIRED	adult	mixed_paired	whole_worm_pair	adult_control	control	14	2	not_declared	ENA
PRJNA597909	adult_control_r3	SRR10776769	PAIRED	adult	mixed_paired	whole_worm_pair	adult_control	control	14	3	not_declared	ENA
PRJNA597909	adult_control_r4	SRR10776768	PAIRED	adult	mixed_paired	whole_worm_pair	adult_control	control	14	4	not_declared	ENA
PRJNA597909	adult_control_r5	SRR10776767	PAIRED	adult	mixed_paired	whole_worm_pair	adult_control	control	14	5	not_declared	ENA
PRJNA597909	adult_pzq_r1	SRR10776766	PAIRED	adult	mixed_paired	whole_worm_pair	adult_pzq	pzq_100mgkg_14h	14	1	not_declared	ENA
PRJNA597909	adult_pzq_r2	SRR10776765	PAIRED	adult	mixed_paired	whole_worm_pair	adult_pzq	pzq_100mgkg_14h	14	2	not_declared	ENA
PRJNA597909	adult_pzq_r3	SRR10776764	PAIRED	adult	mixed_paired	whole_worm_pair	adult_pzq	pzq_100mgkg_14h	14	3	not_declared	ENA
PRJNA597909	adult_pzq_r4	SRR10776763	PAIRED	adult	mixed_paired	whole_worm_pair	adult_pzq	pzq_100mgkg_14h	14	4	not_declared	ENA
PRJNA597909	adult_pzq_r5	SRR10776762	PAIRED	adult	mixed_paired	whole_worm_pair	adult_pzq	pzq_100mgkg_14h	14	5	not_declared	ENA
PRJNA597909	juvenile_control_r1	SRR10776773	PAIRED	juvenile	mixed_paired	whole_worm_pair	juvenile_control	control	14	1	not_declared	ENA
PRJNA597909	juvenile_control_r2	SRR10776772	PAIRED	juvenile	mixed_paired	whole_worm_pair	juvenile_control	control	14	2	not_declared	ENA
PRJNA597909	juvenile_control_r3	SRR10776761	PAIRED	juvenile	mixed_paired	whole_worm_pair	juvenile_control	control	14	3	not_declared	ENA
PRJNA597909	juvenile_control_r4	SRR10776760	PAIRED	juvenile	mixed_paired	whole_worm_pair	juvenile_control	control	14	4	not_declared	ENA
PRJNA597909	juvenile_control_r5	SRR10776759	PAIRED	juvenile	mixed_paired	whole_worm_pair	juvenile_control	control	14	5	not_declared	ENA
PRJNA597909	juvenile_pzq_r1	SRR10776758	PAIRED	juvenile	mixed_paired	whole_worm_pair	juvenile_pzq	pzq_100mgkg_14h	14	1	not_declared	ENA
PRJNA597909	juvenile_pzq_r2	SRR10776757	PAIRED	juvenile	mixed_paired	whole_worm_pair	juvenile_pzq	pzq_100mgkg_14h	14	2	not_declared	ENA
PRJNA597909	juvenile_pzq_r3	SRR10776756	PAIRED	juvenile	mixed_paired	whole_worm_pair	juvenile_pzq	pzq_100mgkg_14h	14	3	not_declared	ENA
PRJNA597909	juvenile_pzq_r4	SRR10776755	PAIRED	juvenile	mixed_paired	whole_worm_pair	juvenile_pzq	pzq_100mgkg_14h	14	4	not_declared	ENA
PRJNA597909	juvenile_pzq_r5	SRR10776754	PAIRED	juvenile	mixed_paired	whole_worm_pair	juvenile_pzq	pzq_100mgkg_14h	14	5	not_declared	ENA
PRJEB14695	ovary_mixed_sex_r1	ERR506073	PAIRED	adult	female	ovary	ovary_mixed_sex	untreated	not_applicable	1	not_declared	ENA
PRJEB14695	ovary_mixed_sex_r1	ERR506097	PAIRED	adult	female	ovary	ovary_mixed_sex	untreated	not_applicable	1	not_declared	ENA
PRJEB14695	ovary_mixed_sex_r1	ERR667051	PAIRED	adult	female	ovary	ovary_mixed_sex	untreated	not_applicable	1	not_declared	ENA
PRJEB14695	ovary_mixed_sex_r1	ERR667075	PAIRED	adult	female	ovary	ovary_mixed_sex	untreated	not_applicable	1	not_declared	ENA
PRJEB14695	ovary_mixed_sex_r1	ERR667099	PAIRED	adult	female	ovary	ovary_mixed_sex	untreated	not_applicable	1	not_declared	ENA
PRJEB14695	ovary_mixed_sex_r1	ERR667123	PAIRED	adult	female	ovary	ovary_mixed_sex	untreated	not_applicable	1	not_declared	ENA
PRJEB14695	ovary_mixed_sex_r2	ERR506074	PAIRED	adult	female	ovary	ovary_mixed_sex	untreated	not_applicable	2	not_declared	ENA
PRJEB14695	ovary_mixed_sex_r2	ERR506098	PAIRED	adult	female	ovary	ovary_mixed_sex	untreated	not_applicable	2	not_declared	ENA
PRJEB14695	ovary_mixed_sex_r2	ERR667052	PAIRED	adult	female	ovary	ovary_mixed_sex	untreated	not_applicable	2	not_declared	ENA
PRJEB14695	ovary_mixed_sex_r2	ERR667076	PAIRED	adult	female	ovary	ovary_mixed_sex	untreated	not_applicable	2	not_declared	ENA
PRJEB14695	ovary_mixed_sex_r2	ERR667100	PAIRED	adult	female	ovary	ovary_mixed_sex	untreated	not_applicable	2	not_declared	ENA
PRJEB14695	ovary_mixed_sex_r2	ERR667124	PAIRED	adult	female	ovary	ovary_mixed_sex	untreated	not_applicable	2	not_declared	ENA
PRJEB14695	ovary_mixed_sex_r3	ERR506075	PAIRED	adult	female	ovary	ovary_mixed_sex	untreated	not_applicable	3	not_declared	ENA
PRJEB14695	ovary_mixed_sex_r3	ERR506099	PAIRED	adult	female	ovary	ovary_mixed_sex	untreated	not_applicable	3	not_declared	ENA
PRJEB14695	ovary_mixed_sex_r3	ERR667053	PAIRED	adult	female	ovary	ovary_mixed_sex	untreated	not_applicable	3	not_declared	ENA
PRJEB14695	ovary_mixed_sex_r3	ERR667077	PAIRED	adult	female	ovary	ovary_mixed_sex	untreated	not_applicable	3	not_declared	ENA
PRJEB14695	ovary_mixed_sex_r3	ERR667101	PAIRED	adult	female	ovary	ovary_mixed_sex	untreated	not_applicable	3	not_declared	ENA
PRJEB14695	ovary_mixed_sex_r3	ERR667125	PAIRED	adult	female	ovary	ovary_mixed_sex	untreated	not_applicable	3	not_declared	ENA
PRJEB14695	ovary_single_sex_r1	ERR506071	PAIRED	adult	female	ovary	ovary_single_sex	untreated	not_applicable	1	not_declared	ENA
PRJEB14695	ovary_single_sex_r1	ERR506095	PAIRED	adult	female	ovary	ovary_single_sex	untreated	not_applicable	1	not_declared	ENA
PRJEB14695	ovary_single_sex_r1	ERR667049	PAIRED	adult	female	ovary	ovary_single_sex	untreated	not_applicable	1	not_declared	ENA
PRJEB14695	ovary_single_sex_r1	ERR667073	PAIRED	adult	female	ovary	ovary_single_sex	untreated	not_applicable	1	not_declared	ENA
PRJEB14695	ovary_single_sex_r1	ERR667097	PAIRED	adult	female	ovary	ovary_single_sex	untreated	not_applicable	1	not_declared	ENA
PRJEB14695	ovary_single_sex_r1	ERR667121	PAIRED	adult	female	ovary	ovary_single_sex	untreated	not_applicable	1	not_declared	ENA
PRJEB14695	ovary_single_sex_r2	ERR506072	PAIRED	adult	female	ovary	ovary_single_sex	untreated	not_applicable	2	not_declared	ENA
PRJEB14695	ovary_single_sex_r2	ERR506096	PAIRED	adult	female	ovary	ovary_single_sex	untreated	not_applicable	2	not_declared	ENA
PRJEB14695	ovary_single_sex_r2	ERR667050	PAIRED	adult	female	ovary	ovary_single_sex	untreated	not_applicable	2	not_declared	ENA
PRJEB14695	ovary_single_sex_r2	ERR667074	PAIRED	adult	female	ovary	ovary_single_sex	untreated	not_applicable	2	not_declared	ENA
PRJEB14695	ovary_single_sex_r2	ERR667098	PAIRED	adult	female	ovary	ovary_single_sex	untreated	not_applicable	2	not_declared	ENA
PRJEB14695	ovary_single_sex_r2	ERR667122	PAIRED	adult	female	ovary	ovary_single_sex	untreated	not_applicable	2	not_declared	ENA
PRJEB14695	testis_mixed_sex_r1	ERR506079	PAIRED	adult	male	testis	testis_mixed_sex	untreated	not_applicable	1	not_declared	ENA
PRJEB14695	testis_mixed_sex_r1	ERR506103	PAIRED	adult	male	testis	testis_mixed_sex	untreated	not_applicable	1	not_declared	ENA
PRJEB14695	testis_mixed_sex_r1	ERR667057	PAIRED	adult	male	testis	testis_mixed_sex	untreated	not_applicable	1	not_declared	ENA
PRJEB14695	testis_mixed_sex_r1	ERR667081	PAIRED	adult	male	testis	testis_mixed_sex	untreated	not_applicable	1	not_declared	ENA
PRJEB14695	testis_mixed_sex_r1	ERR667105	PAIRED	adult	male	testis	testis_mixed_sex	untreated	not_applicable	1	not_declared	ENA
PRJEB14695	testis_mixed_sex_r1	ERR667129	PAIRED	adult	male	testis	testis_mixed_sex	untreated	not_applicable	1	not_declared	ENA
PRJEB14695	testis_mixed_sex_r2	ERR506080	PAIRED	adult	male	testis	testis_mixed_sex	untreated	not_applicable	2	not_declared	ENA
PRJEB14695	testis_mixed_sex_r2	ERR506104	PAIRED	adult	male	testis	testis_mixed_sex	untreated	not_applicable	2	not_declared	ENA
PRJEB14695	testis_mixed_sex_r2	ERR667058	PAIRED	adult	male	testis	testis_mixed_sex	untreated	not_applicable	2	not_declared	ENA
PRJEB14695	testis_mixed_sex_r2	ERR667082	PAIRED	adult	male	testis	testis_mixed_sex	untreated	not_applicable	2	not_declared	ENA
PRJEB14695	testis_mixed_sex_r2	ERR667106	PAIRED	adult	male	testis	testis_mixed_sex	untreated	not_applicable	2	not_declared	ENA
PRJEB14695	testis_mixed_sex_r2	ERR667130	PAIRED	adult	male	testis	testis_mixed_sex	untreated	not_applicable	2	not_declared	ENA
PRJEB14695	testis_mixed_sex_r3	ERR506081	PAIRED	adult	male	testis	testis_mixed_sex	untreated	not_applicable	3	not_declared	ENA
PRJEB14695	testis_mixed_sex_r3	ERR506105	PAIRED	adult	male	testis	testis_mixed_sex	untreated	not_applicable	3	not_declared	ENA
PRJEB14695	testis_mixed_sex_r3	ERR667059	PAIRED	adult	male	testis	testis_mixed_sex	untreated	not_applicable	3	not_declared	ENA
PRJEB14695	testis_mixed_sex_r3	ERR667083	PAIRED	adult	male	testis	testis_mixed_sex	untreated	not_applicable	3	not_declared	ENA
PRJEB14695	testis_mixed_sex_r3	ERR667107	PAIRED	adult	male	testis	testis_mixed_sex	untreated	not_applicable	3	not_declared	ENA
PRJEB14695	testis_mixed_sex_r3	ERR667131	PAIRED	adult	male	testis	testis_mixed_sex	untreated	not_applicable	3	not_declared	ENA
PRJEB14695	testis_single_sex_r1	ERR506077	PAIRED	adult	male	testis	testis_single_sex	untreated	not_applicable	1	not_declared	ENA
PRJEB14695	testis_single_sex_r1	ERR506101	PAIRED	adult	male	testis	testis_single_sex	untreated	not_applicable	1	not_declared	ENA
PRJEB14695	testis_single_sex_r1	ERR667055	PAIRED	adult	male	testis	testis_single_sex	untreated	not_applicable	1	not_declared	ENA
PRJEB14695	testis_single_sex_r1	ERR667079	PAIRED	adult	male	testis	testis_single_sex	untreated	not_applicable	1	not_declared	ENA
PRJEB14695	testis_single_sex_r1	ERR667103	PAIRED	adult	male	testis	testis_single_sex	untreated	not_applicable	1	not_declared	ENA
PRJEB14695	testis_single_sex_r1	ERR667127	PAIRED	adult	male	testis	testis_single_sex	untreated	not_applicable	1	not_declared	ENA
PRJEB14695	testis_single_sex_r2	ERR506078	PAIRED	adult	male	testis	testis_single_sex	untreated	not_applicable	2	not_declared	ENA
PRJEB14695	testis_single_sex_r2	ERR506102	PAIRED	adult	male	testis	testis_single_sex	untreated	not_applicable	2	not_declared	ENA
PRJEB14695	testis_single_sex_r2	ERR667056	PAIRED	adult	male	testis	testis_single_sex	untreated	not_applicable	2	not_declared	ENA
PRJEB14695	testis_single_sex_r2	ERR667080	PAIRED	adult	male	testis	testis_single_sex	untreated	not_applicable	2	not_declared	ENA
PRJEB14695	testis_single_sex_r2	ERR667104	PAIRED	adult	male	testis	testis_single_sex	untreated	not_applicable	2	not_declared	ENA
PRJEB14695	testis_single_sex_r2	ERR667128	PAIRED	adult	male	testis	testis_single_sex	untreated	not_applicable	2	not_declared	ENA
PRJEB14695	testis_single_sex_r3	ERR506085	PAIRED	adult	male	testis	testis_single_sex	untreated	not_applicable	3	not_declared	ENA
PRJEB14695	testis_single_sex_r3	ERR506109	PAIRED	adult	male	testis	testis_single_sex	untreated	not_applicable	3	not_declared	ENA
PRJEB14695	testis_single_sex_r3	ERR667063	PAIRED	adult	male	testis	testis_single_sex	untreated	not_applicable	3	not_declared	ENA
PRJEB14695	testis_single_sex_r3	ERR667087	PAIRED	adult	male	testis	testis_single_sex	untreated	not_applicable	3	not_declared	ENA
PRJEB14695	testis_single_sex_r3	ERR667111	PAIRED	adult	male	testis	testis_single_sex	untreated	not_applicable	3	not_declared	ENA
PRJEB14695	testis_single_sex_r3	ERR667135	PAIRED	adult	male	testis	testis_single_sex	untreated	not_applicable	3	not_declared	ENA
PRJEB14695	whole_female_mixed_sex_r1	ERR506076	PAIRED	adult	female	whole_worm	whole_female_mixed_sex	untreated	not_applicable	1	not_declared	ENA
PRJEB14695	whole_female_mixed_sex_r1	ERR506100	PAIRED	adult	female	whole_worm	whole_female_mixed_sex	untreated	not_applicable	1	not_declared	ENA
PRJEB14695	whole_female_mixed_sex_r1	ERR667054	PAIRED	adult	female	whole_worm	whole_female_mixed_sex	untreated	not_applicable	1	not_declared	ENA
PRJEB14695	whole_female_mixed_sex_r1	ERR667078	PAIRED	adult	female	whole_worm	whole_female_mixed_sex	untreated	not_applicable	1	not_declared	ENA
PRJEB14695	whole_female_mixed_sex_r1	ERR667102	PAIRED	adult	female	whole_worm	whole_female_mixed_sex	untreated	not_applicable	1	not_declared	ENA
PRJEB14695	whole_female_mixed_sex_r1	ERR667126	PAIRED	adult	female	whole_worm	whole_female_mixed_sex	untreated	not_applicable	1	not_declared	ENA
PRJEB14695	whole_female_mixed_sex_r2	ERR506083	PAIRED	adult	female	whole_worm	whole_female_mixed_sex	untreated	not_applicable	2	not_declared	ENA
PRJEB14695	whole_female_mixed_sex_r2	ERR506107	PAIRED	adult	female	whole_worm	whole_female_mixed_sex	untreated	not_applicable	2	not_declared	ENA
PRJEB14695	whole_female_mixed_sex_r2	ERR667061	PAIRED	adult	female	whole_worm	whole_female_mixed_sex	untreated	not_applicable	2	not_declared	ENA
PRJEB14695	whole_female_mixed_sex_r2	ERR667085	PAIRED	adult	female	whole_worm	whole_female_mixed_sex	untreated	not_applicable	2	not_declared	ENA
PRJEB14695	whole_female_mixed_sex_r2	ERR667109	PAIRED	adult	female	whole_worm	whole_female_mixed_sex	untreated	not_applicable	2	not_declared	ENA
PRJEB14695	whole_female_mixed_sex_r2	ERR667133	PAIRED	adult	female	whole_worm	whole_female_mixed_sex	untreated	not_applicable	2	not_declared	ENA
PRJEB14695	whole_female_mixed_sex_r3	ERR506084	PAIRED	adult	female	whole_worm	whole_female_mixed_sex	untreated	not_applicable	3	not_declared	ENA
PRJEB14695	whole_female_mixed_sex_r3	ERR506108	PAIRED	adult	female	whole_worm	whole_female_mixed_sex	untreated	not_applicable	3	not_declared	ENA
PRJEB14695	whole_female_mixed_sex_r3	ERR667062	PAIRED	adult	female	whole_worm	whole_female_mixed_sex	untreated	not_applicable	3	not_declared	ENA
PRJEB14695	whole_female_mixed_sex_r3	ERR667086	PAIRED	adult	female	whole_worm	whole_female_mixed_sex	untreated	not_applicable	3	not_declared	ENA
PRJEB14695	whole_female_mixed_sex_r3	ERR667110	PAIRED	adult	female	whole_worm	whole_female_mixed_sex	untreated	not_applicable	3	not_declared	ENA
PRJEB14695	whole_female_mixed_sex_r3	ERR667134	PAIRED	adult	female	whole_worm	whole_female_mixed_sex	untreated	not_applicable	3	not_declared	ENA
PRJEB14695	whole_female_single_sex_r1	ERR506091	PAIRED	adult	female	whole_worm	whole_female_single_sex	untreated	not_applicable	1	not_declared	ENA
PRJEB14695	whole_female_single_sex_r1	ERR506115	PAIRED	adult	female	whole_worm	whole_female_single_sex	untreated	not_applicable	1	not_declared	ENA
PRJEB14695	whole_female_single_sex_r1	ERR667069	PAIRED	adult	female	whole_worm	whole_female_single_sex	untreated	not_applicable	1	not_declared	ENA
PRJEB14695	whole_female_single_sex_r1	ERR667093	PAIRED	adult	female	whole_worm	whole_female_single_sex	untreated	not_applicable	1	not_declared	ENA
PRJEB14695	whole_female_single_sex_r1	ERR667117	PAIRED	adult	female	whole_worm	whole_female_single_sex	untreated	not_applicable	1	not_declared	ENA
PRJEB14695	whole_female_single_sex_r1	ERR667141	PAIRED	adult	female	whole_worm	whole_female_single_sex	untreated	not_applicable	1	not_declared	ENA
PRJEB14695	whole_female_single_sex_r2	ERR506092	PAIRED	adult	female	whole_worm	whole_female_single_sex	untreated	not_applicable	2	not_declared	ENA
PRJEB14695	whole_female_single_sex_r2	ERR506116	PAIRED	adult	female	whole_worm	whole_female_single_sex	untreated	not_applicable	2	not_declared	ENA
PRJEB14695	whole_female_single_sex_r2	ERR667070	PAIRED	adult	female	whole_worm	whole_female_single_sex	untreated	not_applicable	2	not_declared	ENA
PRJEB14695	whole_female_single_sex_r2	ERR667094	PAIRED	adult	female	whole_worm	whole_female_single_sex	untreated	not_applicable	2	not_declared	ENA
PRJEB14695	whole_female_single_sex_r2	ERR667118	PAIRED	adult	female	whole_worm	whole_female_single_sex	untreated	not_applicable	2	not_declared	ENA
PRJEB14695	whole_female_single_sex_r2	ERR667142	PAIRED	adult	female	whole_worm	whole_female_single_sex	untreated	not_applicable	2	not_declared	ENA
PRJEB14695	whole_female_single_sex_r3	ERR506093	PAIRED	adult	female	whole_worm	whole_female_single_sex	untreated	not_applicable	3	not_declared	ENA
PRJEB14695	whole_female_single_sex_r3	ERR506117	PAIRED	adult	female	whole_worm	whole_female_single_sex	untreated	not_applicable	3	not_declared	ENA
PRJEB14695	whole_female_single_sex_r3	ERR667071	PAIRED	adult	female	whole_worm	whole_female_single_sex	untreated	not_applicable	3	not_declared	ENA
PRJEB14695	whole_female_single_sex_r3	ERR667095	PAIRED	adult	female	whole_worm	whole_female_single_sex	untreated	not_applicable	3	not_declared	ENA
PRJEB14695	whole_female_single_sex_r3	ERR667119	PAIRED	adult	female	whole_worm	whole_female_single_sex	untreated	not_applicable	3	not_declared	ENA
PRJEB14695	whole_female_single_sex_r3	ERR667143	PAIRED	adult	female	whole_worm	whole_female_single_sex	untreated	not_applicable	3	not_declared	ENA
PRJEB14695	whole_male_mixed_sex_r1	ERR506082	PAIRED	adult	male	whole_worm	whole_male_mixed_sex	untreated	not_applicable	1	not_declared	ENA
PRJEB14695	whole_male_mixed_sex_r1	ERR506106	PAIRED	adult	male	whole_worm	whole_male_mixed_sex	untreated	not_applicable	1	not_declared	ENA
PRJEB14695	whole_male_mixed_sex_r1	ERR667060	PAIRED	adult	male	whole_worm	whole_male_mixed_sex	untreated	not_applicable	1	not_declared	ENA
PRJEB14695	whole_male_mixed_sex_r1	ERR667084	PAIRED	adult	male	whole_worm	whole_male_mixed_sex	untreated	not_applicable	1	not_declared	ENA
PRJEB14695	whole_male_mixed_sex_r1	ERR667108	PAIRED	adult	male	whole_worm	whole_male_mixed_sex	untreated	not_applicable	1	not_declared	ENA
PRJEB14695	whole_male_mixed_sex_r1	ERR667132	PAIRED	adult	male	whole_worm	whole_male_mixed_sex	untreated	not_applicable	1	not_declared	ENA
PRJEB14695	whole_male_mixed_sex_r2	ERR506088	PAIRED	adult	male	whole_worm	whole_male_mixed_sex	untreated	not_applicable	2	not_declared	ENA
PRJEB14695	whole_male_mixed_sex_r2	ERR506112	PAIRED	adult	male	whole_worm	whole_male_mixed_sex	untreated	not_applicable	2	not_declared	ENA
PRJEB14695	whole_male_mixed_sex_r2	ERR667066	PAIRED	adult	male	whole_worm	whole_male_mixed_sex	untreated	not_applicable	2	not_declared	ENA
PRJEB14695	whole_male_mixed_sex_r2	ERR667090	PAIRED	adult	male	whole_worm	whole_male_mixed_sex	untreated	not_applicable	2	not_declared	ENA
