value	status	note
adult	source_preserved	Initial registry value; no cross-study biological equivalence asserted.
cercaria	source_preserved	Initial registry value; no cross-study biological equivalence asserted.
egg	source_preserved	Initial registry value; no cross-study biological equivalence asserted.
juvenile	source_preserved	Initial registry value; no cross-study biological equivalence asserted.
juvenile_26d	source_preserved	Initial registry value; no cross-study biological equivalence asserted.
miracidium	source_preserved	Initial registry value; no cross-study biological equivalence asserted.
schistosomulum_2d	source_preserved	Initial registry value; no cross-study biological equivalence asserted.
sporocyst_1d	source_preserved	Initial registry value; no cross-study biological equivalence asserted.
sporocyst_32d	source_preserved	Initial registry value; no cross-study biological equivalence asserted.
sporocyst_5d	source_preserved	Initial registry value; no cross-study biological equivalence asserted.
