sample_id	intercept	condition[ovary_single_sex]	condition[testis_mixed_sex]	condition[testis_single_sex]	condition[whole_female_mixed_sex]	condition[whole_female_single_sex]	condition[whole_male_mixed_sex]	condition[whole_male_single_sex]
ovary_mixed_sex_r1	1	0	0	0	0	0	0	0
ovary_mixed_sex_r2	1	0	0	0	0	0	0	0
ovary_mixed_sex_r3	1	0	0	0	0	0	0	0
ovary_single_sex_r1	1	1	0	0	0	0	0	0
ovary_single_sex_r2	1	1	0	0	0	0	0	0
testis_mixed_sex_r1	1	0	1	0	0	0	0	0
testis_mixed_sex_r2	1	0	1	0	0	0	0	0
testis_mixed_sex_r3	1	0	1	0	0	0	0	0
testis_single_sex_r1	1	0	0	1	0	0	0	0
testis_single_sex_r2	1	0	0	1	0	0	0	0
testis_single_sex_r3	1	0	0	1	0	0	0	0
whole_female_mixed_sex_r1	1	0	0	0	1	0	0	0
whole_female_mixed_sex_r2	1	0	0	0	1	0	0	0
whole_female_mixed_sex_r3	1	0	0	0	1	0	0	0
whole_female_single_sex_r1	1	0	0	0	0	1	0	0
whole_female_single_sex_r2	1	0	0	0	0	1	0	0
whole_female_single_sex_r3	1	0	0	0	0	1	0	0
whole_male_mixed_sex_r1	1	0	0	0	0	0	1	0
whole_male_mixed_sex_r2	1	0	0	0	0	0	1	0
whole_male_mixed_sex_r3	1	0	0	0	0	0	1	0
whole_male_single_sex_r1	1	0	0	0	0	0	0	1
whole_male_single_sex_r2	1	0	0	0	0	0	0	1
whole_male_single_sex_r3	1	0	0	0	0	0	0	1
