run_accession	biological_sample_id	biosample	technical_unit	r1_file	r2_file	condition	sex	tissue_context	pairing_state	replicate
ERR506073	ovary_mixed_sex_r1	SAMEA2395933	technical_run_1	ERR506073_1.fastq.gz	ERR506073_2.fastq.gz	ovary_mixed_sex	female	ovary	mixed_sex	1
ERR506097	ovary_mixed_sex_r1	SAMEA2395933	technical_run_2	ERR506097_1.fastq.gz	ERR506097_2.fastq.gz	ovary_mixed_sex	female	ovary	mixed_sex	1
ERR667051	ovary_mixed_sex_r1	SAMEA2395933	technical_run_3	ERR667051_1.fastq.gz	ERR667051_2.fastq.gz	ovary_mixed_sex	female	ovary	mixed_sex	1
ERR667075	ovary_mixed_sex_r1	SAMEA2395933	technical_run_4	ERR667075_1.fastq.gz	ERR667075_2.fastq.gz	ovary_mixed_sex	female	ovary	mixed_sex	1
ERR667099	ovary_mixed_sex_r1	SAMEA2395933	technical_run_5	ERR667099_1.fastq.gz	ERR667099_2.fastq.gz	ovary_mixed_sex	female	ovary	mixed_sex	1
ERR667123	ovary_mixed_sex_r1	SAMEA2395933	technical_run_6	ERR667123_1.fastq.gz	ERR667123_2.fastq.gz	ovary_mixed_sex	female	ovary	mixed_sex	1
ERR506074	ovary_mixed_sex_r2	SAMEA2395934	technical_run_1	ERR506074_1.fastq.gz	ERR506074_2.fastq.gz	ovary_mixed_sex	female	ovary	mixed_sex	2
ERR506098	ovary_mixed_sex_r2	SAMEA2395934	technical_run_2	ERR506098_1.fastq.gz	ERR506098_2.fastq.gz	ovary_mixed_sex	female	ovary	mixed_sex	2
ERR667052	ovary_mixed_sex_r2	SAMEA2395934	technical_run_3	ERR667052_1.fastq.gz	ERR667052_2.fastq.gz	ovary_mixed_sex	female	ovary	mixed_sex	2
ERR667076	ovary_mixed_sex_r2	SAMEA2395934	technical_run_4	ERR667076_1.fastq.gz	ERR667076_2.fastq.gz	ovary_mixed_sex	female	ovary	mixed_sex	2
ERR667100	ovary_mixed_sex_r2	SAMEA2395934	technical_run_5	ERR667100_1.fastq.gz	ERR667100_2.fastq.gz	ovary_mixed_sex	female	ovary	mixed_sex	2
ERR667124	ovary_mixed_sex_r2	SAMEA2395934	technical_run_6	ERR667124_1.fastq.gz	ERR667124_2.fastq.gz	ovary_mixed_sex	female	ovary	mixed_sex	2
ERR506075	ovary_mixed_sex_r3	SAMEA2395935	technical_run_1	ERR506075_1.fastq.gz	ERR506075_2.fastq.gz	ovary_mixed_sex	female	ovary	mixed_sex	3
ERR506099	ovary_mixed_sex_r3	SAMEA2395935	technical_run_2	ERR506099_1.fastq.gz	ERR506099_2.fastq.gz	ovary_mixed_sex	female	ovary	mixed_sex	3
ERR667053	ovary_mixed_sex_r3	SAMEA2395935	technical_run_3	ERR667053_1.fastq.gz	ERR667053_2.fastq.gz	ovary_mixed_sex	female	ovary	mixed_sex	3
ERR667077	ovary_mixed_sex_r3	SAMEA2395935	technical_run_4	ERR667077_1.fastq.gz	ERR667077_2.fastq.gz	ovary_mixed_sex	female	ovary	mixed_sex	3
ERR667101	ovary_mixed_sex_r3	SAMEA2395935	technical_run_5	ERR667101_1.fastq.gz	ERR667101_2.fastq.gz	ovary_mixed_sex	female	ovary	mixed_sex	3
