biological_sample_id	number_of_runs	run_accessions	r1_files	r2_files	biological_group	sex	tissue_context	pairing_state	replicate	aggregation_policy	deseq2_observation
ovary_mixed_sex_r1	6	ERR506073;ERR506097;ERR667051;ERR667075;ERR667099;ERR667123	ERR506073_1.fastq.gz;ERR506097_1.fastq.gz;ERR667051_1.fastq.gz;ERR667075_1.fastq.gz;ERR667099_1.fastq.gz;ERR667123_1.fastq.gz	ERR506073_2.fastq.gz;ERR506097_2.fastq.gz;ERR667051_2.fastq.gz;ERR667075_2.fastq.gz;ERR667099_2.fastq.gz;ERR667123_2.fastq.gz	ovary_mixed_sex	female	ovary	mixed_sex	1	trim_each_run_then_concatenate_by_mate_before_salmon	ovary_mixed_sex_r1
ovary_mixed_sex_r2	6	ERR506074;ERR506098;ERR667052;ERR667076;ERR667100;ERR667124	ERR506074_1.fastq.gz;ERR506098_1.fastq.gz;ERR667052_1.fastq.gz;ERR667076_1.fastq.gz;ERR667100_1.fastq.gz;ERR667124_1.fastq.gz	ERR506074_2.fastq.gz;ERR506098_2.fastq.gz;ERR667052_2.fastq.gz;ERR667076_2.fastq.gz;ERR667100_2.fastq.gz;ERR667124_2.fastq.gz	ovary_mixed_sex	female	ovary	mixed_sex	2	trim_each_run_then_concatenate_by_mate_before_salmon	ovary_mixed_sex_r2
ovary_mixed_sex_r3	6	ERR506075;ERR506099;ERR667053;ERR667077;ERR667101;ERR667125	ERR506075_1.fastq.gz;ERR506099_1.fastq.gz;ERR667053_1.fastq.gz;ERR667077_1.fastq.gz;ERR667101_1.fastq.gz;ERR667125_1.fastq.gz	ERR506075_2.fastq.gz;ERR506099_2.fastq.gz;ERR667053_2.fastq.gz;ERR667077_2.fastq.gz;ERR667101_2.fastq.gz;ERR667125_2.fastq.gz	ovary_mixed_sex	female	ovary	mixed_sex	3	trim_each_run_then_concatenate_by_mate_before_salmon	ovary_mixed_sex_r3
ovary_single_sex_r1	6	ERR506071;ERR506095;ERR667049;ERR667073;ERR667097;ERR667121	ERR506071_1.fastq.gz;ERR506095_1.fastq.gz;ERR667049_1.fastq.gz;ERR667073_1.fastq.gz;ERR667097_1.fastq.gz;ERR667121_1.fastq.gz	ERR506071_2.fastq.gz;ERR506095_2.fastq.gz;ERR667049_2.fastq.gz;ERR667073_2.fastq.gz;ERR667097_2.fastq.gz;ERR667121_2.fastq.gz	ovary_single_sex	female	ovary	single_sex	1	trim_each_run_then_concatenate_by_mate_before_salmon	ovary_single_sex_r1
ovary_single_sex_r2	6	ERR506072;ERR506096;ERR667050;ERR667074;ERR667098;ERR667122	ERR506072_1.fastq.gz;ERR506096_1.fastq.gz;ERR667050_1.fastq.gz;ERR667074_1.fastq.gz;ERR667098_1.fastq.gz;ERR667122_1.fastq.gz	ERR506072_2.fastq.gz;ERR506096_2.fastq.gz;ERR667050_2.fastq.gz;ERR667074_2.fastq.gz;ERR667098_2.fastq.gz;ERR667122_2.fastq.gz	ovary_single_sex	female	ovary	single_sex	2	trim_each_run_then_concatenate_by_mate_before_salmon	ovary_single_sex_r2
testis_mixed_sex_r1	6	ERR506079;ERR506103;ERR667057;ERR667081;ERR667105;ERR667129	ERR506079_1.fastq.gz;ERR506103_1.fastq.gz;ERR667057_1.fastq.gz;ERR667081_1.fastq.gz;ERR667105_1.fastq.gz;ERR667129_1.fastq.gz	ERR506079_2.fastq.gz;ERR506103_2.fastq.gz;ERR667057_2.fastq.gz;ERR667081_2.fastq.gz;ERR667105_2.fastq.gz;ERR667129_2.fastq.gz	testis_mixed_sex	male	testis	mixed_sex	1	trim_each_run_then_concatenate_by_mate_before_salmon	testis_mixed_sex_r1
testis_mixed_sex_r2	6	ERR506080;ERR506104;ERR667058;ERR667082;ERR667106;ERR667130	ERR506080_1.fastq.gz;ERR506104_1.fastq.gz;ERR667058_1.fastq.gz;ERR667082_1.fastq.gz;ERR667106_1.fastq.gz;ERR667130_1.fastq.gz	ERR506080_2.fastq.gz;ERR506104_2.fastq.gz;ERR667058_2.fastq.gz;ERR667082_2.fastq.gz;ERR667106_2.fastq.gz;ERR667130_2.fastq.gz	testis_mixed_sex	male	testis	mixed_sex	2	trim_each_run_then_concatenate_by_mate_before_salmon	testis_mixed_sex_r2
testis_mixed_sex_r3	6	ERR506081;ERR506105;ERR667059;ERR667083;ERR667107;ERR667131	ERR506081_1.fastq.gz;ERR506105_1.fastq.gz;ERR667059_1.fastq.gz;ERR667083_1.fastq.gz;ERR667107_1.fastq.gz;ERR667131_1.fastq.gz	ERR506081_2.fastq.gz;ERR506105_2.fastq.gz;ERR667059_2.fastq.gz;ERR667083_2.fastq.gz;ERR667107_2.fastq.gz;ERR667131_2.fastq.gz	testis_mixed_sex	male	testis	mixed_sex	3	trim_each_run_then_concatenate_by_mate_before_salmon	testis_mixed_sex_r3
testis_single_sex_r1	6	ERR506077;ERR506101;ERR667055;ERR667079;ERR667103;ERR667127	ERR506077_1.fastq.gz;ERR506101_1.fastq.gz;ERR667055_1.fastq.gz;ERR667079_1.fastq.gz;ERR667103_1.fastq.gz;ERR667127_1.fastq.gz	ERR506077_2.fastq.gz;ERR506101_2.fastq.gz;ERR667055_2.fastq.gz;ERR667079_2.fastq.gz;ERR667103_2.fastq.gz;ERR667127_2.fastq.gz	testis_single_sex	male	testis	single_sex	1	trim_each_run_then_concatenate_by_mate_before_salmon	testis_single_sex_r1
testis_single_sex_r2	6	ERR506078;ERR506102;ERR667056;ERR667080;ERR667104;ERR667128	ERR506078_1.fastq.gz;ERR506102_1.fastq.gz;ERR667056_1.fastq.gz;ERR667080_1.fastq.gz;ERR667104_1.fastq.gz;ERR667128_1.fastq.gz	ERR506078_2.fastq.gz;ERR506102_2.fastq.gz;ERR667056_2.fastq.gz;ERR667080_2.fastq.gz;ERR667104_2.fastq.gz;ERR667128_2.fastq.gz	testis_single_sex	male	testis	single_sex	2	trim_each_run_then_concatenate_by_mate_before_salmon	testis_single_sex_r2
testis_single_sex_r3	6	ERR506085;ERR506109;ERR667063;ERR667087;ERR667111;ERR667135	ERR506085_1.fastq.gz;ERR506109_1.fastq.gz;ERR667063_1.fastq.gz;ERR667087_1.fastq.gz;ERR667111_1.fastq.gz;ERR667135_1.fastq.gz	ERR506085_2.fastq.gz;ERR506109_2.fastq.gz;ERR667063_2.fastq.gz;ERR667087_2.fastq.gz;ERR667111_2.fastq.gz;ERR667135_2.fastq.gz	testis_single_sex	male	testis	single_sex	3	trim_each_run_then_concatenate_by_mate_before_salmon	testis_single_sex_r3
whole_female_mixed_sex_r1	6	ERR506076;ERR506100;ERR667054;ERR667078;ERR667102;ERR667126	ERR506076_1.fastq.gz;ERR506100_1.fastq.gz;ERR667054_1.fastq.gz;ERR667078_1.fastq.gz;ERR667102_1.fastq.gz;ERR667126_1.fastq.gz	ERR506076_2.fastq.gz;ERR506100_2.fastq.gz;ERR667054_2.fastq.gz;ERR667078_2.fastq.gz;ERR667102_2.fastq.gz;ERR667126_2.fastq.gz	whole_female_mixed_sex	female	whole_worm	mixed_sex	1	trim_each_run_then_concatenate_by_mate_before_salmon	whole_female_mixed_sex_r1
whole_female_mixed_sex_r2	6	ERR506083;ERR506107;ERR667061;ERR667085;ERR667109;ERR667133	ERR506083_1.fastq.gz;ERR506107_1.fastq.gz;ERR667061_1.fastq.gz;ERR667085_1.fastq.gz;ERR667109_1.fastq.gz;ERR667133_1.fastq.gz	ERR506083_2.fastq.gz;ERR506107_2.fastq.gz;ERR667061_2.fastq.gz;ERR667085_2.fastq.gz;ERR667109_2.fastq.gz;ERR667133_2.fastq.gz	whole_female_mixed_sex	female	whole_worm	mixed_sex	2	trim_each_run_then_concatenate_by_mate_before_salmon	whole_female_mixed_sex_r2
whole_female_mixed_sex_r3	6	ERR506084;ERR506108;ERR667062;ERR667086;ERR667110;ERR667134	ERR506084_1.fastq.gz;ERR506108_1.fastq.gz;ERR667062_1.fastq.gz;ERR667086_1.fastq.gz;ERR667110_1.fastq.gz;ERR667134_1.fastq.gz	ERR506084_2.fastq.gz;ERR506108_2.fastq.gz;ERR667062_2.fastq.gz;ERR667086_2.fastq.gz;ERR667110_2.fastq.gz;ERR667134_2.fastq.gz	whole_female_mixed_sex	female	whole_worm	mixed_sex	3	trim_each_run_then_concatenate_by_mate_before_salmon	whole_female_mixed_sex_r3
whole_female_single_sex_r1	6	ERR506091;ERR506115;ERR667069;ERR667093;ERR667117;ERR667141	ERR506091_1.fastq.gz;ERR506115_1.fastq.gz;ERR667069_1.fastq.gz;ERR667093_1.fastq.gz;ERR667117_1.fastq.gz;ERR667141_1.fastq.gz	ERR506091_2.fastq.gz;ERR506115_2.fastq.gz;ERR667069_2.fastq.gz;ERR667093_2.fastq.gz;ERR667117_2.fastq.gz;ERR667141_2.fastq.gz	whole_female_single_sex	female	whole_worm	single_sex	1	trim_each_run_then_concatenate_by_mate_before_salmon	whole_female_single_sex_r1
whole_female_single_sex_r2	6	ERR506092;ERR506116;ERR667070;ERR667094;ERR667118;ERR667142	ERR506092_1.fastq.gz;ERR506116_1.fastq.gz;ERR667070_1.fastq.gz;ERR667094_1.fastq.gz;ERR667118_1.fastq.gz;ERR667142_1.fastq.gz	ERR506092_2.fastq.gz;ERR506116_2.fastq.gz;ERR667070_2.fastq.gz;ERR667094_2.fastq.gz;ERR667118_2.fastq.gz;ERR667142_2.fastq.gz	whole_female_single_sex	female	whole_worm	single_sex	2	trim_each_run_then_concatenate_by_mate_before_salmon	whole_female_single_sex_r2
whole_female_single_sex_r3	6	ERR506093;ERR506117;ERR667071;ERR667095;ERR667119;ERR667143	ERR506093_1.fastq.gz;ERR506117_1.fastq.gz;ERR667071_1.fastq.gz;ERR667095_1.fastq.gz;ERR667119_1.fastq.gz;ERR667143_1.fastq.gz	ERR506093_2.fastq.gz;ERR506117_2.fastq.gz;ERR667071_2.fastq.gz;ERR667095_2.fastq.gz;ERR667119_2.fastq.gz;ERR667143_2.fastq.gz	whole_female_single_sex	female	whole_worm	single_sex	3	trim_each_run_then_concatenate_by_mate_before_salmon	whole_female_single_sex_r3
whole_male_mixed_sex_r1	6	ERR506082;ERR506106;ERR667060;ERR667084;ERR667108;ERR667132	ERR506082_1.fastq.gz;ERR506106_1.fastq.gz;ERR667060_1.fastq.gz;ERR667084_1.fastq.gz;ERR667108_1.fastq.gz;ERR667132_1.fastq.gz	ERR506082_2.fastq.gz;ERR506106_2.fastq.gz;ERR667060_2.fastq.gz;ERR667084_2.fastq.gz;ERR667108_2.fastq.gz;ERR667132_2.fastq.gz	whole_male_mixed_sex	male	whole_worm	mixed_sex	1	trim_each_run_then_concatenate_by_mate_before_salmon	whole_male_mixed_sex_r1
whole_male_mixed_sex_r2	6	ERR506088;ERR506112;ERR667066;ERR667090;ERR667114;ERR667138	ERR506088_1.fastq.gz;ERR506112_1.fastq.gz;ERR667066_1.fastq.gz;ERR667090_1.fastq.gz;ERR667114_1.fastq.gz;ERR667138_1.fastq.gz	ERR506088_2.fastq.gz;ERR506112_2.fastq.gz;ERR667066_2.fastq.gz;ERR667090_2.fastq.gz;ERR667114_2.fastq.gz;ERR667138_2.fastq.gz	whole_male_mixed_sex	male	whole_worm	mixed_sex	2	trim_each_run_then_concatenate_by_mate_before_salmon	whole_male_mixed_sex_r2
