contrast	factor	numerator	denominator	positive_log2fc_means	negative_log2fc_means	numerator_replicates	denominator_replicates	estimable
condition__miracidium_mixed_vs_egg_mixed	condition	miracidium_mixed	egg_mixed	higher in miracidium_mixed	higher in egg_mixed	5	5	TRUE
condition__sporocyst_1d_mixed_vs_miracidium_mixed	condition	sporocyst_1d_mixed	miracidium_mixed	higher in sporocyst_1d_mixed	higher in miracidium_mixed	5	5	TRUE
condition__sporocyst_5d_mixed_vs_sporocyst_1d_mixed	condition	sporocyst_5d_mixed	sporocyst_1d_mixed	higher in sporocyst_5d_mixed	higher in sporocyst_1d_mixed	5	5	TRUE
condition__sporocyst_32d_mixed_vs_sporocyst_5d_mixed	condition	sporocyst_32d_mixed	sporocyst_5d_mixed	higher in sporocyst_32d_mixed	higher in sporocyst_5d_mixed	5	5	TRUE
condition__cercaria_mixed_vs_sporocyst_32d_mixed	condition	cercaria_mixed	sporocyst_32d_mixed	higher in cercaria_mixed	higher in sporocyst_32d_mixed	5	5	TRUE
condition__schistosomulum_2d_mixed_vs_cercaria_mixed	condition	schistosomulum_2d_mixed	cercaria_mixed	higher in schistosomulum_2d_mixed	higher in cercaria_mixed	5	5	TRUE
condition__juvenile_26d_female_vs_schistosomulum_2d_female	condition	juvenile_26d_female	schistosomulum_2d_female	higher in juvenile_26d_female	higher in schistosomulum_2d_female	5	5	TRUE
condition__juvenile_26d_male_vs_schistosomulum_2d_male	condition	juvenile_26d_male	schistosomulum_2d_male	higher in juvenile_26d_male	higher in schistosomulum_2d_male	5	5	TRUE
condition__sporocyst_32d_female_vs_sporocyst_32d_male	condition	sporocyst_32d_female	sporocyst_32d_male	higher in sporocyst_32d_female	higher in sporocyst_32d_male	5	5	TRUE
condition__cercaria_female_vs_cercaria_male	condition	cercaria_female	cercaria_male	higher in cercaria_female	higher in cercaria_male	5	5	TRUE
condition__schistosomulum_2d_female_vs_schistosomulum_2d_male	condition	schistosomulum_2d_female	schistosomulum_2d_male	higher in schistosomulum_2d_female	higher in schistosomulum_2d_male	5	5	TRUE
condition__juvenile_26d_female_vs_juvenile_26d_male	condition	juvenile_26d_female	juvenile_26d_male	higher in juvenile_26d_female	higher in juvenile_26d_male	5	5	TRUE
