sample_id	intercept	condition[cercaria_male]	condition[cercaria_mixed]	condition[egg_mixed]	condition[juvenile_26d_female]	condition[juvenile_26d_male]	condition[miracidium_mixed]	condition[schistosomulum_2d_female]	condition[schistosomulum_2d_male]	condition[schistosomulum_2d_mixed]	condition[sporocyst_1d_mixed]	condition[sporocyst_32d_female]	condition[sporocyst_32d_male]	condition[sporocyst_32d_mixed]	condition[sporocyst_5d_mixed]
f_26d_juveniles_r1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
f_26d_juveniles_r2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
f_26d_juveniles_r3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
f_26d_juveniles_r4	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
f_26d_juveniles_r5	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
f_2d_somules_r1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
f_2d_somules_r2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
f_2d_somules_r3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
f_2d_somules_r4	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
f_2d_somules_r5	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
f_32d_sporocysts_r1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
f_32d_sporocysts_r2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
f_32d_sporocysts_r3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
f_32d_sporocysts_r4	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
f_32d_sporocysts_r5	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
f_cercariae_r1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f_cercariae_r2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f_cercariae_r3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f_cercariae_r4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f_cercariae_r5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m_26d_juveniles_r1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
m_26d_juveniles_r2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
m_26d_juveniles_r3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
m_26d_juveniles_r4	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
m_26d_juveniles_r5	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
m_2d_somules_r1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
m_2d_somules_r2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
m_2d_somules_r3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
m_2d_somules_r4	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
m_2d_somules_r5	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
m_32d_sporocysts_r1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
m_32d_sporocysts_r2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
m_32d_sporocysts_r3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
m_32d_sporocysts_r4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
m_32d_sporocysts_r5	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
m_cercariae_r1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
m_cercariae_r2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
m_cercariae_r3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
m_cercariae_r4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
m_cercariae_r5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
x_1d_sporocysts_r1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
x_1d_sporocysts_r2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
x_1d_sporocysts_r3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
x_1d_sporocysts_r4	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
x_1d_sporocysts_r5	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
x_2d_somules_r1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
