run_accession	sample_id	mate	filename	expected_bytes	observed_bytes	expected_md5	observed_md5	observed_sha256	gzip	status
ERR11178266	x_eggs_r1	1	ERR11178266_1.fastq.gz	924170229	924170229	bfdc7f70d115a7e6dc942b324a61b08a	bfdc7f70d115a7e6dc942b324a61b08a	8846892d33a39c2b7eb4d767810d91c7a1163a1ad443c5c7f2926737ff43e97d	PASS	PASS
ERR11178266	x_eggs_r1	2	ERR11178266_2.fastq.gz	1011691375	1011691375	25d855abeeb55bc860b9e32643743a54	25d855abeeb55bc860b9e32643743a54	d92655be700b89ef425442c9c0c4d33f78402bbac1d294a65c7a859356ef6cf0	PASS	PASS
ERR11178356	x_eggs_r1	1	ERR11178356_1.fastq.gz	908201677	908201677	4a8acbd74007c8c72fac3666251bb6e9	4a8acbd74007c8c72fac3666251bb6e9	44c564f0660ce70eb178babebdff3b416af246073e4ee0d1408361fe28c5a1cc	PASS	PASS
ERR11178356	x_eggs_r1	2	ERR11178356_2.fastq.gz	1032967703	1032967703	985ac8354a0a847d641f7ce53d2e0fff	985ac8354a0a847d641f7ce53d2e0fff	a378c95b6ddbaf8bc9cedc65bb01983b815079a4786d35c27cef578fa1204f2d	PASS	PASS
ERR11178276	x_eggs_r2	1	ERR11178276_1.fastq.gz	773766596	773766596	07848694b80c27af1e6d91f5dac858a6	07848694b80c27af1e6d91f5dac858a6	f11e6f38616039ac8c59bacd8dd2f592166b03915c720e0d94ed03b5c3b51208	PASS	PASS
ERR11178276	x_eggs_r2	2	ERR11178276_2.fastq.gz	851570093	851570093	fe5cfeec91e8ecd7555e9e3695758adc	fe5cfeec91e8ecd7555e9e3695758adc	6c23f1ee524653967c7dc209d7d334171ab0203ab64defd5399afd224af5290d	PASS	PASS
ERR11178366	x_eggs_r2	1	ERR11178366_1.fastq.gz	746844126	746844126	5f804f08add3d58633176e320cc8d5d8	5f804f08add3d58633176e320cc8d5d8	5dabfe211fed8680f7bab582348b787984e45e7e61239d0a2990bd10301d5c74	PASS	PASS
ERR11178366	x_eggs_r2	2	ERR11178366_2.fastq.gz	868993658	868993658	51681faaaed5b706cf8c1f601c88c98c	51681faaaed5b706cf8c1f601c88c98c	e5072a23e89431930a27c0e23d112e0d133c12a4961b54bbded41cf96862fb5d	PASS	PASS
ERR11178286	x_eggs_r3	1	ERR11178286_1.fastq.gz	980417848	980417848	fa41a1f25953a31f191c92a7d7d077a0	fa41a1f25953a31f191c92a7d7d077a0	44c07b27178c6946e865d7077613359cd2ee91a38d25fb7ad4b0aed2d0fe17a1	PASS	PASS
ERR11178286	x_eggs_r3	2	ERR11178286_2.fastq.gz	1104462436	1104462436	a288c8e941f08da36a4b0c70bfd53cde	a288c8e941f08da36a4b0c70bfd53cde	66670d5627291964e0e7171cf3a2280c671fece9dd88006e6537dbca5153736e	PASS	PASS
ERR11178376	x_eggs_r3	1	ERR11178376_1.fastq.gz	959452934	959452934	5cb407bc874f08a4aca1bcb7713647c9	5cb407bc874f08a4aca1bcb7713647c9	f3d7c62fc05b6be1e87c695a90e1cfd7759ea50b2355a6352d9551675fc80125	PASS	PASS
ERR11178376	x_eggs_r3	2	ERR11178376_2.fastq.gz	1123446277	1123446277	a3ad00b3cbcaab586c425bbd9ffa61b3	a3ad00b3cbcaab586c425bbd9ffa61b3	4d031026a7ffc83d39d6e2ea38c6ed77cdb8470defb89e44d737ca254545944d	PASS	PASS
ERR11178295	x_eggs_r4	1	ERR11178295_1.fastq.gz	973801898	973801898	237ddcd06c4c4ef8590e4707f2cfb90f	237ddcd06c4c4ef8590e4707f2cfb90f	4f0722947be23d76880a50b00bfe2885ada35c59509df340ea6cf87de4292dbf	PASS	PASS
ERR11178295	x_eggs_r4	2	ERR11178295_2.fastq.gz	1099535603	1099535603	ede07b6c7abd09d2ecdf20b5f9b3fc7f	ede07b6c7abd09d2ecdf20b5f9b3fc7f	9c3c88f1fc50a8bbdc21b0a2b55d714ea7ff84ab40c1244906165a7d4cffc5e1	PASS	PASS
ERR11178385	x_eggs_r4	1	ERR11178385_1.fastq.gz	966314684	966314684	b160dd6710f62ee0b429d445b35c894f	b160dd6710f62ee0b429d445b35c894f	12f3787e711d377afc2bae478499bec38de537ff24bf8e5ca81e79f7aefc45cd	PASS	PASS
ERR11178385	x_eggs_r4	2	ERR11178385_2.fastq.gz	1113544054	1113544054	6ca2c5fd69c2203db206e2caf1363f86	6ca2c5fd69c2203db206e2caf1363f86	d97f888861b34c76d4b15e1f0ff6208868132277e8d87dc94e578f9e22f599a6	PASS	PASS
ERR11178304	x_eggs_r5	1	ERR11178304_1.fastq.gz	861691711	861691711	7a3a7e913b85255a435650baf5c192c7	7a3a7e913b85255a435650baf5c192c7	27e4ee51ace73913f37113f6560bfe687de362a330c218c54b617817ca26d155	PASS	PASS
ERR11178304	x_eggs_r5	2	ERR11178304_2.fastq.gz	926219039	926219039	a9b8ec923dc823c5f675a43c5ac84836	a9b8ec923dc823c5f675a43c5ac84836	2b5ffb1c0b8c03b358a42da67887382097f5adc1c0e01c8bbc52fc02a963f0e3	PASS	PASS
ERR11178394	x_eggs_r5	1	ERR11178394_1.fastq.gz	853890058	853890058	886d3f7ea1d371f63bc8d73fe693d7f4	886d3f7ea1d371f63bc8d73fe693d7f4	10995f308150fbb82d1567175b810c45b04c671520ec719b71431b8396e95967	PASS	PASS
ERR11178394	x_eggs_r5	2	ERR11178394_2.fastq.gz	956960855	956960855	152319731927bd96af432653bc0c713f	152319731927bd96af432653bc0c713f	6aad3614c9a25c4169ad5d57201d8d9ddbde8c4f79b20bb88a56cbfd0b39dd7f	PASS	PASS
ERR11178313	x_miracidia_r1	1	ERR11178313_1.fastq.gz	311592860	311592860	c0241fbc357d3191b4060f251b523545	c0241fbc357d3191b4060f251b523545	30f1856cb8538b8bb3e794075ab29eff2635ddcd443720b9487c1cdbe853c208	PASS	PASS
ERR11178313	x_miracidia_r1	2	ERR11178313_2.fastq.gz	344152275	344152275	3fbaaa9d406b8c7eeb03da760ca288d6	3fbaaa9d406b8c7eeb03da760ca288d6	1028af30beb0250e25926f0823d0a18be3b4e2a37d3a2905261a3e490623c275	PASS	PASS
ERR11178403	x_miracidia_r1	1	ERR11178403_1.fastq.gz	293533466	293533466	3dc771f21d49c443564aeda8119c905b	3dc771f21d49c443564aeda8119c905b	b1fd790bd6367de3b62974f40335530c8d90b1e1590b0620b429eeb7e23bb90a	PASS	PASS
ERR11178403	x_miracidia_r1	2	ERR11178403_2.fastq.gz	345701957	345701957	ba4adbcaa4f72d7b953865e5a635b9e9	ba4adbcaa4f72d7b953865e5a635b9e9	f59a4b42cadc985e201389708db4faa0f48d44d9737d5cceda97c10730cadf92	PASS	PASS
ERR11178322	x_miracidia_r2	1	ERR11178322_1.fastq.gz	2114024398	2114024398	9a4cf254ca5669afc04f3f0fb0273f58	9a4cf254ca5669afc04f3f0fb0273f58	a4c8e83e232ca00ef7a4b77f5ea36cb780da2fd93a10461916202c0ae508d1e7	PASS	PASS
ERR11178322	x_miracidia_r2	2	ERR11178322_2.fastq.gz	2451476098	2451476098	aca3352253354e530d3747f727699d90	aca3352253354e530d3747f727699d90	77c4a6d842223031ca1a9ce3fc8f09c9d082a438e81d178a1cd0106014aa44e8	PASS	PASS
ERR11178412	x_miracidia_r2	1	ERR11178412_1.fastq.gz	2194723943	2194723943	c2106c0de78cba4c20613c7a98b09c1f	c2106c0de78cba4c20613c7a98b09c1f	657f0e03d072f87f950dcfcc11c3b1f685e8529ae810cae325c239247fe75e30	PASS	PASS
