sample_id	raw_reads_both_mates	trimmed_reads_both_mates	trim_retention_percent	salmon_mapping_percent	classification	reason
f_26d_juveniles_r1	153552576	146958788	95.705843	83.146026	PASS	
f_26d_juveniles_r2	76829698	74551704	97.035009	84.134882	PASS	
f_26d_juveniles_r3	67536846	64065306	94.859784	83.636329	PASS	
f_26d_juveniles_r4	42554742	41096628	96.573557	83.259444	PASS	
f_26d_juveniles_r5	131685568	127198988	96.592960	83.071389	PASS	
f_2d_somules_r1	152829562	119229902	78.014947	82.565353	REVIEW	trim_retention_below_80_percent
f_2d_somules_r2	87701002	77570668	88.449010	66.132866	PASS	
f_2d_somules_r3	88503338	75214946	84.985434	75.652618	PASS	
f_2d_somules_r4	136948896	94222568	68.801261	75.255690	REVIEW	trim_retention_below_80_percent
f_2d_somules_r5	113241668	85055176	75.109434	73.198783	REVIEW	trim_retention_below_80_percent
f_32d_sporocysts_r1	80981906	78135488	96.485119	22.184775	REVIEW	salmon_mapping_below_50_percent
f_32d_sporocysts_r2	95503600	93005960	97.384769	26.835758	REVIEW	salmon_mapping_below_50_percent
f_32d_sporocysts_r3	131356062	124297540	94.626421	25.624121	REVIEW	salmon_mapping_below_50_percent
f_32d_sporocysts_r4	121444894	109516208	90.177697	26.483674	REVIEW	salmon_mapping_below_50_percent
f_32d_sporocysts_r5	100886166	97580666	96.723535	32.854049	REVIEW	salmon_mapping_below_50_percent
f_cercariae_r1	63900762	56393702	88.252002	81.398664	PASS	
f_cercariae_r2	72190528	67781180	93.892068	77.306477	PASS	
f_cercariae_r3	62262248	58762426	94.378902	78.573730	PASS	
f_cercariae_r4	73602428	67448486	91.638942	76.331792	PASS	
f_cercariae_r5	89639102	79231986	88.389982	77.686666	PASS	
m_26d_juveniles_r1	54769358	53770390	98.176046	85.069601	PASS	
m_26d_juveniles_r2	83355396	81152574	97.357313	85.034727	PASS	
m_26d_juveniles_r3	135410580	131020992	96.758312	84.570248	PASS	
m_26d_juveniles_r4	116754442	113870740	97.530114	84.414829	PASS	
m_26d_juveniles_r5	130512742	125495306	96.155597	84.640098	PASS	
m_2d_somules_r1	200402492	133197798	66.465141	84.289737	REVIEW	trim_retention_below_80_percent
m_2d_somules_r2	122268104	115829842	94.734308	86.956857	PASS	
m_2d_somules_r3	100972080	94320908	93.412860	84.216269	PASS	
m_2d_somules_r4	59444520	56094994	94.365291	84.279635	PASS	
m_2d_somules_r5	95262754	90199804	94.685279	84.746659	PASS	
m_32d_sporocysts_r1	83782610	82289622	98.218022	26.417842	REVIEW	salmon_mapping_below_50_percent
m_32d_sporocysts_r2	137173992	125232802	91.294859	28.076036	REVIEW	salmon_mapping_below_50_percent
m_32d_sporocysts_r3	98217606	96862196	98.619993	26.800615	REVIEW	salmon_mapping_below_50_percent
m_32d_sporocysts_r4	212282112	209480228	98.680113	17.247309	REVIEW	salmon_mapping_below_50_percent
m_32d_sporocysts_r5	134678218	129062942	95.830598	33.726383	REVIEW	salmon_mapping_below_50_percent
m_cercariae_r1	62428632	49526960	79.333726	80.507089	REVIEW	trim_retention_below_80_percent
m_cercariae_r2	94661584	76809494	81.141146	79.106411	PASS	
m_cercariae_r3	90225804	83260424	92.280058	81.222993	PASS	
m_cercariae_r4	114876412	98275854	85.549202	80.178739	PASS	
m_cercariae_r5	98075798	92249008	94.058891	81.778362	PASS	
x_1d_sporocysts_r1	132244856	124532650	94.168237	82.729882	PASS	
x_1d_sporocysts_r2	146707728	139749716	95.257229	83.170276	PASS	
x_1d_sporocysts_r3	143411264	137326548	95.757156	78.545676	PASS	
x_1d_sporocysts_r4	120794302	115995966	96.027680	81.098753	PASS	
x_1d_sporocysts_r5	127789296	123210534	96.416944	82.936368	PASS	
x_2d_somules_r1	159200850	147843950	92.866307	83.411158	PASS	
x_2d_somules_r2	170585922	163736178	95.984578	84.879276	PASS	
x_2d_somules_r3	233110360	225926424	96.918225	86.667826	PASS	
x_2d_somules_r4	91660418	86308758	94.161427	80.357101	PASS	
x_2d_somules_r5	59647494	56839124	95.291722	79.341430	PASS	
x_32d_sporocysts_r1	212938790	209696248	98.477242	33.174952	REVIEW	salmon_mapping_below_50_percent
x_32d_sporocysts_r2	111510756	108021672	96.871079	35.831813	REVIEW	salmon_mapping_below_50_percent
x_32d_sporocysts_r3	81423090	79919124	98.152900	26.819013	REVIEW	salmon_mapping_below_50_percent
x_32d_sporocysts_r4	86388672	84505820	97.820487	30.504221	REVIEW	salmon_mapping_below_50_percent
x_32d_sporocysts_r5	52570590	51770792	98.478621	37.768354	REVIEW	salmon_mapping_below_50_percent
x_5d_sporocysts_r1	111090308	108138816	97.343160	81.118574	PASS	
x_5d_sporocysts_r2	118473326	106288678	89.715282	80.367017	PASS	
x_5d_sporocysts_r3	141806924	134182640	94.623476	81.785338	PASS	
x_5d_sporocysts_r4	150087948	142597514	95.009303	81.605298	PASS	
x_5d_sporocysts_r5	150237148	143848246	95.747455	82.000342	PASS	
x_cercariae_r1	123867978	116687376	94.203020	74.829445	PASS	
x_cercariae_r2	87657944	80195402	91.486748	74.471392	PASS	
x_cercariae_r3	103809226	97992364	94.396585	75.222878	PASS	
x_cercariae_r4	104760466	86083098	82.171358	70.285319	PASS	
x_cercariae_r5	113370852	100593908	88.729957	71.600304	PASS	
x_eggs_r1	145800126	140583786	96.422266	74.959542	PASS	
x_eggs_r2	119284674	110042764	92.252223	77.480344	PASS	
x_eggs_r3	156507226	151792438	96.987495	76.006789	PASS	
x_eggs_r4	156518964	147782016	94.417962	70.762962	PASS	
x_eggs_r5	135385048	132103378	97.576047	71.497743	PASS	
x_miracidia_r1	48564350	43295204	89.150177	85.496431	PASS	
x_miracidia_r2	366031038	357661470	97.713427	81.707499	PASS	
x_miracidia_r3	107858072	46771000	43.363468	80.416412	REVIEW	trim_retention_below_80_percent
x_miracidia_r4	126639172	122519642	96.747033	81.653383	PASS	
x_miracidia_r5	150119754	144291290	96.117457	82.365756	PASS	
