run_accession	sample_id	R1_bytes	R2_bytes	total_run_bytes
ERR11178266	x_eggs_r1	924170229	1011691375	1935861604
ERR11178356	x_eggs_r1	908201677	1032967703	1941169380
ERR11178276	x_eggs_r2	773766596	851570093	1625336689
ERR11178366	x_eggs_r2	746844126	868993658	1615837784
ERR11178286	x_eggs_r3	980417848	1104462436	2084880284
ERR11178376	x_eggs_r3	959452934	1123446277	2082899211
ERR11178295	x_eggs_r4	973801898	1099535603	2073337501
ERR11178385	x_eggs_r4	966314684	1113544054	2079858738
ERR11178304	x_eggs_r5	861691711	926219039	1787910750
ERR11178394	x_eggs_r5	853890058	956960855	1810850913
ERR11178313	x_miracidia_r1	311592860	344152275	655745135
ERR11178403	x_miracidia_r1	293533466	345701957	639235423
ERR11178322	x_miracidia_r2	2114024398	2451476098	4565500496
ERR11178412	x_miracidia_r2	2194723943	2559023030	4753746973
ERR11178330	x_miracidia_r3	697975014	927902302	1625877316
ERR11178420	x_miracidia_r3	577456357	857883849	1435340206
ERR11178268	x_miracidia_r4	784646951	864507210	1649154161
ERR11178358	x_miracidia_r4	778919176	887252757	1666171933
ERR11178278	x_miracidia_r5	937307049	1038408448	1975715497
ERR11178368	x_miracidia_r5	917279414	1047476750	1964756164
ERR11178288	x_1d_sporocysts_r1	829372095	913220498	1742592593
ERR11178378	x_1d_sporocysts_r1	804117505	922785689	1726903194
ERR11178297	x_1d_sporocysts_r2	920733614	993828253	1914561867
ERR11178387	x_1d_sporocysts_r2	877021762	1007578550	1884600312
ERR11178306	x_1d_sporocysts_r3	907874927	1022867033	1930741960
ERR11178396	x_1d_sporocysts_r3	882449635	1026384115	1908833750
ERR11178315	x_1d_sporocysts_r4	739051495	831269440	1570320935
ERR11178405	x_1d_sporocysts_r4	737330893	841411093	1578741986
ERR11178264	x_1d_sporocysts_r5	818828768	877283556	1696112324
ERR11178354	x_1d_sporocysts_r5	766775568	868463671	1635239239
ERR11178332	x_5d_sporocysts_r1	713017012	776328941	1489345953
ERR11178422	x_5d_sporocysts_r1	695781318	800771317	1496552635
ERR11178270	x_5d_sporocysts_r2	746825303	839065792	1585891095
ERR11178360	x_5d_sporocysts_r2	715944599	845612021	1561556620
ERR11178280	x_5d_sporocysts_r3	874461327	985686538	1860147865
ERR11178370	x_5d_sporocysts_r3	871945918	1019476508	1891422426
ERR11178290	x_5d_sporocysts_r4	939932362	1003219910	1943152272
ERR11178380	x_5d_sporocysts_r4	915079516	1024530196	1939609712
ERR11178299	x_5d_sporocysts_r5	919123865	1024159576	1943283441
ERR11178389	x_5d_sporocysts_r5	930790616	1056200371	1986990987
ERR11178308	f_32d_sporocysts_r1	808558320	856986072	1665544392
ERR11178398	f_32d_sporocysts_r1	795425466	861400702	1656826168
ERR11178317	f_32d_sporocysts_r2	933665584	992373321	1926038905
ERR11178407	f_32d_sporocysts_r2	921286230	1006830975	1928117205
ERR11178325	f_32d_sporocysts_r3	1257881008	1375044964	2632925972
ERR11178415	f_32d_sporocysts_r3	1224775137	1370028615	2594803752
ERR11178334	f_32d_sporocysts_r4	1154568062	1246231060	2400799122
ERR11178424	f_32d_sporocysts_r4	1117180208	1241202070	2358382278
ERR11178272	f_32d_sporocysts_r5	929299095	1004234257	1933533352
ERR11178362	f_32d_sporocysts_r5	931956292	1027947582	1959903874
ERR11178282	m_32d_sporocysts_r1	821946737	868907344	1690854081
ERR11178372	m_32d_sporocysts_r1	801195003	861758466	1662953469
ERR11178292	m_32d_sporocysts_r2	1293276174	1396229803	2689505977
ERR11178382	m_32d_sporocysts_r2	1260191291	1395229424	2655420715
ERR11178301	m_32d_sporocysts_r3	980046779	1028284654	2008331433
ERR11178391	m_32d_sporocysts_r3	947478068	1021275028	1968753096
ERR11178310	m_32d_sporocysts_r4	2160812991	2290525875	4451338866
ERR11178400	m_32d_sporocysts_r4	2154386513	2326993785	4481380298
ERR11178319	m_32d_sporocysts_r5	1249506876	1334138787	2583645663
ERR11178409	m_32d_sporocysts_r5	1221407661	1339626004	2561033665
ERR11178327	x_32d_sporocysts_r1	1986374453	2129812390	4116186843
