task_id	native_id	name	status	duration	realtime	cpu_percent	peak_rss	peak_vmem
1	19481	RNASEQ_NATIVE_FOUNDATION:RNASEQ_CONTEXT (rnaseq:context)	COMPLETED	34.4s	4.6s	24.6%	71 MB	134.1 MB
2	19484	RNASEQ_NATIVE_FOUNDATION:RNASEQ_METADATA (rnaseq:metadata)	COMPLETED	4.9s	207ms	37.2%	14.5 MB	24 MB
3	19486	RNASEQ_NATIVE_FOUNDATION:REFERENCE_BUNDLE (reference:Schistosoma_mansoni_SM_V10_WBPS19)	COMPLETED	4.3s	1.9s	95.5%	24.2 MB	39.5 MB
4	19488	RNASEQ_ALIGNMENT_QUANTIFICATION:RNASEQ_ALIGNMENT_PLAN (rnaseq:alignment-plan)	COMPLETED	34.9s	4.9s	38.6%	57.8 MB	76 MB
5	19489	RNASEQ_ALIGNMENT_QUANTIFICATION:RNASEQ_QUANTIFICATION_PLAN (rnaseq:quantification-plan)	COMPLETED	34.9s	10.4s	22.4%	69.9 MB	409 MB
6	19490	RNASEQ_ALIGNMENT_QUANTIFICATION:RNASEQ_IMPORT_CONTEXT (rnaseq:import:salmon)	COMPLETED	34.9s	2.6s	32.5%	70.7 MB	133 MB
7	19492	RNASEQ_ALIGNMENT_QUANTIFICATION:SALMON_INDEX_VALIDATE (salmon.schistosoma_mansoni.PRJEA36577.WBPS19.mRNA_transcripts.external_index)	COMPLETED	4.8s	1.6s	23.3%	23.8 MB	35.6 MB
8	19493	RNASEQ_ALIGNMENT_QUANTIFICATION:IMPORT:TX2GENE_BUILD (rnaseq.import.tx2gene)	COMPLETED	34.5s	29.1s	43.8%	699.9 MB	1.1 GB
12	19495	RNASEQ_ALIGNMENT_QUANTIFICATION:QUANTIFICATION:SALMON_QUANT (PRJNA602528.pzq_1h.quantification)	COMPLETED	1m	47.4s	481.0%	808.1 MB	1.2 GB
9	19494	RNASEQ_ALIGNMENT_QUANTIFICATION:QUANTIFICATION:SALMON_QUANT (PRJNA602528.pzq_0h.quantification)	COMPLETED	1m 9s	55.8s	459.9%	827.6 MB	1.2 GB
16	19497	RNASEQ_ALIGNMENT_QUANTIFICATION:QUANTIFICATION:SALMON_QUANT (PRJNA602528.pzq_6h.quantification)	COMPLETED	1m 9s	54.4s	608.0%	824.6 MB	1.2 GB
14	19496	RNASEQ_ALIGNMENT_QUANTIFICATION:QUANTIFICATION:SALMON_QUANT (PRJNA602528.pzq_3h.quantification)	COMPLETED	1m 10s	47.2s	492.1%	837 MB	1.2 GB
11	19498	RNASEQ_ALIGNMENT_QUANTIFICATION:QUANTIFICATION:SALMON_QUANT (PRJNA602528.pzq_12h.quantification)	COMPLETED	1m 10s	48s	488.5%	858.4 MB	1.2 GB
13	19500	RNASEQ_ALIGNMENT_QUANTIFICATION:QUANTIFICATION:SALMON_QUANT (PRJNA602528.pzq_24h.quantification)	COMPLETED	1m 5s	48.9s	490.6%	820.3 MB	1.2 GB
18	19499	RNASEQ_ALIGNMENT_QUANTIFICATION:QUANTIFICATION:SALMON_QUANT (PRJNA602528.pzq_9h.quantification)	COMPLETED	1m 5s	48.4s	506.1%	832.7 MB	1.2 GB
19	19504	RNASEQ_ALIGNMENT_QUANTIFICATION:IMPORT:IMPORT_SOURCE (PRJNA602528.pzq_1h.quantification:quantification)	COMPLETED	4.9s	244ms	23.8%	3.5 MB	6.9 MB
20	19505	RNASEQ_ALIGNMENT_QUANTIFICATION:IMPORT:IMPORT_SOURCE (PRJNA602528.pzq_0h.quantification:quantification)	COMPLETED	4.8s	273ms	28.6%	3.4 MB	6.9 MB
21	19506	RNASEQ_ALIGNMENT_QUANTIFICATION:IMPORT:IMPORT_SOURCE (PRJNA602528.pzq_6h.quantification:quantification)	COMPLETED	5s	217ms	31.3%	13.8 MB	23.4 MB
22	19507	RNASEQ_ALIGNMENT_QUANTIFICATION:IMPORT:IMPORT_SOURCE (PRJNA602528.pzq_3h.quantification:quantification)	COMPLETED	5s	189ms	30.6%	13.7 MB	23.4 MB
10	19502	RNASEQ_ALIGNMENT_QUANTIFICATION:QUANTIFICATION:SALMON_QUANT (PRJNA602528.pzq_0p25h.quantification)	COMPLETED	1m 5s	52.2s	468.3%	819.6 MB	1.2 GB
17	19501	RNASEQ_ALIGNMENT_QUANTIFICATION:QUANTIFICATION:SALMON_QUANT (PRJNA602528.pzq_96h.quantification)	COMPLETED	1m 5s	54.9s	529.7%	819.4 MB	1.2 GB
24	19509	RNASEQ_ALIGNMENT_QUANTIFICATION:IMPORT:IMPORT_SOURCE (PRJNA602528.pzq_24h.quantification:quantification)	COMPLETED	4.8s	360ms	21.8%	3.4 MB	6.9 MB
23	19508	RNASEQ_ALIGNMENT_QUANTIFICATION:IMPORT:IMPORT_SOURCE (PRJNA602528.pzq_12h.quantification:quantification)	COMPLETED	4.9s	300ms	22.8%	3.4 MB	6.9 MB
25	19510	RNASEQ_ALIGNMENT_QUANTIFICATION:IMPORT:IMPORT_SOURCE (PRJNA602528.pzq_9h.quantification:quantification)	COMPLETED	4.7s	335ms	17.5%	3.4 MB	6.9 MB
26	19511	RNASEQ_ALIGNMENT_QUANTIFICATION:IMPORT:IMPORT_SOURCE (PRJNA602528.pzq_0p25h.quantification:quantification)	COMPLETED	4.8s	362ms	24.3%	3.5 MB	6.9 MB
27	19512	RNASEQ_ALIGNMENT_QUANTIFICATION:IMPORT:IMPORT_SOURCE (PRJNA602528.pzq_96h.quantification:quantification)	COMPLETED	4.8s	156ms	36.7%	3.5 MB	6.9 MB
15	19503	RNASEQ_ALIGNMENT_QUANTIFICATION:QUANTIFICATION:SALMON_QUANT (PRJNA602528.pzq_48h.quantification)	COMPLETED	1m 5s	53.2s	484.4%	830.4 MB	1.2 GB
28	19513	RNASEQ_ALIGNMENT_QUANTIFICATION:IMPORT:IMPORT_SOURCE (PRJNA602528.pzq_48h.quantification:quantification)	COMPLETED	4.9s	199ms	33.8%	3.5 MB	6.9 MB
29	19514	RNASEQ_ALIGNMENT_QUANTIFICATION:IMPORT:SALMON_SAMPLE_TABLE (rnaseq.import)	COMPLETED	4.9s	193ms	34.9%	3.4 MB	6.9 MB
30	19515	RNASEQ_ALIGNMENT_QUANTIFICATION:IMPORT:SALMON_IMPORT (rnaseq.import)	COMPLETED	34.9s	13.9s	87.7%	606 MB	2.8 GB
