dataset,sample_id,file_prefix,run_accession,condition,stage,tissue,sex,infection_mode,treatment,time_hours,batch,replicate,biosample,library_name,technical_unit
PRJEB14695,ovary_mixed_sex_r1,ovary_mixed_sex_r1,ERR506073,ovary_mixed_sex,adult,ovary,female,mixed_sex,untreated,not_applicable,not_declared,1,SAMEA2395933,9645645,technical_run_1
PRJEB14695,ovary_mixed_sex_r1,ovary_mixed_sex_r1,ERR506097,ovary_mixed_sex,adult,ovary,female,mixed_sex,untreated,not_applicable,not_declared,1,SAMEA2395933,9645645,technical_run_2
PRJEB14695,ovary_mixed_sex_r1,ovary_mixed_sex_r1,ERR667051,ovary_mixed_sex,adult,ovary,female,mixed_sex,untreated,not_applicable,not_declared,1,SAMEA2395933,9645645,technical_run_3
PRJEB14695,ovary_mixed_sex_r1,ovary_mixed_sex_r1,ERR667075,ovary_mixed_sex,adult,ovary,female,mixed_sex,untreated,not_applicable,not_declared,1,SAMEA2395933,9645645,technical_run_4
PRJEB14695,ovary_mixed_sex_r1,ovary_mixed_sex_r1,ERR667099,ovary_mixed_sex,adult,ovary,female,mixed_sex,untreated,not_applicable,not_declared,1,SAMEA2395933,9645645,technical_run_5
PRJEB14695,ovary_mixed_sex_r1,ovary_mixed_sex_r1,ERR667123,ovary_mixed_sex,adult,ovary,female,mixed_sex,untreated,not_applicable,not_declared,1,SAMEA2395933,9645645,technical_run_6
PRJEB14695,ovary_mixed_sex_r2,ovary_mixed_sex_r2,ERR506074,ovary_mixed_sex,adult,ovary,female,mixed_sex,untreated,not_applicable,not_declared,2,SAMEA2395934,9645646,technical_run_1
PRJEB14695,ovary_mixed_sex_r2,ovary_mixed_sex_r2,ERR506098,ovary_mixed_sex,adult,ovary,female,mixed_sex,untreated,not_applicable,not_declared,2,SAMEA2395934,9645646,technical_run_2
PRJEB14695,ovary_mixed_sex_r2,ovary_mixed_sex_r2,ERR667052,ovary_mixed_sex,adult,ovary,female,mixed_sex,untreated,not_applicable,not_declared,2,SAMEA2395934,9645646,technical_run_3
PRJEB14695,ovary_mixed_sex_r2,ovary_mixed_sex_r2,ERR667076,ovary_mixed_sex,adult,ovary,female,mixed_sex,untreated,not_applicable,not_declared,2,SAMEA2395934,9645646,technical_run_4
PRJEB14695,ovary_mixed_sex_r2,ovary_mixed_sex_r2,ERR667100,ovary_mixed_sex,adult,ovary,female,mixed_sex,untreated,not_applicable,not_declared,2,SAMEA2395934,9645646,technical_run_5
PRJEB14695,ovary_mixed_sex_r2,ovary_mixed_sex_r2,ERR667124,ovary_mixed_sex,adult,ovary,female,mixed_sex,untreated,not_applicable,not_declared,2,SAMEA2395934,9645646,technical_run_6
PRJEB14695,ovary_mixed_sex_r3,ovary_mixed_sex_r3,ERR506075,ovary_mixed_sex,adult,ovary,female,mixed_sex,untreated,not_applicable,not_declared,3,SAMEA2395935,9645647,technical_run_1
PRJEB14695,ovary_mixed_sex_r3,ovary_mixed_sex_r3,ERR506099,ovary_mixed_sex,adult,ovary,female,mixed_sex,untreated,not_applicable,not_declared,3,SAMEA2395935,9645647,technical_run_2
PRJEB14695,ovary_mixed_sex_r3,ovary_mixed_sex_r3,ERR667053,ovary_mixed_sex,adult,ovary,female,mixed_sex,untreated,not_applicable,not_declared,3,SAMEA2395935,9645647,technical_run_3
PRJEB14695,ovary_mixed_sex_r3,ovary_mixed_sex_r3,ERR667077,ovary_mixed_sex,adult,ovary,female,mixed_sex,untreated,not_applicable,not_declared,3,SAMEA2395935,9645647,technical_run_4
PRJEB14695,ovary_mixed_sex_r3,ovary_mixed_sex_r3,ERR667101,ovary_mixed_sex,adult,ovary,female,mixed_sex,untreated,not_applicable,not_declared,3,SAMEA2395935,9645647,technical_run_5
PRJEB14695,ovary_mixed_sex_r3,ovary_mixed_sex_r3,ERR667125,ovary_mixed_sex,adult,ovary,female,mixed_sex,untreated,not_applicable,not_declared,3,SAMEA2395935,9645647,technical_run_6
