dataset	sample_id	run_accession	biosample	secondary_biosample	experiment_accession	technical_unit	library_name	library_layout	fastq_1_url	fastq_2_url	fastq_1_md5	fastq_2_md5	fastq_1_bytes	fastq_2_bytes	read_count	base_count	ena_first_public	ena_query_url
PRJEB14695	ovary_single_sex_r1	ERR506071	SAMEA2395931	ERS420088	ERX471428	technical_run_1	9645643	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR506/ERR506071/ERR506071_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR506/ERR506071/ERR506071_2.fastq.gz	85e192b10e636a1bfcf0748e6bcde381	333ef2e8486820bf3c05d9b3835d4eec	220486431	233501328	8089164	808916400	2014-05-19	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB14695&result=read_run&fields=study_accession%2Csecondary_study_accession%2Crun_accession%2Cexperiment_accession%2Csample_accession%2Csecondary_sample_accession%2Csample_alias%2Csample_title%2Csample_description%2Cexperiment_title%2Clibrary_name%2Clibrary_layout%2Clibrary_strategy%2Clibrary_source%2Clibrary_selection%2Cinstrument_platform%2Cinstrument_model%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes%2Cread_count%2Cbase_count%2Cfirst_public&format=tsv&download=false
PRJEB14695	ovary_single_sex_r1	ERR506095	SAMEA2395931	ERS420088	ERX471452	technical_run_2	9645643	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR506/ERR506095/ERR506095_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR506/ERR506095/ERR506095_2.fastq.gz	e20ed61504528bd7e6fb5a20d9d6a977	9502c6a0208f2a99e648ed2346e119d4	228638291	242795382	8360800	836080000	2014-05-19	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB14695&result=read_run&fields=study_accession%2Csecondary_study_accession%2Crun_accession%2Cexperiment_accession%2Csample_accession%2Csecondary_sample_accession%2Csample_alias%2Csample_title%2Csample_description%2Cexperiment_title%2Clibrary_name%2Clibrary_layout%2Clibrary_strategy%2Clibrary_source%2Clibrary_selection%2Cinstrument_platform%2Cinstrument_model%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes%2Cread_count%2Cbase_count%2Cfirst_public&format=tsv&download=false
PRJEB14695	ovary_single_sex_r1	ERR667049	SAMEA2395931	ERS420088	ERX622537	technical_run_3	9645643	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR667/ERR667049/ERR667049_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR667/ERR667049/ERR667049_2.fastq.gz	1484ed8db813b4e70e93b79cbaccb8b9	158812cb0b58108161639430bbdd8d50	358535423	389523813	11661160	1166116000	2014-11-04	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB14695&result=read_run&fields=study_accession%2Csecondary_study_accession%2Crun_accession%2Cexperiment_accession%2Csample_accession%2Csecondary_sample_accession%2Csample_alias%2Csample_title%2Csample_description%2Cexperiment_title%2Clibrary_name%2Clibrary_layout%2Clibrary_strategy%2Clibrary_source%2Clibrary_selection%2Cinstrument_platform%2Cinstrument_model%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes%2Cread_count%2Cbase_count%2Cfirst_public&format=tsv&download=false
PRJEB14695	ovary_single_sex_r1	ERR667073	SAMEA2395931	ERS420088	ERX622561	technical_run_4	9645643	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR667/ERR667073/ERR667073_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR667/ERR667073/ERR667073_2.fastq.gz	b588765324ba74ce8db21d0a347dfcac	329daa1422feca4f0959ec8cd2f02bdc	351333594	384016419	11634978	1163497800	2014-11-04	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB14695&result=read_run&fields=study_accession%2Csecondary_study_accession%2Crun_accession%2Cexperiment_accession%2Csample_accession%2Csecondary_sample_accession%2Csample_alias%2Csample_title%2Csample_description%2Cexperiment_title%2Clibrary_name%2Clibrary_layout%2Clibrary_strategy%2Clibrary_source%2Clibrary_selection%2Cinstrument_platform%2Cinstrument_model%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes%2Cread_count%2Cbase_count%2Cfirst_public&format=tsv&download=false
PRJEB14695	ovary_single_sex_r1	ERR667097	SAMEA2395931	ERS420088	ERX622585	technical_run_5	9645643	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR667/ERR667097/ERR667097_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR667/ERR667097/ERR667097_2.fastq.gz	497ea1fb11b3d6ec3d2ff28c0e215ad9	411646313edcdb7a1056c3a9f6adb0b9	349688702	382246736	11674378	1167437800	2014-11-04	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB14695&result=read_run&fields=study_accession%2Csecondary_study_accession%2Crun_accession%2Cexperiment_accession%2Csample_accession%2Csecondary_sample_accession%2Csample_alias%2Csample_title%2Csample_description%2Cexperiment_title%2Clibrary_name%2Clibrary_layout%2Clibrary_strategy%2Clibrary_source%2Clibrary_selection%2Cinstrument_platform%2Cinstrument_model%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes%2Cread_count%2Cbase_count%2Cfirst_public&format=tsv&download=false
PRJEB14695	ovary_single_sex_r1	ERR667121	SAMEA2395931	ERS420088	ERX622609	technical_run_6	9645643	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR667/ERR667121/ERR667121_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR667/ERR667121/ERR667121_2.fastq.gz	780dcc2fb422f616fd8e60ac18d90558	02974de472fb5b919afd825b96498cc5	341604183	372518340	11353038	1135303800	2014-11-04	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB14695&result=read_run&fields=study_accession%2Csecondary_study_accession%2Crun_accession%2Cexperiment_accession%2Csample_accession%2Csecondary_sample_accession%2Csample_alias%2Csample_title%2Csample_description%2Cexperiment_title%2Clibrary_name%2Clibrary_layout%2Clibrary_strategy%2Clibrary_source%2Clibrary_selection%2Cinstrument_platform%2Cinstrument_model%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes%2Cread_count%2Cbase_count%2Cfirst_public&format=tsv&download=false
PRJEB14695	ovary_single_sex_r2	ERR506072	SAMEA2395932	ERS420089	ERX471429	technical_run_1	9645644	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR506/ERR506072/ERR506072_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR506/ERR506072/ERR506072_2.fastq.gz	ed141b4a0a99812144b36a0fa23c1ea2	5ac00efbf2d2c217e75da20fefc44fc5	234539240	248570444	8818294	881829400	2014-05-19	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB14695&result=read_run&fields=study_accession%2Csecondary_study_accession%2Crun_accession%2Cexperiment_accession%2Csample_accession%2Csecondary_sample_accession%2Csample_alias%2Csample_title%2Csample_description%2Cexperiment_title%2Clibrary_name%2Clibrary_layout%2Clibrary_strategy%2Clibrary_source%2Clibrary_selection%2Cinstrument_platform%2Cinstrument_model%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes%2Cread_count%2Cbase_count%2Cfirst_public&format=tsv&download=false
PRJEB14695	ovary_single_sex_r2	ERR506096	SAMEA2395932	ERS420089	ERX471453	technical_run_2	9645644	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR506/ERR506096/ERR506096_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR506/ERR506096/ERR506096_2.fastq.gz	9dcc7a930c95dd855666f7d756fc89b1	94db038516e4877c3833523f84569e4e	243111913	258554834	9116202	911620200	2014-05-19	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB14695&result=read_run&fields=study_accession%2Csecondary_study_accession%2Crun_accession%2Cexperiment_accession%2Csample_accession%2Csecondary_sample_accession%2Csample_alias%2Csample_title%2Csample_description%2Cexperiment_title%2Clibrary_name%2Clibrary_layout%2Clibrary_strategy%2Clibrary_source%2Clibrary_selection%2Cinstrument_platform%2Cinstrument_model%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes%2Cread_count%2Cbase_count%2Cfirst_public&format=tsv&download=false
PRJEB14695	ovary_single_sex_r2	ERR667050	SAMEA2395932	ERS420089	ERX622538	technical_run_3	9645644	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR667/ERR667050/ERR667050_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR667/ERR667050/ERR667050_2.fastq.gz	24a9448475f503224826b13a88154817	3e3f7230141110cbee6e3b38db7b8573	381511897	416891080	12716838	1271683800	2014-11-04	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB14695&result=read_run&fields=study_accession%2Csecondary_study_accession%2Crun_accession%2Cexperiment_accession%2Csample_accession%2Csecondary_sample_accession%2Csample_alias%2Csample_title%2Csample_description%2Cexperiment_title%2Clibrary_name%2Clibrary_layout%2Clibrary_strategy%2Clibrary_source%2Clibrary_selection%2Cinstrument_platform%2Cinstrument_model%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes%2Cread_count%2Cbase_count%2Cfirst_public&format=tsv&download=false
PRJEB14695	ovary_single_sex_r2	ERR667074	SAMEA2395932	ERS420089	ERX622562	technical_run_4	9645644	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR667/ERR667074/ERR667074_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR667/ERR667074/ERR667074_2.fastq.gz	ab1f740c47eb81145b05c1289a49e004	bbc52c6cf2ca1d83fbe8d072848e29d8	373105164	410117761	12671106	1267110600	2014-11-04	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB14695&result=read_run&fields=study_accession%2Csecondary_study_accession%2Crun_accession%2Cexperiment_accession%2Csample_accession%2Csecondary_sample_accession%2Csample_alias%2Csample_title%2Csample_description%2Cexperiment_title%2Clibrary_name%2Clibrary_layout%2Clibrary_strategy%2Clibrary_source%2Clibrary_selection%2Cinstrument_platform%2Cinstrument_model%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes%2Cread_count%2Cbase_count%2Cfirst_public&format=tsv&download=false
