run_accession	biosample	secondary_biosample	library_name	fastq_1_url	fastq_2_url	fastq_1_md5	fastq_2_md5	fastq_1_bytes	fastq_2_bytes	exclusion_reason
ERR11178309	SAMEA7225813	ERS4985798	NT1631355V	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/009/ERR11178309/ERR11178309_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/009/ERR11178309/ERR11178309_2.fastq.gz	4776a2cce50f7b3ad6494f06a5be65b2	3d4de09d72bd59d65b381ab4bef4f45d	803353	872509	not present in author-curated 75-sample RNAseq_metadata.tsv
ERR11178318	SAMEA7225815	ERS4985800	NT1631356W	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/018/ERR11178318/ERR11178318_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/018/ERR11178318/ERR11178318_2.fastq.gz	93c6047b31ef0549f547b9f6d73c5010	1149baffe9312906d94ae2d31b5661fb	4515581529	4822208393	not present in author-curated 75-sample RNAseq_metadata.tsv
ERR11178335	SAMEA7225819	ERS4985804	NT1631358B	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/035/ERR11178335/ERR11178335_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/035/ERR11178335/ERR11178335_2.fastq.gz	d64bd9a6b841fe7c15d4e18852c83892	5ceee26e74f1c8520d9037901a8aa4f7	3385059951	3784320203	not present in author-curated 75-sample RNAseq_metadata.tsv
ERR11178344	SAMEA7225820	ERS4985805	NT1631359C	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/044/ERR11178344/ERR11178344_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/044/ERR11178344/ERR11178344_2.fastq.gz	5275002614fb389e2dfe1c3555c0b604	3ef2d96b93cc6386d744fc83f7e96253	1282788044	1443281471	not present in author-curated 75-sample RNAseq_metadata.tsv
ERR11178416	SAMEA7225817	ERS4985802	NT1631357A	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/016/ERR11178416/ERR11178416_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/016/ERR11178416/ERR11178416_2.fastq.gz	9b577053a0874493672542c8fafe58b4	3ea482c26b7d0bc19cc23ff57d58110f	101671721	132473725	not present in author-curated 75-sample RNAseq_metadata.tsv
ERR11178429	SAMEA7225825	ERS4985810	NT1631361T	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/029/ERR11178429/ERR11178429_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/029/ERR11178429/ERR11178429_2.fastq.gz	4dc87fb4dee50822b3786d2731f5a1c0	7215cbead1c8a9e98f912d663b54373f	2469941970	2848492362	not present in author-curated 75-sample RNAseq_metadata.tsv
ERR11178430	SAMEA7225826	ERS4985811	NT1631362U	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/030/ERR11178430/ERR11178430_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/030/ERR11178430/ERR11178430_2.fastq.gz	3cd57b297599ab101264d8ba474a5b6a	b9003394bb84f8e01141c57010d3c42d	1984008923	2101343636	not present in author-curated 75-sample RNAseq_metadata.tsv
ERR11178434	SAMEA7225820	ERS4985805	NT1631359C	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/034/ERR11178434/ERR11178434_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/034/ERR11178434/ERR11178434_2.fastq.gz	788fb739ceab19816fb724896aa9f917	15071d3e664323644bd207f5dff56b1d	1266475253	1439462479	not present in author-curated 75-sample RNAseq_metadata.tsv
ERR11178438	SAMEA7225829	ERS4985814	NT1631364W	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/038/ERR11178438/ERR11178438_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/038/ERR11178438/ERR11178438_2.fastq.gz	fd9eb1182bd2e8ed70372db9c32a8758	0286f038eaef723d7b573d62e8838bc5	896847526	1008771826	not present in author-curated 75-sample RNAseq_metadata.tsv
ERR11178440	SAMEA7225832	ERS4985817	NT1631365A	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/040/ERR11178440/ERR11178440_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/040/ERR11178440/ERR11178440_2.fastq.gz	e884bd010e25c088572c8b223c8e0d3e	e27b69d40a6417378f1c7f520dc42004	754658494	863261930	not present in author-curated 75-sample RNAseq_metadata.tsv
