dataset	sample_id	source_sample_name	biosample	condition	stage	tissue	sex	infection_mode	treatment	time_hours	batch	replicate	technical_runs
PRJEB32839	x_eggs_r1	X_Eggs_R1	ERS4985650	egg_mixed	egg	whole_organism	mixed	not_applicable	untreated	not_applicable	not_declared	1	2
PRJEB32839	x_eggs_r2	X_Eggs_R2	ERS4985649	egg_mixed	egg	whole_organism	mixed	not_applicable	untreated	not_applicable	not_declared	2	2
PRJEB32839	x_eggs_r3	X_Eggs_R3	ERS4985652	egg_mixed	egg	whole_organism	mixed	not_applicable	untreated	not_applicable	not_declared	3	2
PRJEB32839	x_eggs_r4	X_Eggs_R4	ERS4985654	egg_mixed	egg	whole_organism	mixed	not_applicable	untreated	not_applicable	not_declared	4	2
PRJEB32839	x_eggs_r5	X_Eggs_R5	ERS4985656	egg_mixed	egg	whole_organism	mixed	not_applicable	untreated	not_applicable	not_declared	5	2
PRJEB32839	x_miracidia_r1	X_Miracidia_R1	ERS4985658	miracidium_mixed	miracidium	whole_organism	mixed	not_applicable	untreated	not_applicable	not_declared	1	2
PRJEB32839	x_miracidia_r2	X_Miracidia_R2	ERS4985660	miracidium_mixed	miracidium	whole_organism	mixed	not_applicable	untreated	not_applicable	not_declared	2	2
PRJEB32839	x_miracidia_r3	X_Miracidia_R3	ERS4985661	miracidium_mixed	miracidium	whole_organism	mixed	not_applicable	untreated	not_applicable	not_declared	3	2
PRJEB32839	x_miracidia_r4	X_Miracidia_R4	ERS4985664	miracidium_mixed	miracidium	whole_organism	mixed	not_applicable	untreated	not_applicable	not_declared	4	2
PRJEB32839	x_miracidia_r5	X_Miracidia_R5	ERS4985665	miracidium_mixed	miracidium	whole_organism	mixed	not_applicable	untreated	not_applicable	not_declared	5	2
PRJEB32839	x_1d_sporocysts_r1	X_1d_Sporocysts_R1	ERS4985668	sporocyst_1d_mixed	sporocyst_1d	whole_organism	mixed	not_applicable	untreated	not_applicable	not_declared	1	2
PRJEB32839	x_1d_sporocysts_r2	X_1d_Sporocysts_R2	ERS4985670	sporocyst_1d_mixed	sporocyst_1d	whole_organism	mixed	not_applicable	untreated	not_applicable	not_declared	2	2
PRJEB32839	x_1d_sporocysts_r3	X_1d_Sporocysts_R3	ERS4985672	sporocyst_1d_mixed	sporocyst_1d	whole_organism	mixed	not_applicable	untreated	not_applicable	not_declared	3	2
PRJEB32839	x_1d_sporocysts_r4	X_1d_Sporocysts_R4	ERS4985674	sporocyst_1d_mixed	sporocyst_1d	whole_organism	mixed	not_applicable	untreated	not_applicable	not_declared	4	2
PRJEB32839	x_1d_sporocysts_r5	X_1d_Sporocysts_R5	ERS4985676	sporocyst_1d_mixed	sporocyst_1d	whole_organism	mixed	not_applicable	untreated	not_applicable	not_declared	5	2
PRJEB32839	x_5d_sporocysts_r1	X_5d_Sporocysts_R1	ERS4985677	sporocyst_5d_mixed	sporocyst_5d	whole_organism	mixed	not_applicable	untreated	not_applicable	not_declared	1	2
PRJEB32839	x_5d_sporocysts_r2	X_5d_Sporocysts_R2	ERS4985679	sporocyst_5d_mixed	sporocyst_5d	whole_organism	mixed	not_applicable	untreated	not_applicable	not_declared	2	2
PRJEB32839	x_5d_sporocysts_r3	X_5d_Sporocysts_R3	ERS4985680	sporocyst_5d_mixed	sporocyst_5d	whole_organism	mixed	not_applicable	untreated	not_applicable	not_declared	3	2
PRJEB32839	x_5d_sporocysts_r4	X_5d_Sporocysts_R4	ERS4985683	sporocyst_5d_mixed	sporocyst_5d	whole_organism	mixed	not_applicable	untreated	not_applicable	not_declared	4	2
