dataset,sample_id,file_prefix,run_accession,condition,stage,tissue,sex,infection_mode,treatment,time_hours,batch,replicate,biosample,library_name,technical_unit
PRJNA597909,adult_control_r1,adult_control_r1,SRR10776771,adult_control,adult,whole_worm_pair,mixed_paired,mixed_sex,control,14,not_declared,1,SAMN13691171,ADULT_CTRL_A,run_1
PRJNA597909,adult_control_r2,adult_control_r2,SRR10776770,adult_control,adult,whole_worm_pair,mixed_paired,mixed_sex,control,14,not_declared,2,SAMN13691172,ADULT_CTRL_B,run_1
PRJNA597909,adult_control_r3,adult_control_r3,SRR10776769,adult_control,adult,whole_worm_pair,mixed_paired,mixed_sex,control,14,not_declared,3,SAMN13691173,ADULT_CTRL_C,run_1
PRJNA597909,adult_control_r4,adult_control_r4,SRR10776768,adult_control,adult,whole_worm_pair,mixed_paired,mixed_sex,control,14,not_declared,4,SAMN13691174,ADULT_CTRL_D,run_1
PRJNA597909,adult_control_r5,adult_control_r5,SRR10776767,adult_control,adult,whole_worm_pair,mixed_paired,mixed_sex,control,14,not_declared,5,SAMN13691175,ADULT_CTRL_E,run_1
PRJNA597909,adult_pzq_r1,adult_pzq_r1,SRR10776766,adult_pzq,adult,whole_worm_pair,mixed_paired,mixed_sex,pzq_100mgkg_14h,14,not_declared,1,SAMN13691176,ADULT_PZQ_A,run_1
PRJNA597909,adult_pzq_r2,adult_pzq_r2,SRR10776765,adult_pzq,adult,whole_worm_pair,mixed_paired,mixed_sex,pzq_100mgkg_14h,14,not_declared,2,SAMN13691177,ADULT_PZQ_B,run_1
PRJNA597909,adult_pzq_r3,adult_pzq_r3,SRR10776764,adult_pzq,adult,whole_worm_pair,mixed_paired,mixed_sex,pzq_100mgkg_14h,14,not_declared,3,SAMN13691178,ADULT_PZQ_C,run_1
PRJNA597909,adult_pzq_r4,adult_pzq_r4,SRR10776763,adult_pzq,adult,whole_worm_pair,mixed_paired,mixed_sex,pzq_100mgkg_14h,14,not_declared,4,SAMN13691179,ADULT_PZQ_D,run_1
PRJNA597909,adult_pzq_r5,adult_pzq_r5,SRR10776762,adult_pzq,adult,whole_worm_pair,mixed_paired,mixed_sex,pzq_100mgkg_14h,14,not_declared,5,SAMN13691180,ADULT_PZQ_E,run_1
PRJNA597909,juvenile_control_r1,juvenile_control_r1,SRR10776773,juvenile_control,juvenile,whole_worm_pair,mixed_paired,mixed_sex,control,14,not_declared,1,SAMN13691161,JUV_CTRL_A,run_1
PRJNA597909,juvenile_control_r2,juvenile_control_r2,SRR10776772,juvenile_control,juvenile,whole_worm_pair,mixed_paired,mixed_sex,control,14,not_declared,2,SAMN13691162,JUV_CTRL_B,run_1
PRJNA597909,juvenile_control_r3,juvenile_control_r3,SRR10776761,juvenile_control,juvenile,whole_worm_pair,mixed_paired,mixed_sex,control,14,not_declared,3,SAMN13691163,JUV_CTRL_C,run_1
PRJNA597909,juvenile_control_r4,juvenile_control_r4,SRR10776760,juvenile_control,juvenile,whole_worm_pair,mixed_paired,mixed_sex,control,14,not_declared,4,SAMN13691164,JUV_CTRL_D,run_1
PRJNA597909,juvenile_control_r5,juvenile_control_r5,SRR10776759,juvenile_control,juvenile,whole_worm_pair,mixed_paired,mixed_sex,control,14,not_declared,5,SAMN13691165,JUV_CTRL_E,run_1
PRJNA597909,juvenile_pzq_r1,juvenile_pzq_r1,SRR10776758,juvenile_pzq,juvenile,whole_worm_pair,mixed_paired,mixed_sex,pzq_100mgkg_14h,14,not_declared,1,SAMN13691166,JUV_PZQ_A,run_1
PRJNA597909,juvenile_pzq_r2,juvenile_pzq_r2,SRR10776757,juvenile_pzq,juvenile,whole_worm_pair,mixed_paired,mixed_sex,pzq_100mgkg_14h,14,not_declared,2,SAMN13691167,JUV_PZQ_B,run_1
PRJNA597909,juvenile_pzq_r3,juvenile_pzq_r3,SRR10776756,juvenile_pzq,juvenile,whole_worm_pair,mixed_paired,mixed_sex,pzq_100mgkg_14h,14,not_declared,3,SAMN13691168,JUV_PZQ_C,run_1
PRJNA597909,juvenile_pzq_r4,juvenile_pzq_r4,SRR10776755,juvenile_pzq,juvenile,whole_worm_pair,mixed_paired,mixed_sex,pzq_100mgkg_14h,14,not_declared,4,SAMN13691169,JUV_PZQ_D,run_1
PRJNA597909,juvenile_pzq_r5,juvenile_pzq_r5,SRR10776754,juvenile_pzq,juvenile,whole_worm_pair,mixed_paired,mixed_sex,pzq_100mgkg_14h,14,not_declared,5,SAMN13691170,JUV_PZQ_E,run_1
