dataset	sample_id	source_sample_name	biosample	condition	stage	tissue	sex	infection_mode	treatment	time_hours	batch	replicate	technical_runs
PRJNA597909	adult_control_r1	ADULT_CTRL_biological_replicate_1	SAMN13691171	adult_control	adult	whole_worm_pair	mixed_paired	mixed_sex	control	14	not_declared	1	1
PRJNA597909	adult_control_r2	ADULT_CTRL_biological_replicate_2	SAMN13691172	adult_control	adult	whole_worm_pair	mixed_paired	mixed_sex	control	14	not_declared	2	1
PRJNA597909	adult_control_r3	ADULT_CTRL_biological_replicate_3	SAMN13691173	adult_control	adult	whole_worm_pair	mixed_paired	mixed_sex	control	14	not_declared	3	1
PRJNA597909	adult_control_r4	ADULT_CTRL_biological_replicate_4	SAMN13691174	adult_control	adult	whole_worm_pair	mixed_paired	mixed_sex	control	14	not_declared	4	1
PRJNA597909	adult_control_r5	ADULT_CTRL_biological_replicate_5	SAMN13691175	adult_control	adult	whole_worm_pair	mixed_paired	mixed_sex	control	14	not_declared	5	1
PRJNA597909	adult_pzq_r1	ADULT_PZQ_biological_replicate_1	SAMN13691176	adult_pzq	adult	whole_worm_pair	mixed_paired	mixed_sex	pzq_100mgkg_14h	14	not_declared	1	1
PRJNA597909	adult_pzq_r2	ADULT_PZQ_biological_replicate_2	SAMN13691177	adult_pzq	adult	whole_worm_pair	mixed_paired	mixed_sex	pzq_100mgkg_14h	14	not_declared	2	1
PRJNA597909	adult_pzq_r3	ADULT_PZQ_biological_replicate_3	SAMN13691178	adult_pzq	adult	whole_worm_pair	mixed_paired	mixed_sex	pzq_100mgkg_14h	14	not_declared	3	1
PRJNA597909	adult_pzq_r4	ADULT_PZQ_biological_replicate_4	SAMN13691179	adult_pzq	adult	whole_worm_pair	mixed_paired	mixed_sex	pzq_100mgkg_14h	14	not_declared	4	1
PRJNA597909	adult_pzq_r5	ADULT_PZQ_biological_replicate_5	SAMN13691180	adult_pzq	adult	whole_worm_pair	mixed_paired	mixed_sex	pzq_100mgkg_14h	14	not_declared	5	1
PRJNA597909	juvenile_control_r1	JUV_CTRL_biological_replicate_1	SAMN13691161	juvenile_control	juvenile	whole_worm_pair	mixed_paired	mixed_sex	control	14	not_declared	1	1
PRJNA597909	juvenile_control_r2	JUV_CTRL_biological_replicate_2	SAMN13691162	juvenile_control	juvenile	whole_worm_pair	mixed_paired	mixed_sex	control	14	not_declared	2	1
PRJNA597909	juvenile_control_r3	JUV_CTRL_biological_replicate_3	SAMN13691163	juvenile_control	juvenile	whole_worm_pair	mixed_paired	mixed_sex	control	14	not_declared	3	1
PRJNA597909	juvenile_control_r4	JUV_CTRL_biological_replicate_4	SAMN13691164	juvenile_control	juvenile	whole_worm_pair	mixed_paired	mixed_sex	control	14	not_declared	4	1
PRJNA597909	juvenile_control_r5	JUV_CTRL_biological_replicate_5	SAMN13691165	juvenile_control	juvenile	whole_worm_pair	mixed_paired	mixed_sex	control	14	not_declared	5	1
PRJNA597909	juvenile_pzq_r1	JUV_PZQ_biological_replicate_1	SAMN13691166	juvenile_pzq	juvenile	whole_worm_pair	mixed_paired	mixed_sex	pzq_100mgkg_14h	14	not_declared	1	1
PRJNA597909	juvenile_pzq_r2	JUV_PZQ_biological_replicate_2	SAMN13691167	juvenile_pzq	juvenile	whole_worm_pair	mixed_paired	mixed_sex	pzq_100mgkg_14h	14	not_declared	2	1
PRJNA597909	juvenile_pzq_r3	JUV_PZQ_biological_replicate_3	SAMN13691168	juvenile_pzq	juvenile	whole_worm_pair	mixed_paired	mixed_sex	pzq_100mgkg_14h	14	not_declared	3	1
PRJNA597909	juvenile_pzq_r4	JUV_PZQ_biological_replicate_4	SAMN13691169	juvenile_pzq	juvenile	whole_worm_pair	mixed_paired	mixed_sex	pzq_100mgkg_14h	14	not_declared	4	1
PRJNA597909	juvenile_pzq_r5	JUV_PZQ_biological_replicate_5	SAMN13691170	juvenile_pzq	juvenile	whole_worm_pair	mixed_paired	mixed_sex	pzq_100mgkg_14h	14	not_declared	5	1
