dataset	sample_id	run_accession	biosample	secondary_biosample	experiment_accession	technical_unit	library_name	library_layout	fastq_1_url	fastq_2_url	fastq_1_md5	fastq_2_md5	fastq_1_bytes	fastq_2_bytes	read_count	base_count	ena_first_public	ena_query_url
PRJNA602528	pzq_0h	SRR10947824	SAMN13898155	SRS6048392	SRX7614894	run_1	PZQ_0hr	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/024/SRR10947824/SRR10947824_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/024/SRR10947824/SRR10947824_2.fastq.gz	0ad1f5e501e924427d8e6e09cd942e5f	6a3f3a632fdd62849cca2f117e418c24	918587616	938074129	24891914	2538975228	2020-01-23	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJNA602528&result=read_run&fields=study_accession%2Csecondary_study_accession%2Crun_accession%2Cexperiment_accession%2Csample_accession%2Csecondary_sample_accession%2Csample_alias%2Csample_title%2Csample_description%2Cexperiment_title%2Clibrary_name%2Clibrary_layout%2Clibrary_strategy%2Clibrary_source%2Clibrary_selection%2Cinstrument_platform%2Cinstrument_model%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes%2Cread_count%2Cbase_count%2Cfirst_public&format=tsv&download=false
PRJNA602528	pzq_0p25h	SRR10947823	SAMN13898156	SRS6048393	SRX7614895	run_1	PZQ_15min	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/023/SRR10947823/SRR10947823_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/023/SRR10947823/SRR10947823_2.fastq.gz	e05a5d95a85760ba617fbc7b230f157e	edea780567950ac53fec296ea22e2f8f	932461984	929185717	25199423	2570341146	2020-01-23	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJNA602528&result=read_run&fields=study_accession%2Csecondary_study_accession%2Crun_accession%2Cexperiment_accession%2Csample_accession%2Csecondary_sample_accession%2Csample_alias%2Csample_title%2Csample_description%2Cexperiment_title%2Clibrary_name%2Clibrary_layout%2Clibrary_strategy%2Clibrary_source%2Clibrary_selection%2Cinstrument_platform%2Cinstrument_model%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes%2Cread_count%2Cbase_count%2Cfirst_public&format=tsv&download=false
PRJNA602528	pzq_1h	SRR10947822	SAMN13898157	SRS6048394	SRX7614896	run_1	PZQ_1hr	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/022/SRR10947822/SRR10947822_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/022/SRR10947822/SRR10947822_2.fastq.gz	4e25f7015e0409e61384210e2f8d0a5c	7c8e49115fcb072575e7d0d55d34fb66	817498580	824872501	21803624	2223969648	2020-01-23	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJNA602528&result=read_run&fields=study_accession%2Csecondary_study_accession%2Crun_accession%2Cexperiment_accession%2Csample_accession%2Csecondary_sample_accession%2Csample_alias%2Csample_title%2Csample_description%2Cexperiment_title%2Clibrary_name%2Clibrary_layout%2Clibrary_strategy%2Clibrary_source%2Clibrary_selection%2Cinstrument_platform%2Cinstrument_model%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes%2Cread_count%2Cbase_count%2Cfirst_public&format=tsv&download=false
PRJNA602528	pzq_3h	SRR10947821	SAMN13898158	SRS6048395	SRX7614897	run_1	PZQ_3hr	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/021/SRR10947821/SRR10947821_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/021/SRR10947821/SRR10947821_2.fastq.gz	cfd412a463a6b996925c62cfac38110b	4cb57a5a126c6b1c9f318f019b85994e	807875252	824713216	21867663	2230501626	2020-01-23	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJNA602528&result=read_run&fields=study_accession%2Csecondary_study_accession%2Crun_accession%2Cexperiment_accession%2Csample_accession%2Csecondary_sample_accession%2Csample_alias%2Csample_title%2Csample_description%2Cexperiment_title%2Clibrary_name%2Clibrary_layout%2Clibrary_strategy%2Clibrary_source%2Clibrary_selection%2Cinstrument_platform%2Cinstrument_model%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes%2Cread_count%2Cbase_count%2Cfirst_public&format=tsv&download=false
PRJNA602528	pzq_6h	SRR10947820	SAMN13898159	SRS6048396	SRX7614898	run_1	PZQ_6hr	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/020/SRR10947820/SRR10947820_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/020/SRR10947820/SRR10947820_2.fastq.gz	0bf34fa8398c0ebd8a5508ed3a3301d2	f985ef8b63597acf45a8c95cc729cc51	740017541	751334666	19862119	2025936138	2020-01-23	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJNA602528&result=read_run&fields=study_accession%2Csecondary_study_accession%2Crun_accession%2Cexperiment_accession%2Csample_accession%2Csecondary_sample_accession%2Csample_alias%2Csample_title%2Csample_description%2Cexperiment_title%2Clibrary_name%2Clibrary_layout%2Clibrary_strategy%2Clibrary_source%2Clibrary_selection%2Cinstrument_platform%2Cinstrument_model%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes%2Cread_count%2Cbase_count%2Cfirst_public&format=tsv&download=false
PRJNA602528	pzq_9h	SRR10947819	SAMN13898160	SRS6048398	SRX7614899	run_1	PZQ_9hr	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/019/SRR10947819/SRR10947819_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/019/SRR10947819/SRR10947819_2.fastq.gz	c866a4f35999b33e9298322c1bc5eb0b	b9b71057d44aa0c65e2794b178ef3e94	846069414	856784617	22487182	2293692564	2020-01-23	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJNA602528&result=read_run&fields=study_accession%2Csecondary_study_accession%2Crun_accession%2Cexperiment_accession%2Csample_accession%2Csecondary_sample_accession%2Csample_alias%2Csample_title%2Csample_description%2Cexperiment_title%2Clibrary_name%2Clibrary_layout%2Clibrary_strategy%2Clibrary_source%2Clibrary_selection%2Cinstrument_platform%2Cinstrument_model%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes%2Cread_count%2Cbase_count%2Cfirst_public&format=tsv&download=false
PRJNA602528	pzq_12h	SRR10947818	SAMN13898161	SRS6048399	SRX7614900	run_1	PZQ_12hr	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/018/SRR10947818/SRR10947818_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/018/SRR10947818/SRR10947818_2.fastq.gz	301b2e9ec193810a81b7580d2593301d	0f51638075d15d1a3e7ecd0671c45cb4	845062541	854704476	22167490	2261083980	2020-01-23	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJNA602528&result=read_run&fields=study_accession%2Csecondary_study_accession%2Crun_accession%2Cexperiment_accession%2Csample_accession%2Csecondary_sample_accession%2Csample_alias%2Csample_title%2Csample_description%2Cexperiment_title%2Clibrary_name%2Clibrary_layout%2Clibrary_strategy%2Clibrary_source%2Clibrary_selection%2Cinstrument_platform%2Cinstrument_model%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes%2Cread_count%2Cbase_count%2Cfirst_public&format=tsv&download=false
PRJNA602528	pzq_24h	SRR10947817	SAMN13898162	SRS6048401	SRX7614901	run_1	PZQ_24hr	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/017/SRR10947817/SRR10947817_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/017/SRR10947817/SRR10947817_2.fastq.gz	20768b996ead8cb9d6ef7e36f2a04c12	acf925d5b3251a241ecfd7be86b20239	869363311	869401190	22311787	2275802274	2020-01-23	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJNA602528&result=read_run&fields=study_accession%2Csecondary_study_accession%2Crun_accession%2Cexperiment_accession%2Csample_accession%2Csecondary_sample_accession%2Csample_alias%2Csample_title%2Csample_description%2Cexperiment_title%2Clibrary_name%2Clibrary_layout%2Clibrary_strategy%2Clibrary_source%2Clibrary_selection%2Cinstrument_platform%2Cinstrument_model%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes%2Cread_count%2Cbase_count%2Cfirst_public&format=tsv&download=false
PRJNA602528	pzq_48h	SRR10947816	SAMN13898163	SRS6048400	SRX7614902	run_1	PZQ_48hr	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/016/SRR10947816/SRR10947816_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/016/SRR10947816/SRR10947816_2.fastq.gz	ddd59f44e369e19692d5c828995ffd98	e58560a7e1b6cc35081af9617339224f	947118505	969113172	24705663	2519977626	2020-01-23	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJNA602528&result=read_run&fields=study_accession%2Csecondary_study_accession%2Crun_accession%2Cexperiment_accession%2Csample_accession%2Csecondary_sample_accession%2Csample_alias%2Csample_title%2Csample_description%2Cexperiment_title%2Clibrary_name%2Clibrary_layout%2Clibrary_strategy%2Clibrary_source%2Clibrary_selection%2Cinstrument_platform%2Cinstrument_model%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes%2Cread_count%2Cbase_count%2Cfirst_public&format=tsv&download=false
PRJNA602528	pzq_96h	SRR10947815	SAMN13898164	SRS6048402	SRX7614903	run_1	PZQ_96hr	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/015/SRR10947815/SRR10947815_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/015/SRR10947815/SRR10947815_2.fastq.gz	f875a3964816e80820dd331a1e9d2ed6	2c68ac4488003a6fafb1d0de55486d9e	958083404	955535756	25100967	2560298634	2020-01-23	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJNA602528&result=read_run&fields=study_accession%2Csecondary_study_accession%2Crun_accession%2Cexperiment_accession%2Csample_accession%2Csecondary_sample_accession%2Csample_alias%2Csample_title%2Csample_description%2Cexperiment_title%2Clibrary_name%2Clibrary_layout%2Clibrary_strategy%2Clibrary_source%2Clibrary_selection%2Cinstrument_platform%2Cinstrument_model%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes%2Cread_count%2Cbase_count%2Cfirst_public&format=tsv&download=false
