analysis_id	variable	contrast	level_a	level_b	gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name	biotype
smansoni_prjeb14695_primary	condition	condition__ovary_mixed_sex_vs_ovary_single_sex	ovary_mixed_sex	ovary_single_sex	Smp_047700	2698.38328517892	5.65174013759559	0.136175002631922	41.5035067256223	0	0	Smp_047700	protein_coding
smansoni_prjeb14695_primary	condition	condition__ovary_mixed_sex_vs_ovary_single_sex	ovary_mixed_sex	ovary_single_sex	Smp_129960	21327.7761757407	7.13547098592801	0.222737155336531	32.0353870693334	3.50794027292817e-225	1.64294382682591e-221	Smp_129960	protein_coding
smansoni_prjeb14695_primary	condition	condition__ovary_mixed_sex_vs_ovary_single_sex	ovary_mixed_sex	ovary_single_sex	Smp_060570	1186.69416497395	2.83648694391679	0.124552616644958	22.7734030831509	8.41518714503273e-115	2.62750193291739e-111	Smp_060570	protein_coding
smansoni_prjeb14695_primary	condition	condition__ovary_mixed_sex_vs_ovary_single_sex	ovary_mixed_sex	ovary_single_sex	Smp_045560	5333.00505074516	-3.3186109464919	0.147229725377358	-22.5403595502614	1.66957420357667e-112	3.90972539122566e-109	Smp_045560	protein_coding
smansoni_prjeb14695_primary	condition	condition__ovary_mixed_sex_vs_ovary_single_sex	ovary_mixed_sex	ovary_single_sex	Smp_135270	1433.46039444215	2.88937384602307	0.130246153592858	22.1839475970637	4.90780880270792e-109	9.19428901099303e-106	Smp_135270	protein_coding
smansoni_prjeb14695_primary	condition	condition__ovary_mixed_sex_vs_ovary_single_sex	ovary_mixed_sex	ovary_single_sex	Smp_034660	1701.13039359603	3.29383675948829	0.152985806522716	21.5303421562784	8.09338946539469e-103	1.26351298537253e-99	Smp_034660	protein_coding
smansoni_prjeb14695_primary	condition	condition__ovary_mixed_sex_vs_ovary_single_sex	ovary_mixed_sex	ovary_single_sex	Smp_194770	12669.6583584293	4.21807161833008	0.200628532577733	21.0242858487528	3.93268388067881e-98	5.2624928443312e-95	Smp_194770	protein_coding
smansoni_prjeb14695_primary	condition	condition__ovary_mixed_sex_vs_ovary_single_sex	ovary_mixed_sex	ovary_single_sex	Smp_099630	12024.7313119989	1.84508841159777	0.0967207301011179	19.0764524799265	3.96258881486408e-81	4.63969617860397e-78	Smp_099630	protein_coding
smansoni_prjeb14695_primary	condition	condition__ovary_mixed_sex_vs_ovary_single_sex	ovary_mixed_sex	ovary_single_sex	Smp_045790	2051.08797863539	1.5568186862385	0.0849924875409641	18.3171328582206	6.04128732161098e-75	6.28763759350334e-72	Smp_045790	protein_coding
smansoni_prjeb14695_primary	condition	condition__ovary_mixed_sex_vs_ovary_single_sex	ovary_mixed_sex	ovary_single_sex	Smp_010250	3340.7605464178	2.37495181534783	0.130726763304412	18.1672960862459	9.37036175106492e-74	8.77721785222251e-71	Smp_010250	protein_coding
smansoni_prjeb14695_primary	condition	condition__ovary_mixed_sex_vs_ovary_single_sex	ovary_mixed_sex	ovary_single_sex	Smp_163250	519.926975554383	4.99786212389975	0.282138814030409	17.7141955497164	3.2585262600152e-70	2.77478322523294e-67	Smp_163250	protein_coding
smansoni_prjeb14695_primary	condition	condition__ovary_mixed_sex_vs_ovary_single_sex	ovary_mixed_sex	ovary_single_sex	Smp_135500	947.012753452559	-5.19809234639786	0.294894376069157	-17.6269633069531	1.52965110397595e-69	1.19402015757856e-66	Smp_135500	protein_coding
smansoni_prjeb14695_primary	condition	condition__ovary_mixed_sex_vs_ovary_single_sex	ovary_mixed_sex	ovary_single_sex	Smp_102690	6547.58329515662	-1.8085577576076	0.103310463193778	-17.5060463548141	1.28837573427039e-68	8.94834097461652e-66	Smp_102690	protein_coding
smansoni_prjeb14695_primary	condition	condition__ovary_mixed_sex_vs_ovary_single_sex	ovary_mixed_sex	ovary_single_sex	Smp_333920	261.476658562856	4.64353169314963	0.265285263885824	17.5039187067253	1.33742685646025e-68	8.94834097461652e-66	Smp_333920	protein_coding
smansoni_prjeb14695_primary	condition	condition__ovary_mixed_sex_vs_ovary_single_sex	ovary_mixed_sex	ovary_single_sex	Smp_176940	587.633024844461	6.6518922795547	0.382620313440365	17.3850996559582	1.07001180041085e-67	6.68186702296561e-65	Smp_176940	protein_coding
smansoni_prjeb14695_primary	condition	condition__ovary_mixed_sex_vs_ovary_single_sex	ovary_mixed_sex	ovary_single_sex	Smp_160590	909.789202801267	4.35871158690205	0.253705172779641	17.1802235608647	3.73469177160054e-66	2.18642861403639e-63	Smp_160590	protein_coding
smansoni_prjeb14695_primary	condition	condition__ovary_mixed_sex_vs_ovary_single_sex	ovary_mixed_sex	ovary_single_sex	Smp_142850	2398.00368818183	1.7193824121794	0.103924531523244	16.544528870884	1.75331013475703e-61	9.66073884251124e-59	Smp_142850	protein_coding
smansoni_prjeb14695_primary	condition	condition__ovary_mixed_sex_vs_ovary_single_sex	ovary_mixed_sex	ovary_single_sex	Smp_172780	1473.00222825825	2.10049347920835	0.127895713380633	16.4234861645208	1.29885003717627e-60	6.7590712767945e-58	Smp_172780	protein_coding
smansoni_prjeb14695_primary	condition	condition__ovary_mixed_sex_vs_ovary_single_sex	ovary_mixed_sex	ovary_single_sex	Smp_145600	2063.74142285519	1.63340199546568	0.102074804235849	16.002009582028	1.23716373252852e-57	6.09921720136559e-55	Smp_145600	protein_coding
smansoni_prjeb14695_primary	condition	condition__ovary_mixed_sex_vs_ovary_single_sex	ovary_mixed_sex	ovary_single_sex	Smp_210650	2535.28272565742	2.8180148860317	0.176280150005414	15.9860023147539	1.59973010126226e-57	7.4923359292618e-55	Smp_210650	protein_coding
smansoni_prjeb14695_primary	condition	condition__ovary_mixed_sex_vs_ovary_single_sex	ovary_mixed_sex	ovary_single_sex	Smp_124760	1467.10160418893	-4.46433483932518	0.279690994139319	-15.9616681726313	2.36329343084623e-57	1.05414140793984e-54	Smp_124760	protein_coding
smansoni_prjeb14695_primary	condition	condition__ovary_mixed_sex_vs_ovary_single_sex	ovary_mixed_sex	ovary_single_sex	Smp_047650	3767.07782975831	-3.61438549912108	0.229616442343013	-15.7409698636551	7.92200979521612e-56	3.37297571599043e-53	Smp_047650	protein_coding
smansoni_prjeb14695_primary	condition	condition__ovary_mixed_sex_vs_ovary_single_sex	ovary_mixed_sex	ovary_single_sex	Smp_035560	4108.08872453257	-4.21706953617297	0.268050524936046	-15.7323681316391	9.07523996010965e-56	3.69599011766726e-53	Smp_035560	protein_coding
smansoni_prjeb14695_primary	condition	condition__ovary_mixed_sex_vs_ovary_single_sex	ovary_mixed_sex	ovary_single_sex	Smp_011220	826.203541518998	3.01367572860175	0.192090456957987	15.6888362718658	1.80331260676181e-55	7.0381788281408e-53	Smp_011220	protein_coding
smansoni_prjeb14695_primary	condition	condition__ovary_mixed_sex_vs_ovary_single_sex	ovary_mixed_sex	ovary_single_sex	Smp_156720	2499.14473635137	-1.76039673409959	0.116049024537466	-15.1694229323854	5.63702356543281e-52	2.11207998949636e-49	Smp_156720	protein_coding
smansoni_prjeb14695_primary	condition	condition__ovary_mixed_sex_vs_ovary_single_sex	ovary_mixed_sex	ovary_single_sex	Smp_161850	574.274607677665	4.70816053130404	0.31186849606078	15.0966211424782	1.704465993011e-51	6.14066652174385e-49	Smp_161850	protein_coding
smansoni_prjeb14695_primary	condition	condition__ovary_mixed_sex_vs_ovary_single_sex	ovary_mixed_sex	ovary_single_sex	Smp_246680	2009.30718681523	2.21345346120761	0.147977118184818	14.958079251436	1.37950364838645e-50	4.78585580534664e-48	Smp_246680	protein_coding
smansoni_prjeb14695_primary	condition	condition__ovary_mixed_sex_vs_ovary_single_sex	ovary_mixed_sex	ovary_single_sex	Smp_145400	334.649754996179	5.94661058328496	0.398971812680653	14.9048388740304	3.06551210879442e-50	1.02552328296705e-47	Smp_145400	protein_coding
smansoni_prjeb14695_primary	condition	condition__ovary_mixed_sex_vs_ovary_single_sex	ovary_mixed_sex	ovary_single_sex	Smp_344280	2701.20700969903	-2.39152292149943	0.163399512723358	-14.6360468378408	1.65410020567137e-48	5.34274366431853e-46	Smp_344280	protein_coding
smansoni_prjeb14695_primary	condition	condition__ovary_mixed_sex_vs_ovary_single_sex	ovary_mixed_sex	ovary_single_sex	Smp_133600	2780.12254016162	-3.64840538274144	0.24978776930024	-14.6060209151239	2.57101829862825e-48	8.02757613441695e-46	Smp_133600	protein_coding
smansoni_prjeb14695_primary	condition	condition__ovary_mixed_sex_vs_ovary_single_sex	ovary_mixed_sex	ovary_single_sex	Smp_345620	1246.7475922964	3.74810667214505	0.257622154862772	14.5488522683213	5.93911436308175e-48	1.79457045932215e-45	Smp_345620	protein_coding
smansoni_prjeb14695_primary	condition	condition__ovary_mixed_sex_vs_ovary_single_sex	ovary_mixed_sex	ovary_single_sex	Smp_000200	1388.11950596125	-2.15504755444618	0.148821028001683	-14.4808000817049	1.60221263867331e-47	4.68997680826654e-45	Smp_000200	protein_coding
smansoni_prjeb14695_primary	condition	condition__ovary_mixed_sex_vs_ovary_single_sex	ovary_mixed_sex	ovary_single_sex	Smp_180470	1314.86608994225	1.32355992245142	0.0931322643095981	14.2116154080774	7.7614227787962e-46	2.20306809602982e-43	Smp_180470	protein_coding
smansoni_prjeb14695_primary	condition	condition__ovary_mixed_sex_vs_ovary_single_sex	ovary_mixed_sex	ovary_single_sex	Smp_204160	544.44467288652	-3.05995645703536	0.217851144572985	-14.0460885024646	8.14078674393573e-45	2.24278674795429e-42	Smp_204160	protein_coding
smansoni_prjeb14695_primary	condition	condition__ovary_mixed_sex_vs_ovary_single_sex	ovary_mixed_sex	ovary_single_sex	Smp_056260	671.592822309346	4.42415256209096	0.315910772495289	14.0044371616259	1.46435228886248e-44	3.91902511136424e-42	Smp_056260	protein_coding
smansoni_prjeb14695_primary	condition	condition__ovary_mixed_sex_vs_ovary_single_sex	ovary_mixed_sex	ovary_single_sex	Smp_124600	5174.02738202375	-3.06354800899993	0.219334080818919	-13.9674965129071	2.46127285120694e-44	6.40409522145983e-42	Smp_124600	protein_coding
smansoni_prjeb14695_primary	condition	condition__ovary_mixed_sex_vs_ovary_single_sex	ovary_mixed_sex	ovary_single_sex	Smp_347080	316.390246172756	-3.32189444987755	0.239408772085629	-13.8754082439779	8.92833019929681e-44	2.26031537775171e-41	Smp_347080	protein_coding
smansoni_prjeb14695_primary	condition	condition__ovary_mixed_sex_vs_ovary_single_sex	ovary_mixed_sex	ovary_single_sex	Smp_315570	675.304372283113	3.75864355712309	0.273142581733197	13.7607381949494	4.39021104172519e-43	1.08218702178526e-40	Smp_315570	protein_coding
smansoni_prjeb14695_primary	condition	condition__ovary_mixed_sex_vs_ovary_single_sex	ovary_mixed_sex	ovary_single_sex	Smp_051120	159.800884055938	3.79833195235206	0.27959269600479	13.5852331145553	4.89969488218946e-42	1.17680620414022e-39	Smp_051120	protein_coding
smansoni_prjeb14695_primary	condition	condition__ovary_mixed_sex_vs_ovary_single_sex	ovary_mixed_sex	ovary_single_sex	Smp_343890	1406.78551298387	1.86313183348219	0.137310345087575	13.5687652106176	6.13467905045884e-42	1.4365884666412e-39	Smp_343890	protein_coding
smansoni_prjeb14695_primary	condition	condition__ovary_mixed_sex_vs_ovary_single_sex	ovary_mixed_sex	ovary_single_sex	Smp_029850	2463.69410312398	2.05916523153267	0.152042684940367	13.5433364146411	8.67571513097816e-42	1.9820835032164e-39	Smp_029850	protein_coding
smansoni_prjeb14695_primary	condition	condition__ovary_mixed_sex_vs_ovary_single_sex	ovary_mixed_sex	ovary_single_sex	Smp_179560	874.974031775628	1.70176577914135	0.127606213692141	13.336072985027	1.42785405582796e-40	3.18445450974773e-38	Smp_179560	protein_coding
smansoni_prjeb14695_primary	condition	condition__ovary_mixed_sex_vs_ovary_single_sex	ovary_mixed_sex	ovary_single_sex	Smp_312640	254.497106863046	8.17840276959154	0.614481273723775	13.3094418321818	2.04000050245742e-40	4.44388016430666e-38	Smp_312640	protein_coding
smansoni_prjeb14695_primary	condition	condition__ovary_mixed_sex_vs_ovary_single_sex	ovary_mixed_sex	ovary_single_sex	Smp_349960	1229.32442802613	1.85541642257025	0.140409849432912	13.214289667455	7.25681353037464e-40	1.54487664406862e-37	Smp_349960	protein_coding
smansoni_prjeb14695_primary	condition	condition__ovary_mixed_sex_vs_ovary_single_sex	ovary_mixed_sex	ovary_single_sex	Smp_060940	2885.65479230257	1.36888703859864	0.103709148133191	13.1992891971363	8.85668044892641e-40	1.8435672392243e-37	Smp_060940	protein_coding
smansoni_prjeb14695_primary	condition	condition__ovary_mixed_sex_vs_ovary_single_sex	ovary_mixed_sex	ovary_single_sex	Smp_323660	1658.1613094753	-1.86599571163626	0.141807796944946	-13.1586256315702	1.51822407341398e-39	3.09156628166712e-37	Smp_323660	protein_coding
