analysis_id	variable	contrast	level_a	level_b	gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name	biotype
smansoni_prjeb14695_primary	condition	condition__whole_female_mixed_sex_vs_whole_female_single_sex	whole_female_mixed_sex	whole_female_single_sex	Smp_129960	21327.7761757407	4.58599180078324	0.211405110163413	21.6929089237168	2.39362810130472e-104	2.15378656555398e-100	Smp_129960	protein_coding
smansoni_prjeb14695_primary	condition	condition__whole_female_mixed_sex_vs_whole_female_single_sex	whole_female_mixed_sex	whole_female_single_sex	Smp_200520	355.115604959163	-4.04711451392359	0.257974867710405	-15.6880185649199	1.82668994020844e-55	8.21827804099777e-52	Smp_200520	protein_coding
smansoni_prjeb14695_primary	condition	condition__whole_female_mixed_sex_vs_whole_female_single_sex	whole_female_mixed_sex	whole_female_single_sex	Smp_125740	1112.86459101157	1.80366242060363	0.136041924359739	13.2581366302505	4.04830066885648e-40	1.21422031394569e-36	Smp_125740	protein_coding
smansoni_prjeb14695_primary	condition	condition__whole_female_mixed_sex_vs_whole_female_single_sex	whole_female_mixed_sex	whole_female_single_sex	Smp_345100	494.236569754378	-5.57194879887801	0.451517145835953	-12.3405032350697	5.48122168754658e-35	1.2330008186136e-31	Smp_345100	protein_coding
smansoni_prjeb14695_primary	condition	condition__whole_female_mixed_sex_vs_whole_female_single_sex	whole_female_mixed_sex	whole_female_single_sex	Smp_046130	2153.83027071035	-0.930365034627809	0.0824241406620007	-11.2875308999943	1.51225264552888e-29	2.72144986089377e-26	Smp_046130	protein_coding
smansoni_prjeb14695_primary	condition	condition__whole_female_mixed_sex_vs_whole_female_single_sex	whole_female_mixed_sex	whole_female_single_sex	Smp_103100	2209.77159284565	1.20771156111634	0.1115401122826	10.8275985777785	2.54748681710837e-27	3.82038106339019e-24	Smp_103100	protein_coding
smansoni_prjeb14695_primary	condition	condition__whole_female_mixed_sex_vs_whole_female_single_sex	whole_female_mixed_sex	whole_female_single_sex	Smp_181440	346.880331823204	-2.46346836442884	0.229439050606355	-10.7369184012855	6.82857328111049e-27	8.77764319763317e-24	Smp_181440	protein_coding
smansoni_prjeb14695_primary	condition	condition__whole_female_mixed_sex_vs_whole_female_single_sex	whole_female_mixed_sex	whole_female_single_sex	Smp_144700	1836.07011979508	1.45618053035331	0.136619515932073	10.6586567842717	1.58875380624827e-26	1.78695084357774e-23	Smp_144700	protein_coding
smansoni_prjeb14695_primary	condition	condition__whole_female_mixed_sex_vs_whole_female_single_sex	whole_female_mixed_sex	whole_female_single_sex	Smp_245140	266.53279019169	-3.25139660668736	0.313776637859426	-10.3621373116504	3.68631332385694e-25	3.68549414311831e-22	Smp_245140	protein_coding
smansoni_prjeb14695_primary	condition	condition__whole_female_mixed_sex_vs_whole_female_single_sex	whole_female_mixed_sex	whole_female_single_sex	Smp_144770	2766.26842940974	1.1742422622315	0.118380597825767	9.9192121327158	3.43456481598399e-23	3.09042142142239e-20	Smp_144770	protein_coding
smansoni_prjeb14695_primary	condition	condition__whole_female_mixed_sex_vs_whole_female_single_sex	whole_female_mixed_sex	whole_female_single_sex	Smp_103930	3397.94686485313	1.21514892852246	0.12413357744701	9.789043009263	1.25477844706134e-22	1.02640876969618e-19	Smp_103930	protein_coding
smansoni_prjeb14695_primary	condition	condition__whole_female_mixed_sex_vs_whole_female_single_sex	whole_female_mixed_sex	whole_female_single_sex	Smp_134050	1343.41377151683	-1.08857955697288	0.112610606493975	-9.66675867278204	4.17388355387984e-22	3.1297170181509e-19	Smp_134050	protein_coding
smansoni_prjeb14695_primary	condition	condition__whole_female_mixed_sex_vs_whole_female_single_sex	whole_female_mixed_sex	whole_female_single_sex	Smp_120080	2683.14077616395	-0.46790812101649	0.0484499340797517	-9.65755949732116	4.56611853017348e-22	3.16045650265392e-19	Smp_120080	protein_coding
smansoni_prjeb14695_primary	condition	condition__whole_female_mixed_sex_vs_whole_female_single_sex	whole_female_mixed_sex	whole_female_single_sex	Smp_096210	969.808451536857	0.984731022034865	0.103119580263494	9.54940874971228	1.30438567497864e-21	8.38347307389841e-19	Smp_096210	protein_coding
smansoni_prjeb14695_primary	condition	condition__whole_female_mixed_sex_vs_whole_female_single_sex	whole_female_mixed_sex	whole_female_single_sex	Smp_092320	1559.16429852051	1.6964450221672	0.178522864754743	9.5026764470635	2.04563700490222e-21	1.22710945134068e-18	Smp_092320	protein_coding
smansoni_prjeb14695_primary	condition	condition__whole_female_mixed_sex_vs_whole_female_single_sex	whole_female_mixed_sex	whole_female_single_sex	Smp_048230	2357.09939157062	0.719180101004538	0.0765620091168752	9.39343297413575	5.80758345862087e-21	3.26603974754191e-18	Smp_048230	protein_coding
smansoni_prjeb14695_primary	condition	condition__whole_female_mixed_sex_vs_whole_female_single_sex	whole_female_mixed_sex	whole_female_single_sex	Smp_163170	199.3760003526	-2.86683105105045	0.311684175825752	-9.19787167075547	3.6510946343474e-20	1.93250291293282e-17	Smp_163170	protein_coding
smansoni_prjeb14695_primary	condition	condition__whole_female_mixed_sex_vs_whole_female_single_sex	whole_female_mixed_sex	whole_female_single_sex	Smp_179610	4972.30236363124	0.872581175849291	0.0953990683223585	9.14664253219741	5.87304702143837e-20	2.93587094993902e-17	Smp_179610	protein_coding
smansoni_prjeb14695_primary	condition	condition__whole_female_mixed_sex_vs_whole_female_single_sex	whole_female_mixed_sex	whole_female_single_sex	Smp_244750	2213.91850123143	1.73435887510795	0.192167846373804	9.02522928697596	1.79319454384703e-19	8.49219184501872e-17	Smp_244750	protein_coding
smansoni_prjeb14695_primary	condition	condition__whole_female_mixed_sex_vs_whole_female_single_sex	whole_female_mixed_sex	whole_female_single_sex	Smp_143970	1083.29417271252	3.56964789303174	0.400191668921261	8.91984558962441	4.66938776913521e-19	2.10075755733393e-16	Smp_143970	protein_coding
smansoni_prjeb14695_primary	condition	condition__whole_female_mixed_sex_vs_whole_female_single_sex	whole_female_mixed_sex	whole_female_single_sex	Smp_191160	1318.00108685954	0.889818034410587	0.100058940682928	8.89293878525344	5.95136030004735e-19	2.55001618951553e-16	Smp_191160	protein_coding
smansoni_prjeb14695_primary	condition	condition__whole_female_mixed_sex_vs_whole_female_single_sex	whole_female_mixed_sex	whole_female_single_sex	Smp_133790	1303.25156249096	1.36368155491508	0.15380845527916	8.86610266282191	7.57506371731776e-19	3.09820106038297e-16	Smp_133790	protein_coding
smansoni_prjeb14695_primary	condition	condition__whole_female_mixed_sex_vs_whole_female_single_sex	whole_female_mixed_sex	whole_female_single_sex	Smp_163000	1087.60139568504	1.27184182323016	0.1443897525294	8.80839395421223	1.26951585704988e-18	4.96656681814557e-16	Smp_163000	protein_coding
smansoni_prjeb14695_primary	condition	condition__whole_female_mixed_sex_vs_whole_female_single_sex	whole_female_mixed_sex	whole_female_single_sex	Smp_063680	133.491919064648	-2.52881557612087	0.293554402852935	-8.61446992974503	7.02659223630531e-18	2.54416433558647e-15	Smp_063680	protein_coding
smansoni_prjeb14695_primary	condition	condition__whole_female_mixed_sex_vs_whole_female_single_sex	whole_female_mixed_sex	whole_female_single_sex	Smp_151580	1009.62893265022	-0.930323693985242	0.108004047981081	-8.61378542171126	7.06869397529025e-18	2.54416433558647e-15	Smp_151580	protein_coding
smansoni_prjeb14695_primary	condition	condition__whole_female_mixed_sex_vs_whole_female_single_sex	whole_female_mixed_sex	whole_female_single_sex	Smp_323660	1658.1613094753	-1.11971529090907	0.134827693320249	-8.30478712002786	9.99985726320199e-17	3.46071983285736e-14	Smp_323660	protein_coding
smansoni_prjeb14695_primary	condition	condition__whole_female_mixed_sex_vs_whole_female_single_sex	whole_female_mixed_sex	whole_female_single_sex	Smp_103790	236.894251103861	-1.39541585055052	0.168321670674831	-8.2901734812639	1.13083412249877e-16	3.76860942009033e-14	Smp_103790	protein_coding
smansoni_prjeb14695_primary	condition	condition__whole_female_mixed_sex_vs_whole_female_single_sex	whole_female_mixed_sex	whole_female_single_sex	Smp_001420	727.179851554219	1.01956811111455	0.123071898860638	8.2843290836771	1.18776757406354e-16	3.81697593979418e-14	Smp_001420	protein_coding
