	PRJEB14695__ovary_mixed_sex_r1	PRJEB14695__ovary_mixed_sex_r2	PRJEB14695__ovary_mixed_sex_r3	PRJEB14695__ovary_single_sex_r1	PRJEB14695__ovary_single_sex_r2	PRJEB14695__testis_mixed_sex_r1	PRJEB14695__testis_mixed_sex_r2	PRJEB14695__testis_mixed_sex_r3	PRJEB14695__testis_single_sex_r1	PRJEB14695__testis_single_sex_r2	PRJEB14695__testis_single_sex_r3	PRJEB14695__whole_female_mixed_sex_r1	PRJEB14695__whole_female_mixed_sex_r2	PRJEB14695__whole_female_mixed_sex_r3	PRJEB14695__whole_female_single_sex_r1	PRJEB14695__whole_female_single_sex_r2	PRJEB14695__whole_female_single_sex_r3	PRJEB14695__whole_male_mixed_sex_r1	PRJEB14695__whole_male_mixed_sex_r2	PRJEB14695__whole_male_mixed_sex_r3	PRJEB14695__whole_male_single_sex_r1	PRJEB14695__whole_male_single_sex_r2	PRJEB14695__whole_male_single_sex_r3
Smp_000020	3198.49769867876	3326.33584045867	3361.84939807854	3799.42524168766	3865.21348800032	2021.1854425006	2364.45310943521	2668.15794730329	2497.71608695759	2753.91061948616	2019.20974821472	2491.17323232723	2459.63906794801	2391.10744382031	1630.35875324812	1865.75834433959	1794.26354671293	3203.84179750866	2160.71056604904	2244.43040727101	1876.54836626972	1819.00587967928	1871.16306192351
Smp_000030	15727.4470578542	15480.599788921	15946.0979610053	12459.1443605561	12280.6403349546	8086.91859869654	8871.23124465532	9049.20659513388	9237.56733489054	9075.4783733867	9939.90127932476	12254.2954242892	14089.3499275825	13804.9390814522	10542.1054994335	12016.2708875896	9854.11598002196	11815.9435030302	12245.3486829461	13336.8344853503	12379.9914564062	12395.6183148175	11611.046884877
Smp_000040	3819.20363671074	4193.75106635924	4023.80802615803	4063.12687393881	3903.89897243587	6000.42829537201	5750.56750219155	6624.87106291094	5707.80115531496	6409.75703138045	6170.94768831329	6496.47084053937	6881.55195668418	7188.52810216885	6650.76862572842	6932.77081484222	6038.45761419367	6337.70206769972	7220.87854151864	7297.2762985119	7728.37330647124	7467.2664329553	7141.56665498841
Smp_000050	274.972730548165	286.650126287282	320.075638444389	66.6831713738559	90.7107910902577	845.697947669881	714.774433958508	984.548739375071	386.050892093977	522.721899244534	444.351062576636	3649.70271940414	260.676962337793	325.023348881775	608.906424924746	769.598724133233	604.948340411612	177.140741022663	2659.48863613746	2609.60812854727	955.155494613201	954.01637677439	1658.05187464561
Smp_000070	4402.66721846079	4156.42683116559	3790.96179247651	2174.78070276098	2112.36084840328	1985.26776904744	1805.06442198942	1879.59304789786	1672.51847806903	1589.8121567514	1846.10913347603	1183.30728535543	1962.27382078817	3020.24620686047	2218.4962768576	2112.54051987367	2219.12398505791	2344.38116513944	1429.89657468688	1252.48633916242	1449.61455339814	1573.90720223609	1326.67568783438
Smp_000075	0	0	0	0	0	6.5304860823929	0	16.9749782650874	0	0	2.67681362997974	0	0	0	0	0	0	0	0	0	0	2.19819441653085	1.17094058943899
Smp_000080	0	0	0	6.06210648853236	11.3388488862822	5.44207173532742	0	0	1.10616301459592	4.8103242261767	3.56908483997298	2.00901067123164	1.59924516771652	0	3.7761638755023	6.91415578004978	0.735052661496491	0	5.94963900701893	0	5.44558434785178	0	1.17094058943899
Smp_000100	117.934128226075	188.114145376029	118.885237136487	1370.03606640831	1757.52157737374	60.9512034356671	68.6287047097843	134.256646278419	96.2361822698452	214.059428064863	201.653293458474	11559.1777320431	2517.2118939858	2157.31871918605	8699.33752818842	7940.11012618178	7662.18894343942	2298.45578783727	11623.6114067127	14842.5386140509	12798.2123343212	13470.5353845011	11682.4742608328
Smp_000110	1998.05241452492	2223.03144813418	2154.70699023113	1163.16668248715	1222.59470638561	565.975460474051	661.684303899995	535.483405271395	775.420273231741	752.01402069229	670.095678704928	746.682299474425	1493.69498664723	1374.22152772821	765.617225758091	879.693358477103	851.926034674433	973.18061426031	838.89909998967	776.395040650392	749.312406264404	753.980684870082	782.188313745246
Smp_000130	551.807578910425	583.751038428787	560.659964483908	1355.63856349805	1411.35319078666	625.838249562653	1082.52070070528	811.712597039636	942.450888435725	1010.96980820147	762.891884544225	3812.4325837739	1388.14480557794	1372.32080638972	1733.25921885556	2046.05825275781	1824.40070583429	1677.36973289361	3298.08322289083	3222.77186685068	2233.7786994888	2139.94226449278	2047.9750909288
Smp_000150	2988.69909162396	2985.93881549252	2938.36470721366	2690.05975428623	2475.20401276431	1528.13374327994	1700.17904309333	1660.46151029401	1680.2616191712	1875.22472750455	1756.8820124767	2341.83677243235	2638.75452673226	2176.32593257095	1870.14515934251	2062.01399686561	1677.39017353499	2313.76424693799	2141.87004252682	2507.0653873293	2267.54132244548	2133.34768124319	2170.92385281989
Smp_000160	955.88714456924	816.654266037204	872.294047628665	240.968732919161	423.539355458188	34.8292591060955	40.1413178491191	27.7772371610522	33.1848904378776	38.4825938094136	41.9367468696826	830.39107744241	179.11545878425	209.07934723389	704.254562781179	695.138584963466	440.296544236398	347.720713859302	852.781591006047	785.81223117041	771.094743655811	683.638463541095	736.521630757125
Smp_000180	0	0	0	0.757763311066545	0	3.26524304119645	0	9.25907905368406	5.53081507297961	2.40516211308835	10.707254519919	468.099486396972	11.1947161740156	11.4043280309395	90.6279330120552	104.776052974601	79.385687441621	19.6823045580737	258.809296805324	321.230832182844	686.143627829324	619.8908254617	790.384897871319
Smp_000190	1062.64856591074	1057.02234068435	951.081897091899	1418.53291831657	1278.62195970606	625.838249562653	376.810435293344	554.001563378763	692.458047137047	569.221700097576	770.922325434164	3784.97610460041	5004.03812978499	4662.46944331575	5332.88743317812	6426.97372662473	5939.22550489165	5073.66073052566	4938.20037582571	4807.99893772042	5619.84304698303	5200.927989512	4677.90765480877
Smp_000200	1007.40573742589	1021.19107489844	942.640341792267	4366.9899616765	4450.16469231029	515.908400509039	637.081560702148	452.151693788238	1150.40953517976	1115.99522047299	918.14707508305	993.790612035917	1225.02179847085	1336.20710095841	1275.3993489509	1284.43740067848	1473.04553363897	1132.82597345357	1247.44097847164	1035.890957202	1491.00099444182	1396.95255170536	1456.6500932621
Smp_000230	848.505017289708	1246.62945546813	954.599211800079	1790.59470405025	1888.25183512147	877.26196373478	1008.71247111173	1282.38244893524	1307.48468325238	1433.47661940066	1002.02056882242	1212.77277520017	1594.44743221337	1642.22323645528	751.456611224957	701.520882606589	1143.74194128854	1360.26593723576	1276.19756700556	1246.20821214908	1047.73042852668	1013.36762602072	1030.42771870631
Smp_000240	15538.1317467544	16704.8347032729	16596.8011820186	15831.9488581133	14222.9184500636	9014.24762239633	10197.1896148972	7607.87662244373	10234.2202110415	9593.38994840506	13798.9742625455	6160.96605844369	15199.2260739778	17826.8654336969	11246.3600622147	13094.3473311404	12743.6079923647	12106.804225944	9889.29163616664	10977.3050828346	10657.0085687459	10911.8370836591	8934.2766974195
Smp_000260	5674.49368548831	6533.23412829763	6360.00845533126	9060.57591042268	10286.3369131908	11850.655410849	12566.8222492162	12897.8971217819	12567.1180088243	13897.8284101288	17705.337619896	42499.2814094578	30710.3049556603	35777.2777543956	48894.7139009726	47886.9110744878	51075.8692367452	29271.9607233129	60833.0756337663	48385.5248918536	59061.7187199308	57140.9647605112	53490.908006752
Smp_000270	4.34494156622382	13.4367246697163	7.0346294163602	3.78881655533272	4.66893777670444	11.9725578177203	42.7310802909978	3.08635968456135	9.95546713136329	7.21548633926504	11.5995257299122	6.02703201369491	12646.8307863022	11622.9109848658	104.788547545189	376.55556094425	75.7104241341386	10401.0044975776	30.7398015362645	47.0859526000911	21.7823373914071	16.4864581239814	17.5641088415849
Smp_000280	8.06917719441566	19.4086023007014	4.92424059145214	2.27328993319963	14.6738044410711	166.527395101019	111.359785000782	168.206602808594	110.616301459592	126.67187128932	104.39573156921	75.0030650593145	38042.8440496406	40880.714548241	395.553165958866	1534.94258317105	390.312963254637	37639.1270832229	73.3788810865668	151.721402822516	63.1687784350806	57.1530548298022	29.2735147359748
Smp_000300	309.732263077955	318.002483849953	286.30941724586	910.07373659092	865.087470912237	3034.49919961857	2899.23905368315	3257.65264705451	2825.14033927798	3106.66772940578	2697.33586780958	916.778536305371	271.871678511808	214.78151124936	1126.24087586856	947.23934186682	1161.38320516446	227.439963782185	1061.01895625171	971.016978064102	1004.16575374387	985.890195814087	848.931927343269
Smp_000310	1804.39216185895	1772.15468699481	1927.48846008269	1341.99882389885	1163.23249751036	2293.28902926697	2179.28509484089	2103.35412502856	1602.83020814949	1859.99203412166	1421.38803751924	2506.57564747334	2953.80582477241	2839.67767970393	1610.53389290173	1553.02575982657	1426.73721596469	3494.70252042242	2379.85560280757	2028.88137981282	1969.1233001832	2106.96934824482	2389.88974304498
Smp_000320	155.176484507994	161.240696036596	135.064884794116	672.893820227092	1209.92187527741	1140.65823572463	958.212103495101	1143.49626312998	852.851684253455	841.806739580922	1204.56613349088	2228.66250461963	905.17276492755	916.147685152138	4645.6256078367	3999.04133155341	3584.11677745689	778.544491408248	3820.65984900732	3395.42035971768	3553.78834540807	3550.08398269733	3216.57379918891
Smp_000340	25.4489434593109	26.8734493394327	16.1796476576285	90.1738340169188	70.0340666505666	125.167649912531	277.104581281016	206.786098865611	139.376539839086	206.843941725598	111.533901249156	117.192289155179	1055.5018106929	1134.73063907848	97.2362197941842	85.6291600452319	80.855792764614	1386.50900997986	174.522744205889	160.09223884031	135.050491826724	139.585345449709	107.726534228387
Smp_000370	1265.61940764719	968.937145627322	1157.19653899125	1044.1978426497	989.814808661341	1104.74056227147	1161.50845518258	1100.28722754612	860.594825355627	796.108659432243	1259.88694851046	1327.28638346037	3184.09712892359	3641.78208454667	2139.19683547205	2075.84230842571	2108.13103317194	2320.32501512402	1805.71543863025	1682.53803957659	1922.29127479168	1937.70837817195	1706.06043881261
Smp_000390	4.34494156622382	13.4367246697163	4.22077764981612	2.27328993319963	2.00097333287333	2.17682869413097	10.3590497675146	10.8022588959647	1.10616301459592	0.801720704362783	4.46135604996623	16.0720853698531	23783.9741342801	22548.2572385058	191.640316681742	690.351861731124	151.420848268277	21788.3111457876	22.8069495269059	62.7812701334548	23.9605711305478	21.9819441653085	7.02564353663395
Smp_000420	11.1727068845755	50.7609598633728	18.9934994241725	19.7018460877302	15.3407955520289	64.2164464768635	85.4621605819955	77.1589921140338	60.8389658027757	46.4998008530414	49.9671877596218	110.49558691774	83210.3253214582	83097.6361974405	1143.23361330832	4314.96506488799	1195.19562759329	96093.384697973	124.942419147398	299.257387636135	172.080465392116	126.396178950524	62.0598512402665
Smp_000430	13.6555306367034	35.8312657859102	18.9934994241725	14.3975029102644	10.6718577753244	281.89931588996	265.450650292562	171.292962493155	136.058050795298	173.973392846724	147.224749648886	80.3604268492655	116847.24893404	113167.047772351	900.615084307298	3408.14694142761	540.263706199921	108637.573469652	105.110289124001	281.469361098323	172.080465392116	138.486248241444	65.5726730085835
Smp_000470	1213.48010885251	1158.5442604111	1144.5342060418	1857.2778754241	1822.8867062476	1433.44169508524	1202.94465425263	1183.61893902928	1230.05327223066	1334.86497276403	1207.24294712086	1015.22005919572	945.153894120463	1073.9075562468	1261.23873441777	1041.37823210288	1438.49805854863	1121.8913598102	1210.75153792835	1053.67898373982	1012.87868870043	974.899223731433	998.812322791459
Smp_000480	12939.2359842145	12635.0000977566	13327.808892236	6375.82049931391	6389.7748429755	3697.34353698145	3647.68039938608	3253.02310752766	4194.57015134773	3663.06189823355	4232.04234899797	3797.0301686278	7038.2779831204	6675.33334077657	4554.99767482465	4503.77470349704	4346.36638742875	5898.13059923608	3860.32410905412	4600.82074628002	4824.78773219667	4674.46042675286	4200.16389431766
Smp_000500	0.620705938031974	0	0	0	0	0	0	0	4.42465205838369	0	0	2.00901067123164	123.141877914172	87.433181570536	51.9222532881566	48.3990904603485	61.0093709042088	67.7946045889204	3.96642600467929	4.18541800889699	1.08911686957036	2.19819441653085	3.51282176831697
