	PRJEB32839__f_26d_juveniles_r1	PRJEB32839__f_26d_juveniles_r2	PRJEB32839__f_26d_juveniles_r3	PRJEB32839__f_26d_juveniles_r4	PRJEB32839__f_26d_juveniles_r5	PRJEB32839__f_2d_somules_r1	PRJEB32839__f_2d_somules_r2	PRJEB32839__f_2d_somules_r3	PRJEB32839__f_2d_somules_r4	PRJEB32839__f_2d_somules_r5	PRJEB32839__f_32d_sporocysts_r1	PRJEB32839__f_32d_sporocysts_r2	PRJEB32839__f_32d_sporocysts_r3	PRJEB32839__f_32d_sporocysts_r4	PRJEB32839__f_32d_sporocysts_r5	PRJEB32839__f_cercariae_r1	PRJEB32839__f_cercariae_r2	PRJEB32839__f_cercariae_r3	PRJEB32839__f_cercariae_r4	PRJEB32839__f_cercariae_r5	PRJEB32839__m_26d_juveniles_r1	PRJEB32839__m_26d_juveniles_r2	PRJEB32839__m_26d_juveniles_r3	PRJEB32839__m_26d_juveniles_r4	PRJEB32839__m_26d_juveniles_r5	PRJEB32839__m_2d_somules_r1	PRJEB32839__m_2d_somules_r2	PRJEB32839__m_2d_somules_r3	PRJEB32839__m_2d_somules_r4	PRJEB32839__m_2d_somules_r5	PRJEB32839__m_32d_sporocysts_r1	PRJEB32839__m_32d_sporocysts_r2	PRJEB32839__m_32d_sporocysts_r3	PRJEB32839__m_32d_sporocysts_r4	PRJEB32839__m_32d_sporocysts_r5	PRJEB32839__m_cercariae_r1	PRJEB32839__m_cercariae_r2	PRJEB32839__m_cercariae_r3	PRJEB32839__m_cercariae_r4	PRJEB32839__m_cercariae_r5	PRJEB32839__x_1d_sporocysts_r1	PRJEB32839__x_1d_sporocysts_r2	PRJEB32839__x_1d_sporocysts_r3	PRJEB32839__x_1d_sporocysts_r4	PRJEB32839__x_1d_sporocysts_r5	PRJEB32839__x_2d_somules_r1	PRJEB32839__x_2d_somules_r2	PRJEB32839__x_2d_somules_r3	PRJEB32839__x_2d_somules_r4	PRJEB32839__x_2d_somules_r5	PRJEB32839__x_32d_sporocysts_r1	PRJEB32839__x_32d_sporocysts_r2	PRJEB32839__x_32d_sporocysts_r3	PRJEB32839__x_32d_sporocysts_r4	PRJEB32839__x_32d_sporocysts_r5	PRJEB32839__x_5d_sporocysts_r1	PRJEB32839__x_5d_sporocysts_r2	PRJEB32839__x_5d_sporocysts_r3	PRJEB32839__x_5d_sporocysts_r4	PRJEB32839__x_5d_sporocysts_r5	PRJEB32839__x_cercariae_r1	PRJEB32839__x_cercariae_r2	PRJEB32839__x_cercariae_r3	PRJEB32839__x_cercariae_r4	PRJEB32839__x_cercariae_r5	PRJEB32839__x_eggs_r1	PRJEB32839__x_eggs_r2	PRJEB32839__x_eggs_r3	PRJEB32839__x_eggs_r4	PRJEB32839__x_eggs_r5	PRJEB32839__x_miracidia_r1	PRJEB32839__x_miracidia_r2	PRJEB32839__x_miracidia_r3	PRJEB32839__x_miracidia_r4	PRJEB32839__x_miracidia_r5
Smp_000020	4411.72790829681	4389.75064957851	4227.08008451212	4400.88312777454	4292.74203084659	3157.25793798149	4329.89817349289	4242.77092364961	4168.8636462525	4207.27694570952	4866.36583279509	4698.71694577311	3914.69454001146	3287.50407609257	4854.6624430238	3843.64811779242	4134.21893493766	4276.6916074544	4755.46976827497	3500.41463610587	3569.71284059541	3296.24355601651	4228.28143314751	4848.17954163322	4482.79145954709	2796.35593309951	2451.52376948088	3004.03571347516	2933.95203536299	2859.59586849735	4961.96769367692	3452.08592840488	4869.74623189871	4799.37171458807	4075.54940235302	3522.8061613335	3606.98436367172	3228.56080668261	3501.24647949107	3137.02227585238	5576.28832059097	5085.33345383997	7686.34728375748	6116.39807818288	5291.04143719412	3324.18268290382	3317.00365605597	2382.22309243103	4290.70037878547	4475.2111914587	3600.78841315356	4015.08770469586	4634.16062074383	3887.12380592044	4897.29363562028	5692.59279042408	4695.51615428352	4900.33118823483	4724.21238919794	4492.10212278494	3790.45420476774	4047.27059624856	4272.37491050138	4865.86191436499	3817.90039403986	3336.07951419813	4719.46963165851	4078.97223884881	4042.16349300723	3489.14231637748	1002.06434341318	3965.60427376061	533.142455114739	3734.4799105657	3880.9420850944
Smp_000030	17706.4815182852	19839.2782064986	17090.3912677475	17946.0877383412	18672.6803289653	14259.2321624759	18047.2984201132	17273.62727523	17304.9882092329	17816.6653000513	18144.9756327497	15607.434065492	15581.7246429357	10959.0187993349	17139.4908227067	14656.3349946125	12225.3098603466	14752.3920050351	16090.0200095676	13565.1765237844	15276.6537489475	14202.8542341639	19781.5047215641	18699.5081713891	19232.2809203868	15140.9181539062	13148.3336622393	15020.8275273485	15985.8441198964	14878.9094174668	19049.2071328761	15502.3291838632	19564.7443805126	16660.2600045175	17364.6897437073	18590.7382490032	19240.3682414901	18346.2875100536	17580.45236891	18830.4170032587	24621.9818310412	30426.3916223589	27029.7601709561	29597.8695224464	29294.3769715774	14956.1242097336	15364.6842021567	12913.1082984915	19633.7050961657	19656.9824247538	14536.8017593123	16571.7872332069	20876.0167026837	17520.187627869	19479.8455972342	24631.8532619008	23085.4063152809	20745.38099346	20956.7494974167	22733.9896478521	13364.1047342184	16310.6616320042	15434.8091754875	17391.1596215506	13080.5595484058	11837.9571611671	13666.8916663328	20283.20586358	13451.57392155	14080.9487160782	12596.5382463175	22611.8506019047	4722.11888815912	20655.8678362234	20787.688051094
Smp_000040	9400.9280609384	9229.39351374479	9082.30487648584	9453.57272960867	9465.99365562689	9591.20241544997	8647.02957986049	8660.98132009149	9167.04441847904	8450.20878078945	5643.91188872378	6464.1705350475	5109.96373225691	5488.57976652364	5653.89469871954	6743.85533394488	5784.12698386671	6958.48441102387	7035.33519760194	6089.35211146535	9379.6026168706	9181.13705135798	9904.76379731803	9890.65401559232	10065.0307191244	9334.71848205466	9155.20920583839	9163.96377402954	9320.44547438929	9127.63341076106	5798.4059672168	5658.99130198923	6309.11434708629	6034.00442471306	5352.40398479553	6632.731449316	6317.2341930627	5601.44789516363	5750.43431009502	5530.90988960167	5967.39510071388	6861.7222929688	8067.03901243415	7695.2565180444	6818.88683202654	9059.01001836169	8698.35015949847	8599.33898450423	8901.57013500749	8740.75086204836	5205.42241216298	5317.06760117006	5511.05438797888	5104.40731356394	5431.07613300239	4387.17098822211	5688.97053383302	4651.11803426136	4683.00244547421	5446.29316255768	4348.26031541337	6124.37146685314	6036.92964918655	6194.32392514848	5538.78937057064	5007.81780734398	9108.89287194197	5787.29879800833	6874.31391129559	5208.18581440592	3480.69996932638	5588.4643648064	2001.0151886774	5776.2140921264	5100.11876255427
Smp_000050	945.116236702844	921.794811493923	1180.42652754861	1095.85954641161	1042.89865838869	3410.77228754087	2682.98521433037	2475.84480481326	2888.95567280384	2286.88802054924	1055.71986042042	643.440283509865	582.599763515867	653.066413644385	587.301005870803	675.550275248365	1223.98464951389	968.753347544919	1878.53025492414	1005.62034166856	1074.55641630168	1118.0858142008	937.44441427667	1075.05776435204	1055.00321993803	3220.46593627498	3205.03667198754	4050.15918941423	2683.37313891535	2855.50000427893	739.30350629009	793.001166349117	1277.12050155935	462.785000125485	619.121356450229	1167.60935151948	879.361137938492	1112.87044274774	631.407583244627	1004.65179637822	4284.42926464958	1843.65313252097	3050.06587380235	4327.44641921023	3726.60094308427	3424.21115419609	4117.44161458304	3508.91526961795	3088.98841055945	3172.80714119283	1326.20044338846	795.221254133938	1649.74929089983	1125.22004908223	800.673746073177	2968.49341322638	2108.95475167265	3132.59643284788	3241.8489062663	3362.95615519404	794.267396680203	1019.50790263807	1066.13186562236	884.702166248179	626.012007929612	823.716813847781	1643.12724003548	1417.51517520278	1448.7714149755	1543.6087271396	503.979419775453	1709.58783680208	477.751031206714	1717.63012301331	1181.33658500469
Smp_000070	3569.30304068068	3388.71846173841	3468.45121076623	3335.15575412968	3558.1248345026	2715.91496969075	4622.55175836495	2871.47871794683	3174.97665732521	4651.71928762917	2694.59926278736	4169.76781591268	4251.09891958997	3432.62994579132	3802.19030406266	2808.96910426547	2808.47784187748	3012.58662956042	2599.52537525484	2363.56440587915	3113.09140945511	3221.52870208013	3239.02114036034	2817.58297760909	2877.78656096839	2445.79653858285	2728.1228247346	2467.99477605229	2822.82574215578	2663.67703004934	3078.6324842226	3308.67082385238	3191.64234237245	2566.35318251405	3340.59243727661	2392.93323372244	2382.82812909473	2479.22804189913	2440.65384392173	2400.98762644454	5899.96289724441	11266.0047762133	4517.1533860155	6143.25209867077	5637.17008452642	3785.30978500223	2750.5831164837	3442.1674896606	3203.12951148415	2760.12033821251	3591.36450819408	4540.55743536868	3465.95977151206	3408.90528506049	3636.79520806732	7642.63579567032	7811.75716466402	9277.05650115234	8480.28972366896	8966.88788752645	2971.93436849425	2711.3636893435	3001.08833256683	2596.34728088439	3338.73070895793	4431.90290863065	2745.65011689891	3797.80381526759	3736.99890524822	3908.99085475852	13132.9373948504	5379.091322021	25736.2403332661	5155.31811479685	5006.29606756267
Smp_000075	1.33365414398332	0	0	0	0.515520839539641	14.657146548401	57.941481568628	60.8667558667033	36.6509301773621	80.4307969518769	20.1089497222938	25.1880538028773	15.0348326068611	40.3127415829867	37.7165783586754	0	7.26831739616325	5.0631708059839	0	7.13205916076991	0	0	0	2.45167107035814	0	19.5816555520205	8.23211473969403	8.43647964466992	8.71578770252652	7.50908440044661	16.1891278749655	26.9957843863529	20.8604074664866	14.5631643396132	10.6515502184986	0	1.33641510324999	2.47304542832831	2.15130352042462	1.18333544920874	20.5845673748903	3.05746788146098	55.6794024935262	34.7522618078573	37.3574971790363	2.9053912823482	19.3257628265973	6.46780813540136	5.74294847419838	33.281193788736	18.8478099189575	4.67777208314081	0	7.67195488010612	16.0777860657264	0	8.13639950490993	8.39318912345886	1.79173668364018	8.95673691901822	2.02103663277405	0	2.2421280034119	1.40876141122322	3.86427165388649	4.75526063157795	1.2917666981411	4.06019384232804	3.54842543905827	1.08628341107643	0	0.219009458980538	0	0	0
Smp_000080	20.4493635410775	2.64124587820608	7.08053615496167	22.2026536176013	15.4656251861892	17.3714329462531	32.4079473180461	38.48927209218	25.1525991413269	33.1673389492276	10.0544748611469	18.3185845839107	5.63806222757291	36.281467424688	26.9404131133396	40.7659648856772	15.9902982715591	57.3826024678175	25.3474846991263	27.1018248109257	9.10641030764136	21.9749570401101	9.51720217539767	2.45167107035814	14.4444885299572	12.4176352281106	6.03688414244229	12.9791994533383	28.3263100332112	17.0661009101059	16.1891278749655	15.1851287173235	30.131699673814	4.85438811320439	11.9829939958109	22.1978964167202	505.164909028496	24.7304542832831	25.8156422450955	17.7500317381312	23.4238180472889	23.6953760813226	52.4422279299491	33.1726135438638	36.5950992774233	15.3570682066976	20.3798953444117	18.885999755372	10.0501598298472	31.0624475361536	3.42687453071954	14.0333162494224	8.91756373459365	0	3.21555721314529	5.96083014704092	29.2910382176757	16.140748314344	14.9311390303348	8.95673691901822	50.5259158193513	27.8313938938555	21.3002160324131	50.7154108040358	70.8449803212524	33.2868244210457	19.3765004721165	18.7783965207672	37.5119260700445	51.5984620261302	0	20.8058986031511	41.5435679310187	19.4219660552742	25.3995141137472
Smp_000100	17863.8527072752	18935.0917008594	16728.2724186795	17857.2771238708	18807.7467889247	5895.9729134142	7201.43871767371	6842.13943889824	5889.30142751927	6993.33341744463	11663.1908389304	13477.8986076123	12356.753048764	11912.4151377726	10695.3440059958	12126.9039352774	35937.4685335896	22055.1720308659	41757.1646546218	33560.6175869189	26582.9126037634	25751.1336578826	25503.986896249	22993.6100511214	23072.2926403508	8784.04411982345	6626.85236545369	7386.46240889485	7765.76684295112	8248.3878918724	11602.2083103919	9676.30146598338	11811.6262721351	12909.4361223815	11550.2747681844	26513.1674801306	38969.8644107697	20508.9657371267	9009.65914353832	40538.7058189932	6408.18876760377	4291.92053860085	6171.3495880034	5821.79367694809	6212.78050024422	5382.85993439626	7000.14267329948	5897.08874553355	5161.47494118579	5708.83410789452	12430.9873601851	7210.00603748104	8177.40594462238	12014.2813422462	11826.8194299484	10753.3375852618	6465.18304660143	5361.95659002506	5821.94973070815	6869.81721688698	30115.4668649662	35616.8601331103	28592.7373635103	35741.6857641442	18932.3549229412	5368.68925305151	9667.58196888799	5122.44205632712	8168.98227863199	5308.12388822495	2640.73426970062	4375.15196205422	844.719214597379	4779.01752247592	6430.22393022519
Smp_000110	1848.88919494221	1870.00208176991	1716.52426499571	1917.35773026285	1894.53908530818	2048.74337309872	2740.92669589899	2524.18016976623	2503.04293740691	2506.62164108787	2067.87032977588	1879.94474292384	1456.49940878967	1322.25792392196	1918.15741366978	3449.57712389754	3387.03590661207	3734.93233121412	3854.22586786159	2751.54842422503	1529.87693168375	1364.20533305003	1453.4882655649	1452.00219141961	1507.78237962707	2015.47771779333	1742.46428656857	2021.51031485745	2060.19431818471	1980.35034960869	1759.21856241292	1548.883129167	2039.68428561202	1648.87382911842	1838.72385646832	3036.67222980732	2769.05209393398	2705.51169859117	2968.79885818598	2613.98800730212	2535.450850452	1949.13577443137	3283.1424423799	2842.57705105633	2466.35721171801	2038.339512516	2423.09928094936	2014.3341656894	2348.14805738786	2573.74565299558	1987.58722781733	1969.34204700228	2238.30849738301	1838.7118529321	2340.92565116977	2420.09703969861	2139.87306979131	2410.78216823041	2543.66884520784	2315.61505146351	3384.22584158015	3304.6118223441	3513.41458134645	3731.8089783303	3405.7114176253	1663.81285875989	2331.63889014469	2269.14083363108	2101.68169576222	2007.99488537477	736.812017215575	2559.34453764657	491.598887183721	2157.05210501389	1967.68480766907
Smp_000130	4817.15876806774	4549.98623285635	4798.58050273403	4930.57500693732	4693.81724400843	4554.57257559572	5128.31214832839	5011.66126614223	5048.48597050919	4467.64055646095	2677.84180468545	2292.11289606183	2595.38797875939	2547.76526804476	2424.63718020056	5301.51667156116	6013.80581358547	6732.32944835659	7715.49270369516	6358.94394774245	5439.12878517836	5226.52378241977	5288.92074225016	6695.51369314807	5873.9068164322	4092.08840901736	3715.42778584857	3848.33263791482	3777.20449558243	3949.77839463492	2177.43769918286	2500.48452878594	2132.3972076853	2511.33678389774	2416.57045582186	5323.05556072951	4574.54889842471	5030.17440121979	4273.56444332351	4534.54144136791	5014.82650012413	3650.61665046441	5533.62619897871	5178.08700937073	4861.81141858601	4014.42064041026	4112.17095199397	3637.23658302431	4536.92929461672	4490.74241522678	2373.96733115596	4116.43943316392	3418.39943159423	3442.15042287428	2980.82153658568	5396.25437739976	4127.59546884081	5697.68415496342	5071.80930582413	4172.64517267329	5278.94768480583	6590.18111202398	5683.79448864918	7141.01159349048	4718.27568939541	3198.17695588237	6104.24353206577	3367.42326798082	5329.73500946551	4138.19665449564	2791.0439212126	6766.7352541217	1225.53525396505	7475.6361219629	5199.64338928568
