analysis_id	variable	contrast	level_a	level_b	gene_id	group	gene_name	gene_display_label	description	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	biotype	source_file	result_dir	deg_project	deg_mode	contrast_label	padj_num	log2FoldChange_num	neg_log10_padj	significant
smansoni_prjeb32839_primary	condition	condition__miracidium_mixed_vs_egg_mixed	miracidium_mixed	egg_mixed	Smp_000700	Writers	Smp_000700	Smp_000700		2324.15466325394	-1.2327884590729	0.132635242987196	-9.29457685082918	1.47792895583715e-20	1.12992287201737e-18	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__miracidium_mixed_vs_egg_mixed	1.12992287201737e-18	-1.2327884590729	17.94695120023379	TRUE
smansoni_prjeb32839_primary	condition	condition__miracidium_mixed_vs_egg_mixed	miracidium_mixed	egg_mixed	Smp_179650	Grupo HP1; Readers	Smp_179650	Smp_179650		19222.6291106233	1.42224947638734	0.164458964996858	8.6480507548768	5.23865321571958e-18	2.51301276318783e-16	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__miracidium_mixed_vs_egg_mixed	2.51301276318783e-16	1.42224947638734	15.599805305689967	TRUE
smansoni_prjeb32839_primary	condition	condition__miracidium_mixed_vs_egg_mixed	miracidium_mixed	egg_mixed	Smp_001500	Grupo HP1	Smp_001500	Smp_001500		7803.69738487252	2.27693812493369	0.269140800992409	8.46002581748249	2.67318336572239e-17	1.06340538280323e-15	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__miracidium_mixed_vs_egg_mixed	1.06340538280323e-15	2.27693812493369	14.973301145680837	TRUE
smansoni_prjeb32839_primary	condition	condition__miracidium_mixed_vs_egg_mixed	miracidium_mixed	egg_mixed	Smp_170390	Readers	Smp_170390	Smp_170390		2105.04043966555	-1.00167402439802	0.153896459307031	-6.50875289079676	7.57772556077968e-11	5.8161272421796e-10	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__miracidium_mixed_vs_egg_mixed	5.8161272421796e-10	-1.00167402439802	9.23536610077832	TRUE
smansoni_prjeb32839_primary	condition	condition__miracidium_mixed_vs_egg_mixed	miracidium_mixed	egg_mixed	Smp_175680	Readers	Smp_175680	Smp_175680		3526.19745209693	1.14073155625356	0.193066636322737	5.90848619927613	3.45265731849018e-09	1.90783198863608e-08	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__miracidium_mixed_vs_egg_mixed	1.90783198863608e-8	1.14073155625356	7.719459873668093	TRUE
smansoni_prjeb32839_primary	condition	condition__miracidium_mixed_vs_egg_mixed	miracidium_mixed	egg_mixed	Smp_140390	Writers	Smp_140390	Smp_140390		6169.75930938339	0.583537231402851	0.107197435974548	5.44357452300817	5.22218710703981e-08	2.33994153065437e-07	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__miracidium_mixed_vs_egg_mixed	2.33994153065437e-7	0.583537231402851	6.630794994398156	FALSE
smansoni_prjeb32839_primary	condition	condition__miracidium_mixed_vs_egg_mixed	miracidium_mixed	egg_mixed	Smp_041760	Readers	Smp_041760	Smp_041760		10038.6207043123	-1.25065143169668	0.278174914926114	-4.49591736921666	6.92706355189771e-06	2.16161492088236e-05	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__miracidium_mixed_vs_egg_mixed	2.1616149208823598e-05	-1.25065143169668	4.665221670526657	TRUE
smansoni_prjeb32839_primary	condition	condition__miracidium_mixed_vs_egg_mixed	miracidium_mixed	egg_mixed	Smp_121610	Writers	Smp_121610	Smp_121610		1473.81819604994	0.631657412125147	0.146273711687085	4.31832490500014	1.57217875258654e-05	4.592639185914e-05	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__miracidium_mixed_vs_egg_mixed	4.592639185914e-5	0.631657412125147	4.3379376729626165	FALSE
smansoni_prjeb32839_primary	condition	condition__miracidium_mixed_vs_egg_mixed	miracidium_mixed	egg_mixed	Smp_029240	Writers	PRMT1	PRMT1 | Smp_029240		11423.8059699232	0.691263618830767	0.169485089849426	4.07861021547617	4.53057229558604e-05	0.00012223926243343	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__miracidium_mixed_vs_egg_mixed	1.2223926243343e-4	0.691263618830767	3.912789279204067	FALSE
smansoni_prjeb32839_primary	condition	condition__miracidium_mixed_vs_egg_mixed	miracidium_mixed	egg_mixed	Smp_160810	Erasers	Smp_160810	Smp_160810		2978.31204166108	-0.721470755910302	0.179651289559247	-4.01595088841469	5.92065853061241e-05	0.000156003135111936	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__miracidium_mixed_vs_egg_mixed	1.56003135111936e-4	-0.721470755910302	3.806866673772894	FALSE
