group	gene_id	gene_name	gene_display_label	dataset	batch	condition	stage_class	stage_day	stage	tissue	sex	n	mean_TPM	median_TPM	mean_log2TPM	fraction_expressed
Erasers	Smp_019170	Smp_019170	Smp_019170	PRJEB32839	not_declared	cercaria_female	cercaria		cercaria	whole_organism	female	5	19.8686246	21.323477	4.334603171648332	1
Erasers	Smp_019170	Smp_019170	Smp_019170	PRJEB32839	not_declared	cercaria_male	cercaria		cercaria	whole_organism	male	5	13.4882808	13.874871	3.8512373416289596	1
Erasers	Smp_019170	Smp_019170	Smp_019170	PRJEB32839	not_declared	cercaria_mixed	cercaria		cercaria	whole_organism	mixed	5	13.5769858	15.543087	3.8190819817153203	1
Erasers	Smp_019170	Smp_019170	Smp_019170	PRJEB32839	not_declared	egg_mixed	egg		egg	whole_organism	mixed	5	22.72783	23.771753	4.535441757818352	1
Erasers	Smp_019170	Smp_019170	Smp_019170	PRJEB32839	not_declared	juvenile_26d_female	juvenile_26d	26	juvenile_26d	whole_organism	female	5	66.9737756	68.355534	6.085003307236043	1
Erasers	Smp_019170	Smp_019170	Smp_019170	PRJEB32839	not_declared	juvenile_26d_male	juvenile_26d	26	juvenile_26d	whole_organism	male	5	50.9008162	53.333234	5.684355828035027	1
Erasers	Smp_019170	Smp_019170	Smp_019170	PRJEB32839	not_declared	miracidium_mixed	miracidium		miracidium	whole_organism	mixed	5	17.0678904	24.932117	3.317712801705345	0.8
Erasers	Smp_019170	Smp_019170	Smp_019170	PRJEB32839	not_declared	schistosomulum_2d_female	schistosomulum_2d	2	schistosomulum_2d	whole_organism	female	5	48.687173800000004	50.698288	5.610040329428212	1
Erasers	Smp_019170	Smp_019170	Smp_019170	PRJEB32839	not_declared	schistosomulum_2d_male	schistosomulum_2d	2	schistosomulum_2d	whole_organism	male	5	36.5032462	37.470911	5.223790654947676	1
Erasers	Smp_019170	Smp_019170	Smp_019170	PRJEB32839	not_declared	schistosomulum_2d_mixed	schistosomulum_2d	2	schistosomulum_2d	whole_organism	mixed	5	46.5742554	42.88449	5.518775063783545	1
Erasers	Smp_019170	Smp_019170	Smp_019170	PRJEB32839	not_declared	sporocyst_1d_mixed	sporocyst_1d	1	sporocyst_1d	whole_organism	mixed	5	6.3579802	6.581834	2.8616619098575544	1
Erasers	Smp_019170	Smp_019170	Smp_019170	PRJEB32839	not_declared	sporocyst_32d_female	sporocyst_32d	32	sporocyst_32d	whole_organism	female	5	44.9764504	46.725436	5.499054812303906	1
Erasers	Smp_019170	Smp_019170	Smp_019170	PRJEB32839	not_declared	sporocyst_32d_male	sporocyst_32d	32	sporocyst_32d	whole_organism	male	5	51.4885066	54.510138	5.699647132255973	1
Erasers	Smp_019170	Smp_019170	Smp_019170	PRJEB32839	not_declared	sporocyst_32d_mixed	sporocyst_32d	32	sporocyst_32d	whole_organism	mixed	5	39.803037	37.555928	5.34059866132518	1
Erasers	Smp_019170	Smp_019170	Smp_019170	PRJEB32839	not_declared	sporocyst_5d_mixed	sporocyst_5d	5	sporocyst_5d	whole_organism	mixed	5	17.681767	17.311736	4.209335215194466	1
Erasers	Smp_034000	Smp_034000	Smp_034000	PRJEB32839	not_declared	cercaria_female	cercaria		cercaria	whole_organism	female	5	30.553372	28.760483	4.930993475808551	1
Erasers	Smp_034000	Smp_034000	Smp_034000	PRJEB32839	not_declared	cercaria_male	cercaria		cercaria	whole_organism	male	5	20.8177228	20.658328	4.445535107007468	1
Erasers	Smp_034000	Smp_034000	Smp_034000	PRJEB32839	not_declared	cercaria_mixed	cercaria		cercaria	whole_organism	mixed	5	26.9573814	30.310534	4.785280443208069	1
Erasers	Smp_034000	Smp_034000	Smp_034000	PRJEB32839	not_declared	egg_mixed	egg		egg	whole_organism	mixed	5	25.953801	25.538109	4.737654109798811	1
Erasers	Smp_034000	Smp_034000	Smp_034000	PRJEB32839	not_declared	juvenile_26d_female	juvenile_26d	26	juvenile_26d	whole_organism	female	5	42.9788436	43.445145	5.456437426536403	1
Erasers	Smp_034000	Smp_034000	Smp_034000	PRJEB32839	not_declared	juvenile_26d_male	juvenile_26d	26	juvenile_26d	whole_organism	male	5	27.8331572	30.676828	4.834703199837918	1
Erasers	Smp_034000	Smp_034000	Smp_034000	PRJEB32839	not_declared	miracidium_mixed	miracidium		miracidium	whole_organism	mixed	5	16.7449842	25.420373	3.441442837553	0.8
Erasers	Smp_034000	Smp_034000	Smp_034000	PRJEB32839	not_declared	schistosomulum_2d_female	schistosomulum_2d	2	schistosomulum_2d	whole_organism	female	5	42.973684	44.280622	5.445584670165916	1
Erasers	Smp_034000	Smp_034000	Smp_034000	PRJEB32839	not_declared	schistosomulum_2d_male	schistosomulum_2d	2	schistosomulum_2d	whole_organism	male	5	26.656806200000002	26.408022	4.778303261707091	1
Erasers	Smp_034000	Smp_034000	Smp_034000	PRJEB32839	not_declared	schistosomulum_2d_mixed	schistosomulum_2d	2	schistosomulum_2d	whole_organism	mixed	5	40.035075	39.806545	5.316966074733029	1
Erasers	Smp_034000	Smp_034000	Smp_034000	PRJEB32839	not_declared	sporocyst_1d_mixed	sporocyst_1d	1	sporocyst_1d	whole_organism	mixed	5	22.3505526	20.881464	4.476768278704038	1
Erasers	Smp_034000	Smp_034000	Smp_034000	PRJEB32839	not_declared	sporocyst_32d_female	sporocyst_32d	32	sporocyst_32d	whole_organism	female	5	26.7095722	28.785533	4.767915356672468	1
Erasers	Smp_034000	Smp_034000	Smp_034000	PRJEB32839	not_declared	sporocyst_32d_male	sporocyst_32d	32	sporocyst_32d	whole_organism	male	5	29.9289094	31.214219	4.941302097197799	1
Erasers	Smp_034000	Smp_034000	Smp_034000	PRJEB32839	not_declared	sporocyst_32d_mixed	sporocyst_32d	32	sporocyst_32d	whole_organism	mixed	5	24.2368134	22.881734	4.650603426424397	1
Erasers	Smp_034000	Smp_034000	Smp_034000	PRJEB32839	not_declared	sporocyst_5d_mixed	sporocyst_5d	5	sporocyst_5d	whole_organism	mixed	5	19.117479	19.45661	4.327245747951341	1
Erasers	Smp_132170	Smp_132170	Smp_132170	PRJEB32839	not_declared	cercaria_female	cercaria		cercaria	whole_organism	female	5	29.2320298	30.624515	4.878947412166929	1
Erasers	Smp_132170	Smp_132170	Smp_132170	PRJEB32839	not_declared	cercaria_male	cercaria		cercaria	whole_organism	male	5	22.0303624	21.825572	4.519460190469587	1
Erasers	Smp_132170	Smp_132170	Smp_132170	PRJEB32839	not_declared	cercaria_mixed	cercaria		cercaria	whole_organism	mixed	5	26.7646586	25.75711	4.784405971722713	1
