process	tasks	cached	completed	total_realtime_seconds	max_realtime_seconds	max_peak_rss_bytes
RNASEQ:RNASEQ_ALIGNMENT_QUANTIFICATION:IMPORT:IMPORT_SOURCE	75	0	75	39.649	1.200	12792627
RNASEQ:RNASEQ_ALIGNMENT_QUANTIFICATION:IMPORT:SALMON_IMPORT	1	0	1	36.100	36.100	724251443
RNASEQ:RNASEQ_ALIGNMENT_QUANTIFICATION:IMPORT:SALMON_SAMPLE_TABLE	1	0	1	1.900	1.900	15833497
RNASEQ:RNASEQ_ALIGNMENT_QUANTIFICATION:IMPORT:TX2GENE_BUILD	1	0	1	21.400	21.400	637219635
RNASEQ:RNASEQ_ALIGNMENT_QUANTIFICATION:QUANTIFICATION:SALMON_QUANT	75	0	75	19225.000	1018.000	1181116006
RNASEQ:RNASEQ_ALIGNMENT_QUANTIFICATION:RNASEQ_ALIGNMENT_PLAN	1	0	1	7.500	7.500	78433484
RNASEQ:RNASEQ_ALIGNMENT_QUANTIFICATION:RNASEQ_IMPORT_CONTEXT	1	0	1	0.460	0.460	3670016
RNASEQ:RNASEQ_ALIGNMENT_QUANTIFICATION:RNASEQ_QUANTIFICATION_PLAN	1	0	1	17.200	17.200	76336332
RNASEQ:RNASEQ_ALIGNMENT_QUANTIFICATION:SALMON_INDEX_VALIDATE	1	0	1	3.800	3.800	23383244
RNASEQ:RNASEQ_DIFFERENTIAL_EXPRESSION:DIFFERENTIAL_EXPRESSION:DESEQ2_CONTRAST	12	0	12	448.600	40.800	1395864371
RNASEQ:RNASEQ_DIFFERENTIAL_EXPRESSION:DIFFERENTIAL_EXPRESSION:DESEQ2_MODEL	1	0	1	71.000	71.000	1008415539
RNASEQ:RNASEQ_DIFFERENTIAL_EXPRESSION:DIFFERENTIAL_EXPRESSION:DE_AGGREGATE	1	0	1	6.900	6.900	357040128
RNASEQ:RNASEQ_DIFFERENTIAL_EXPRESSION:DIFFERENTIAL_EXPRESSION:DE_PREFLIGHT	1	0	1	1.200	1.200	23697817
RNASEQ:RNASEQ_DIFFERENTIAL_EXPRESSION:RNASEQ_DE_CONTEXT	1	0	1	3.300	3.300	6186598
RNASEQ:RNASEQ_NATIVE_FOUNDATION:REFERENCE_BUNDLE	1	0	1	16.200	16.200	22963814
RNASEQ:RNASEQ_NATIVE_FOUNDATION:RNASEQ_CONTEXT	1	0	1	0.204	0.204	3565158
RNASEQ:RNASEQ_NATIVE_FOUNDATION:RNASEQ_METADATA	1	0	1	0.672	0.672	13946060
RNASEQ:RNASEQ_QC:FASTQC_MERGED	150	0	150	37009.000	642.000	1610612736
RNASEQ:RNASEQ_QC:FASTQC_RAW	300	0	300	39605.300	381.000	1610612736
RNASEQ:RNASEQ_QC:FASTQC_TRIMMED	300	0	300	38401.800	570.000	1610612736
RNASEQ:RNASEQ_QC:MERGE_FASTQ	75	0	75	14236.100	462.000	11010048
RNASEQ:RNASEQ_QC:MULTIQC	1	0	1	183.000	183.000	752353280
RNASEQ:RNASEQ_QC:TRIM_GALORE	150	0	150	68966.000	1601.000	373712486
RNASEQ:RUN_MANIFEST	1	0	1	5.900	5.900	35232153
