sample_id	run_accession	raw_read_pairs	trimmed_read_pairs	trim_retention_percent	salmon_processed_fragments	salmon_mapped_fragments	salmon_mapping_percent	fastqc_warn_flags	fastqc_fail_flags	classification
adult_control_r1	SRR10776771	22867024	22867024	100.0000	22841418	20482520	89.6727	0	0	PASS
adult_control_r2	SRR10776770	23862425	23862425	100.0000	23842956	21439214	89.9184	0	0	PASS
adult_control_r3	SRR10776769	24014650	24014650	100.0000	23985521	20956684	87.3722	0	0	PASS
adult_control_r4	SRR10776768	23367890	23367890	100.0000	23347894	20786085	89.0277	0	0	PASS
adult_control_r5	SRR10776767	22108386	22108386	100.0000	22090907	19367043	87.6698	0	0	PASS
adult_pzq_r1	SRR10776766	21779295	21779295	100.0000	21769202	18672653	85.7756	0	0	PASS
adult_pzq_r2	SRR10776765	23913401	23913401	100.0000	23897098	20957839	87.7004	0	0	PASS
adult_pzq_r3	SRR10776764	21619517	21619517	100.0000	21596326	19218398	88.9892	0	0	PASS
adult_pzq_r4	SRR10776763	23961952	23961952	100.0000	23936088	20754929	86.7098	0	0	PASS
adult_pzq_r5	SRR10776762	25196440	25196440	100.0000	25172375	22145727	87.9763	0	0	PASS
juvenile_control_r1	SRR10776773	20827446	20827446	100.0000	20768079	18499488	89.0765	0	0	PASS
juvenile_control_r2	SRR10776772	19990835	19990835	100.0000	19928494	17542602	88.0277	0	0	PASS
juvenile_control_r3	SRR10776761	19933803	19933803	100.0000	19875201	17503584	88.0675	0	0	PASS
juvenile_control_r4	SRR10776760	20302247	20302247	100.0000	20241622	17958659	88.7214	0	0	PASS
juvenile_control_r5	SRR10776759	21809292	21809292	100.0000	21744810	19064731	87.6749	0	0	PASS
juvenile_pzq_r1	SRR10776758	20803613	20803613	100.0000	20760887	18120292	87.2809	0	0	PASS
juvenile_pzq_r2	SRR10776757	18845423	18845423	100.0000	18790827	16255236	86.5062	0	0	PASS
juvenile_pzq_r3	SRR10776756	20689279	20689279	100.0000	20624798	18021916	87.3798	0	0	PASS
juvenile_pzq_r4	SRR10776755	20250653	20250653	100.0000	20187614	17699526	87.6752	0	0	PASS
juvenile_pzq_r5	SRR10776754	19734305	19734305	100.0000	19671899	17288738	87.8855	0	0	PASS
