gene_id	PRJNA597909__adult_control_r1	PRJNA597909__adult_control_r2	PRJNA597909__adult_control_r3	PRJNA597909__adult_control_r4	PRJNA597909__adult_control_r5	PRJNA597909__adult_pzq_r1	PRJNA597909__adult_pzq_r2	PRJNA597909__adult_pzq_r3	PRJNA597909__adult_pzq_r4	PRJNA597909__adult_pzq_r5	PRJNA597909__juvenile_control_r1	PRJNA597909__juvenile_control_r2	PRJNA597909__juvenile_control_r3	PRJNA597909__juvenile_control_r4	PRJNA597909__juvenile_control_r5	PRJNA597909__juvenile_pzq_r1	PRJNA597909__juvenile_pzq_r2	PRJNA597909__juvenile_pzq_r3	PRJNA597909__juvenile_pzq_r4	PRJNA597909__juvenile_pzq_r5
Smp_000020	34.761459	32.051823	29.057551	32.032626	30.109864	36.34256	38.082313	38.603767	35.372179	36.080092	55.219942	57.791279	54.065419	64.56848	63.411701	55.867223	51.480758	54.458015	50.758511	55.949234
Smp_000030	177.672373	171.043691	167.803605	176.260165	169.814699	230.813671	232.514226	248.747682	248.083669	238.600922	244.844469	266.162542	240.121008	254.998738	263.022432	278.022694	263.88194	299.671275	294.922365	283.512397
Smp_000040	132.686378	121.707136	118.887006	119.973069	115.449038	150.999745	158.544004	155.661893	155.56513	157.241559	127.458507	128.823981	134.77028	136.056466	139.109459	145.702121	144.671669	153.172863	147.259625	136.943467
Smp_000050	6.329403	5.465049	6.595695	5.666043	5.97098	19.35868	16.574679	19.840591	25.844367	19.615389	6.194414	6.638433	7.851561	8.364852	7.792714	9.24655	9.189611	10.786856	11.003329	7.411847
Smp_000070	83.421002	81.996665	81.215012	86.742975	83.456809	86.809714	84.342829	93.696513	95.487722	93.7312	113.530635	113.806221	116.549685	96.841826	103.104749	122.746246	112.02476	106.547736	104.664891	108.081147
Smp_000075	0	0	0	0	0	0.066095	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smp_000080	0.164907	0.923525	0.165046	0.337432	0.511334	0.829514	0.709484	0.359092	0.165639	0.70118	0	0.310526	0.31785	0.663086	0.296328	0.474341	0.376679	0.150927	0.150864	0.156576
Smp_000100	75.572111	59.996195	81.62485	69.897745	68.691047	65.374014	58.596535	59.969811	47.715555	44.024256	127.089422	130.619198	131.330965	147.640387	142.045699	126.432235	119.904337	115.063224	109.634332	112.805078
Smp_000110	12.781184	13.563392	13.350011	14.425718	12.793453	13.299026	12.756069	14.523956	16.130894	13.988384	14.835272	16.14065	14.624324	15.522951	16.020965	17.423445	16.814161	16.044545	16.381833	15.351649
Smp_000130	44.197345	39.223416	42.426339	38.393579	38.372793	50.724672	54.514111	57.290666	48.16026	50.544675	59.392055	65.461723	65.728227	64.783209	61.631091	69.155424	75.452568	75.547722	69.83983	61.917697
Smp_000150	21.081851	20.595434	20.720034	21.692567	18.844884	30.109304	31.705834	31.746858	31.702822	33.821674	25.920006	30.390116	31.045421	29.087703	30.351525	32.581051	31.819736	34.771224	35.199387	31.140253
