	PRJNA597909__adult_control_r1	PRJNA597909__adult_control_r2	PRJNA597909__adult_control_r3	PRJNA597909__adult_control_r4	PRJNA597909__adult_control_r5	PRJNA597909__adult_pzq_r1	PRJNA597909__adult_pzq_r2	PRJNA597909__adult_pzq_r3	PRJNA597909__adult_pzq_r4	PRJNA597909__adult_pzq_r5	PRJNA597909__juvenile_control_r1	PRJNA597909__juvenile_control_r2	PRJNA597909__juvenile_control_r3	PRJNA597909__juvenile_control_r4	PRJNA597909__juvenile_control_r5	PRJNA597909__juvenile_pzq_r1	PRJNA597909__juvenile_pzq_r2	PRJNA597909__juvenile_pzq_r3	PRJNA597909__juvenile_pzq_r4	PRJNA597909__juvenile_pzq_r5
Smp_000020	2343.62601178982	2263.56074708767	1979.54227090286	2208.31374042116	2126.72136927357	2183.61074500298	2330.47094515366	2316.3109301836	2110.99826673785	2236.90076317661	3403.77058815952	3423.42423378319	3139.55985018841	3639.48028368625	3580.38513025402	3099.99414424462	2758.51511536666	2961.64811201406	2867.95317714807	3185.76774254681
Smp_000030	8812.53676987909	8887.19746058054	8410.19954229258	8936.98172648934	8820.86993121932	10201.4785877912	10465.5241556302	10977.3843620186	10893.2810140912	10882.4927688803	11099.8973572754	11596.8909110293	10255.3175223793	10574.2770869729	10924.7399782873	11346.4709561515	10402.5931459008	11986.6159472297	12257.2964338264	11875.1052145373
Smp_000040	5728.97105564634	5504.05629422438	5186.78143097143	5294.91205012309	5219.46824240517	5809.3414115118	6211.28993606011	5979.33692368809	5946.12566179048	6242.96373205477	5029.30962605627	4885.56905458469	5010.07427939973	4911.03143602737	5029.63488997702	5176.23112238859	4964.21937026426	5332.98132823212	5327.53815762267	4992.68530077728
Smp_000050	635.477626803925	574.336308962544	669.047219444572	581.64541011971	627.96890825007	1731.14188227758	1509.85723782542	1771.58320196626	2296.48347009139	1810.38376922003	568.355462695796	585.078296793972	678.413692170502	701.723123779824	654.687894137604	763.201735048972	733.388355972983	873.383984053126	925.078976137844	628.11896071821
Smp_000070	1677.19665887063	1726.76275897235	1650.25302776229	1782.74318201691	1757.26632825311	1555.73545091267	1538.65070124044	1676.08531759184	1699.39776786763	1732.98818057308	2086.79766900247	2009.7604771228	2017.90142942728	1628.0800816037	1735.7971317862	2031.10139166259	1790.265231499	1727.62806534154	1763.6922371637	1834.88175853642
Smp_000080	0.967241441101864	8.44612219062564	1.90340602971429	2.90822705059855	4.1864593883338	5.97976470562203	5.39877439031735	2.9234046237067	0.883262873112073	5.88879478835513	0	2.20368473368728	2.16745588552876	5.15215215697374	1.94269404788607	3.07742635100392	2.21567479145916	1.00736330340614	1.04175560375883	1.07554616561337
Smp_000100	10649.3282665315	8855.2898878604	11621.2455144206	10068.2820491722	10136.4647940032	8208.22368591718	7492.59905802876	7518.99669217362	5952.30850190226	5704.55963711944	16367.7890339036	16167.3330486967	15935.1356704074	17392.635251512	16760.592898137	14657.7817098317	13428.0970736383	13075.5756782117	12944.8551323073	13422.8161468549
Smp_000110	946.929370838725	1052.94989976466	999.288165600001	1092.52396200819	993.237489882194	878.028784275502	857.505332328739	957.902248367894	1058.14892198826	953.143499315194	1005.22570640973	1050.05577560199	933.089758720131	961.3915924913	993.688005493722	1062.73789988002	990.406631782246	959.009864842648	1016.75346926862	960.462725892743
Smp_000130	3026.49846920773	2813.49714749952	2935.05209781943	2687.20179475306	2751.55043298239	3094.5282351594	3386.83113419242	3490.54512070579	2919.1837956354	3182.47295490678	3716.57816557605	3936.88277673232	3875.41112332542	3708.5191225897	3533.76047310475	3896.02176037096	4105.64538857383	4171.49143940484	4006.59205205647	3580.49318532692
Smp_000150	1898.69494888296	1942.6081038439	1885.323672432	1996.98257474434	1777.1520103477	2415.8249410713	2590.51191162061	2543.36202262482	2527.01507997364	2800.54255006203	2133.45371444765	2403.11820208598	2406.95976087969	2189.66466671384	2288.49358840978	2413.72806797074	2277.71368562002	2524.45243833579	2655.43503398127	2367.27711051504
