sample_id	run_accession	time_hours	raw_read_pairs	trimmed_read_pairs	trim_retention_percent	salmon_fragments_processed	salmon_fragments_mapped	salmon_mapping_percent	imported_count_sum	qc_flag
pzq_0h	SRR10947824	0	24891914	24878228	99.94501828987518	24878228	21881850	87.95582225550791	21881849.934000015	NONE
pzq_0p25h	SRR10947823	0.25	25199423	25184426	99.94048673257319	25184426	22538805	89.4950117187503	22538804.99999999	NONE
pzq_1h	SRR10947822	1	21803624	21792326	99.94818292592093	21792326	18602217	85.36131939289088	18602217.041000057	NONE
pzq_3h	SRR10947821	3	21867663	21845044	99.89656416417246	21845044	18250621	83.54581936296398	18250620.97999998	NONE
pzq_6h	SRR10947820	6	19862119	19844058	99.90906811101071	19844058	17088674	86.11481583051209	17088673.963999983	NONE
pzq_9h	SRR10947819	9	22487182	22470480	99.92572657614458	22470480	17899926	79.65974024586924	17899926.017000087	NONE
pzq_12h	SRR10947818	12	22167490	22152031	99.93026274061701	22152031	18317212	82.68863473511752	18317211.99400014	NONE
pzq_24h	SRR10947817	24	22311787	22299280	99.94394442722137	22299280	18734864	84.01555565919617	18734864.035999928	NONE
pzq_48h	SRR10947816	48	24705663	24690562	99.93887636207131	24690562	19063455	77.20948190648718	19063454.99200001	NONE
pzq_96h	SRR10947815	96	25100967	25080364	99.91791949688633	25080364	17192665	68.55030094459555	17192664.995999992	REVIEW
