	pzq_0h	pzq_0p25h	pzq_1h	pzq_3h	pzq_6h	pzq_9h	pzq_12h	pzq_24h	pzq_48h	pzq_96h
pzq_0h	1	0.993793833709026	0.993496287656332	0.990851922868389	0.989576046387034	0.988969308667238	0.978175725351821	0.966901225864081	0.959000069906657	0.941429512418787
pzq_0p25h	0.993793833709026	1	0.988127152842599	0.98529451149874	0.985414965091344	0.986158670666219	0.972966200850236	0.961498953154612	0.956926250423346	0.9431164709825
pzq_1h	0.993496287656332	0.988127152842599	1	0.995358517787405	0.992422159856351	0.991095818310128	0.982903525852442	0.97160880154929	0.958637303463228	0.936868919100937
pzq_3h	0.990851922868389	0.98529451149874	0.995358517787405	1	0.992011163571291	0.991726574857981	0.98243309284799	0.971213050930961	0.957417963935648	0.931723594626282
pzq_6h	0.989576046387034	0.985414965091344	0.992422159856351	0.992011163571291	1	0.992260512413599	0.989435387170561	0.979573092525147	0.967009305434479	0.943680946648052
pzq_9h	0.988969308667238	0.986158670666219	0.991095818310128	0.991726574857981	0.992260512413599	1	0.985055561221011	0.973467585018624	0.963671038405797	0.941053783942868
pzq_12h	0.978175725351821	0.972966200850236	0.982903525852442	0.98243309284799	0.989435387170561	0.985055561221011	1	0.988549323353296	0.974277596073504	0.948906413161682
pzq_24h	0.966901225864081	0.961498953154612	0.97160880154929	0.971213050930961	0.979573092525147	0.973467585018624	0.988549323353296	1	0.985378028702995	0.960428481558558
pzq_48h	0.959000069906657	0.956926250423346	0.958637303463228	0.957417963935648	0.967009305434479	0.963671038405797	0.974277596073504	0.985378028702995	1	0.97639879375186
pzq_96h	0.941429512418787	0.9431164709825	0.936868919100937	0.931723594626282	0.943680946648052	0.941053783942868	0.948906413161682	0.960428481558558	0.97639879375186	1
