gene_id	PRJEB32839__f_26d_juveniles_r1	PRJEB32839__f_26d_juveniles_r2	PRJEB32839__f_26d_juveniles_r3	PRJEB32839__f_26d_juveniles_r4	PRJEB32839__f_26d_juveniles_r5	PRJEB32839__f_2d_somules_r1	PRJEB32839__f_2d_somules_r2	PRJEB32839__f_2d_somules_r3	PRJEB32839__f_2d_somules_r4	PRJEB32839__f_2d_somules_r5	PRJEB32839__f_32d_sporocysts_r1	PRJEB32839__f_32d_sporocysts_r2	PRJEB32839__f_32d_sporocysts_r3	PRJEB32839__f_32d_sporocysts_r4	PRJEB32839__f_32d_sporocysts_r5	PRJEB32839__f_cercariae_r1	PRJEB32839__f_cercariae_r2	PRJEB32839__f_cercariae_r3	PRJEB32839__f_cercariae_r4	PRJEB32839__f_cercariae_r5	PRJEB32839__m_26d_juveniles_r1	PRJEB32839__m_26d_juveniles_r2	PRJEB32839__m_26d_juveniles_r3	PRJEB32839__m_26d_juveniles_r4	PRJEB32839__m_26d_juveniles_r5	PRJEB32839__m_2d_somules_r1	PRJEB32839__m_2d_somules_r2	PRJEB32839__m_2d_somules_r3	PRJEB32839__m_2d_somules_r4	PRJEB32839__m_2d_somules_r5	PRJEB32839__m_32d_sporocysts_r1	PRJEB32839__m_32d_sporocysts_r2	PRJEB32839__m_32d_sporocysts_r3	PRJEB32839__m_32d_sporocysts_r4	PRJEB32839__m_32d_sporocysts_r5	PRJEB32839__m_cercariae_r1	PRJEB32839__m_cercariae_r2	PRJEB32839__m_cercariae_r3	PRJEB32839__m_cercariae_r4	PRJEB32839__m_cercariae_r5	PRJEB32839__x_1d_sporocysts_r1	PRJEB32839__x_1d_sporocysts_r2	PRJEB32839__x_1d_sporocysts_r3	PRJEB32839__x_1d_sporocysts_r4	PRJEB32839__x_1d_sporocysts_r5	PRJEB32839__x_2d_somules_r1	PRJEB32839__x_2d_somules_r2	PRJEB32839__x_2d_somules_r3	PRJEB32839__x_2d_somules_r4	PRJEB32839__x_2d_somules_r5	PRJEB32839__x_32d_sporocysts_r1	PRJEB32839__x_32d_sporocysts_r2	PRJEB32839__x_32d_sporocysts_r3	PRJEB32839__x_32d_sporocysts_r4	PRJEB32839__x_32d_sporocysts_r5	PRJEB32839__x_5d_sporocysts_r1	PRJEB32839__x_5d_sporocysts_r2	PRJEB32839__x_5d_sporocysts_r3	PRJEB32839__x_5d_sporocysts_r4	PRJEB32839__x_5d_sporocysts_r5	PRJEB32839__x_cercariae_r1	PRJEB32839__x_cercariae_r2	PRJEB32839__x_cercariae_r3	PRJEB32839__x_cercariae_r4	PRJEB32839__x_cercariae_r5	PRJEB32839__x_eggs_r1	PRJEB32839__x_eggs_r2	PRJEB32839__x_eggs_r3	PRJEB32839__x_eggs_r4	PRJEB32839__x_eggs_r5	PRJEB32839__x_miracidia_r1	PRJEB32839__x_miracidia_r2	PRJEB32839__x_miracidia_r3	PRJEB32839__x_miracidia_r4	PRJEB32839__x_miracidia_r5
Smp_000020	4122.469	4118.907	4111.595	4111.874	4106.95	4120.653	4114.993	4118.304	4124.019	4117.915	4104.871	4109.9	4108.442	4110.567	4109.168	4114.246	4121.306	4116.044	4111.892	4116.28	4114.494	4106.62	4106.058	4104.654	4107.104	4112.835	4118.226	4119.82	4127.501	4117.033	4113.237	4110.14	4110.843	4110.286	4115.346	4133.721	4116.243	4114.429	4108.732	4109.88	4118.705	4118.817	4114.155	4118.037	4114.345	4119.859	4118.491	4121.894	4110.852	4112.347	4113.557	4107.837	4116.058	4113.055	4117.325	4112.823	4115.186	4107.205	4108.461	4112.25	4113.732	4119.17	4108.899	4118.596	4122.217	4114.161	4113.139	4114.652	4113.752	4108.432	4120.995	4108.495	4128.364	4118.057	4116.803
Smp_000030	3026.469	3022.907	3015.595	3015.874	3010.95	3024.653	3018.993	3022.304	3028.019	3021.915	3008.871	3013.9	3012.4420000000005	3014.567	3013.168	3018.246	3025.306	3020.044	3015.892	3020.28	3018.494	3010.62	3010.058	3008.654	3011.104	3016.835	3022.226	3023.82	3031.501	3021.033	3017.237	3014.14	3014.843	3014.2860000000005	3019.346	3037.721	3020.243	3018.429	3012.732	3013.88	3022.705	3022.817	3018.155	3022.037	3018.345	3023.859	3022.491	3025.894	3014.852	3016.3469999999998	3017.557	3011.837	3020.058	3017.055	3021.325	3016.823	3019.186	3011.205	3012.461	3016.25	3017.732	3023.17	3012.899	3022.596	3026.217	3018.161	3017.139	3018.652	3017.752	3012.432	3024.995	3012.495	3032.3639999999996	3022.057	3020.803
Smp_000040	2631.469	2627.907	2620.595	2620.874	2615.95	2629.653	2623.993	2627.304	2633.019	2626.915	2613.871	2618.9	2617.442	2619.567	2618.168	2623.246	2630.306	2625.044	2620.892	2625.2799999999997	2623.494	2615.62	2615.058	2613.654	2616.104	2621.835	2627.226	2628.82	2636.501	2626.033	2622.237	2619.14	2619.843	2619.286	2624.346	2642.721	2625.243	2623.429	2617.732	2618.88	2627.705	2627.817	2623.155	2627.037	2623.345	2628.859	2627.491	2630.894	2619.852	2621.347	2622.557	2616.837	2625.058	2622.055	2626.325	2621.823	2624.186	2616.205	2617.461	2621.25	2622.732	2628.17	2617.899	2627.596	2631.217	2623.161	2622.139	2623.652	2622.752	2617.432	2629.995	2617.495	2637.364	2627.057	2625.803
Smp_000050	6147.469	6143.907	6136.595	6136.874	6131.95	6145.653	6139.993	6143.304	6149.019	6142.915	6129.871	6134.9	6133.442	6135.567	6134.168	6139.246	6146.306	6141.044	6136.892	6141.28	6139.494	6131.62	6131.058	6129.654	6132.104	6137.835	6143.226	6144.82	6152.501	6142.033	6138.237	6135.14	6135.843	6135.286	6140.346	6158.721	6141.243	6139.429	6133.732	6134.88	6143.705	6143.817000000001	6139.155	6143.037	6139.345	6144.859	6143.491	6146.894	6135.852	6137.347	6138.557	6132.837	6141.058	6138.055	6142.325	6137.823	6140.186	6132.205	6133.461	6137.25	6138.732	6144.17	6133.899	6143.596	6147.217	6139.161	6138.139	6139.652	6138.752	6133.432000000001	6145.995	6133.495	6153.364	6143.057000000001	6141.803
Smp_000070	1213.469	1209.907	1202.595	1202.874	1197.95	1211.653	1205.993	1209.304	1215.019	1208.915	1195.871	1200.9	1199.442	1201.567	1200.168	1205.246	1212.306	1207.044	1202.892	1207.28	1205.494	1197.62	1197.058	1195.654	1198.104	1203.835	1209.226	1210.82	1218.501	1208.033	1204.237	1201.14	1201.843	1201.286	1206.346	1224.721	1207.243	1205.429	1199.732	1200.88	1209.705	1209.817	1205.155	1209.037	1205.3450000000003	1210.859	1209.491	1212.894	1201.852	1203.347	1204.557	1198.837	1207.058	1204.055	1208.325	1203.823	1206.186	1198.205	1199.461	1203.25	1204.732	1210.17	1199.899	1209.596	1213.217	1205.161	1204.139	1205.6519999999998	1204.752	1199.432	1211.995	1199.495	1219.364	1209.057	1207.803
Smp_000075	1017.4690000000002	1009.2900434404311	1009.2900434404311	1009.2900434404311	1001.95	1015.6530000000001	1009.9930000000002	1013.3040000000001	1019.019	1012.915	999.871	1004.9	1003.4419999999999	1005.567	1004.168	1009.2900434404311	1016.306	1011.0439999999999	1009.2900434404311	1011.28	1009.2900434404311	1009.2900434404311	1009.2900434404311	999.654	1009.2900434404311	1007.835	1013.2260000000001	1014.82	1022.501	1012.033	1008.237	1005.14	1005.843	1005.286	1010.346	1009.2900434404311	1011.243	1009.429	1003.732	1004.88	1013.705	1013.817	1009.1549999999999	1013.037	1009.345	1014.859	1013.491	1016.894	1005.8520000000001	1007.347	1008.557	1002.837	1009.2900434404311	1008.055	1012.3250000000002	1009.2900434404311	1010.186	1002.2049999999999	1003.461	1007.2499999999999	1008.732	1009.2900434404311	1003.899	1013.596	1017.217	1009.1609999999998	1008.139	1009.652	1008.7520000000001	1003.432	1009.2900434404311	1003.495	1009.2900434404311	1009.2900434404311	1009.2900434404311
Smp_000080	510.6549999999999	507.191	499.913	500.202	495.269	508.959	503.416	506.793	512.186	506.301	493.67400000000004	498.319	498.116	499.851	497.993	502.452	509.506	504.407	500.145	504.9769999999999	502.707	495.069	494.305	493.004	495.512	501.394	506.504	507.94	515.681	505.206	501.59	498.52299999999997	499.43499999999995	498.52399999999994	503.503	522.097	504.84499999999997	503.01899999999995	497.208	498.022	507.15099999999995	507.17400000000004	502.73	506.433	502.869	508.107	506.835	510.419	499.359	500.658	502.164	496.174	504.308	502.95465573980965	505.499	501.279	503.499	495.848	496.849	500.552	502.02899999999994	507.59499999999997	497.23400000000004	507.086	510.322	502.546	501.54	503.022	501.976	496.87800000000004	502.95465573980965	497.092	516.577	506.502	505.168
Smp_000100	8639.469	8635.907	8628.595	8628.874	8623.95	8637.653	8631.993	8635.304	8641.019	8634.915	8621.871	8626.9	8625.442	8627.567	8626.168	8631.246	8638.306	8633.044	8628.892	8633.28	8631.494	8623.62	8623.058	8621.654	8624.104	8629.835	8635.226	8636.82	8644.501	8634.033	8630.237	8627.14	8627.843	8627.286	8632.346	8650.721	8633.243	8631.429	8625.732	8626.88	8635.705	8635.817	8631.155	8635.037	8631.345	8636.859	8635.491	8638.894	8627.852	8629.347	8630.557	8624.837	8633.058	8630.055	8634.325	8629.823	8632.186	8624.205	8625.461	8629.25	8630.732	8636.17	8625.899	8635.596	8639.217	8631.161	8630.139	8631.652	8630.752	8625.432	8637.995	8625.495	8645.364	8635.057	8633.803
Smp_000110	4532.469	4528.907	4521.595	4521.874	4516.95	4530.653	4524.993	4528.304	4534.019	4527.915	4514.871	4519.9	4518.442	4520.567	4519.168	4524.246	4531.306	4526.044	4521.892	4526.28	4524.494	4516.62	4516.058	4514.654	4517.104	4522.835	4528.226	4529.82	4537.501	4527.033	4523.237	4520.14	4520.843	4520.286	4525.346	4543.721	4526.243	4524.429	4518.732	4519.88	4528.704999999999	4528.817	4524.155	4528.037	4524.345	4529.859	4528.491	4531.894	4520.852	4522.347	4523.557	4517.837	4526.058	4523.055	4527.325	4522.823	4525.186	4517.205	4518.461	4522.25	4523.732	4529.17	4518.899	4528.596	4532.217	4524.161	4523.139	4524.652	4523.752	4518.432	4530.995	4518.495	4538.364	4528.057	4526.803
Smp_000130	4186.469	4182.907	4175.595	4175.874	4170.95	4184.653	4178.993	4182.304	4188.019	4181.915	4168.871	4173.9	4172.442	4174.567	4173.168	4178.246	4185.306	4180.044	4175.892	4180.28	4178.494	4170.62	4170.058	4168.654	4171.104	4176.835	4182.226	4183.82	4191.501	4181.033	4177.237	4174.14	4174.843	4174.286	4179.346	4197.721	4180.243	4178.429	4172.732	4173.88	4182.705	4182.817	4178.155	4182.037	4178.345	4183.859	4182.491	4185.894	4174.852	4176.347	4177.557	4171.837	4180.058	4177.055	4181.325	4176.823	4179.186	4171.205	4172.461	4176.25	4177.732	4183.17	4172.899	4182.596	4186.217	4178.161	4177.139	4178.652	4177.752	4172.432	4184.995	4172.495	4192.364	4182.057	4180.803
