group	query	matched_gene_id	match_type	gene_name	biotype	description	chromosome	gene_start	gene_end	strand	location	found_in_tpm	found_in_expression_matrix	gene_display_label	query_display
Grupo HP1	Smp_179650	Smp_179650	gene_id	Smp_179650	protein_coding		SM_V10_2	42397649	42399894	+	SM_V10_2:42397649-42399894(+)	TRUE	TRUE	Smp_179650	Smp_179650
Grupo HP1	Smp_001500	Smp_001500	gene_id	Smp_001500	protein_coding		SM_V10_2	21396123	21400220	+	SM_V10_2:21396123-21400220(+)	TRUE	TRUE	Smp_001500	Smp_001500
Writers	Smp_210650	Smp_210650	gene_id	Smp_210650	protein_coding		SM_V10_Z	35662022	35687306	-	SM_V10_Z:35662022-35687306(-)	TRUE	TRUE	Smp_210650	Smp_210650
Writers	Smp_078900	Smp_078900	gene_id	Smp_078900	protein_coding		SM_V10_Z	85596879	85619894	+	SM_V10_Z:85596879-85619894(+)	TRUE	TRUE	Smp_078900	Smp_078900
Writers	Smp_070170	Smp_070170	gene_id	Smp_070170	protein_coding		SM_V10_4	32370279	32390207	+	SM_V10_4:32370279-32390207(+)	TRUE	TRUE	Smp_070170	Smp_070170
Writers	Smp_138030	Smp_138030	gene_id	Smp_138030	protein_coding		SM_V10_3	6666828	6673158	-	SM_V10_3:6666828-6673158(-)	TRUE	TRUE	Smp_138030	Smp_138030
Writers	Smp_144180	Smp_144180	gene_id	Smp_144180	protein_coding		SM_V10_1	75645071	75687933	+	SM_V10_1:75645071-75687933(+)	TRUE	TRUE	Smp_144180	Smp_144180
Writers	Smp_161010	Smp_161010	unmatched	Smp_161010	Unknown							FALSE	FALSE	Smp_161010	Smp_161010
Writers	Smp_210660	Smp_210660	gene_id	Smp_210660	protein_coding		SM_V10_3	25772039	25798864	+	SM_V10_3:25772039-25798864(+)	TRUE	TRUE	Smp_210660	Smp_210660
Writers	Smp_160700	Smp_160700	gene_id	Smp_160700	protein_coding		SM_V10_4	29548494	29578463	+	SM_V10_4:29548494-29578463(+)	TRUE	TRUE	Smp_160700	Smp_160700
Writers	Smp_137060	Smp_137060	unmatched	Smp_137060	Unknown							FALSE	FALSE	Smp_137060	Smp_137060
Writers	Smp_055310	Smp_055310	gene_id	Smp_055310	protein_coding		SM_V10_3	47336079	47349220	-	SM_V10_3:47336079-47349220(-)	TRUE	TRUE	Smp_055310	Smp_055310
Writers	Smp_027300	Smp_027300	gene_id	Smp_027300	protein_coding		SM_V10_4	40277370	40302193	+	SM_V10_4:40277370-40302193(+)	TRUE	TRUE	Smp_027300	Smp_027300
Writers	Smp_062530	Smp_062530	gene_id	Smp_062530	protein_coding		SM_V10_4	33251319	33259978	-	SM_V10_4:33251319-33259978(-)	TRUE	TRUE	Smp_062530	Smp_062530
Writers	Smp_140390	Smp_140390	gene_id	Smp_140390	protein_coding		SM_V10_1	37345367	37371436	-	SM_V10_1:37345367-37371436(-)	TRUE	TRUE	Smp_140390	Smp_140390
Writers	Smp_150850	Smp_150850	gene_id	Smp_150850	protein_coding		SM_V10_4	27596432	27641490	-	SM_V10_4:27596432-27641490(-)	TRUE	TRUE	Smp_150850	Smp_150850
Writers	Smp_043580	Smp_043580	gene_id	Smp_043580	protein_coding		SM_V10_5	12795039	12798329	+	SM_V10_5:12795039-12798329(+)	TRUE	TRUE	Smp_043580	Smp_043580
Writers	Smp_000700	Smp_000700	gene_id	Smp_000700	protein_coding		SM_V10_3	36205102	36222187	+	SM_V10_3:36205102-36222187(+)	TRUE	TRUE	Smp_000700	Smp_000700
Writers	Smp_124950	Smp_124950	unmatched	Smp_124950	Unknown							FALSE	FALSE	Smp_124950	Smp_124950
Writers	Smp_121610	Smp_121610	gene_id	Smp_121610	protein_coding		SM_V10_2	37922309	37929655	+	SM_V10_2:37922309-37929655(+)	TRUE	TRUE	Smp_121610	Smp_121610
Writers	Smp_149380	Smp_149380	gene_id	Smp_149380	protein_coding		SM_V10_6	18295057	18299803	-	SM_V10_6:18295057-18299803(-)	TRUE	TRUE	Smp_149380	Smp_149380
Writers	Smp_131300	Smp_131300	unmatched	Smp_131300	Unknown							FALSE	FALSE	Smp_131300	Smp_131300
Writers	Smp_165000	Smp_165000	gene_id	Smp_165000	protein_coding		SM_V10_6	7073719	7119095	-	SM_V10_6:7073719-7119095(-)	TRUE	TRUE	Smp_165000	Smp_165000
