gene_id	PRJNA602528__pzq_0h	PRJNA602528__pzq_0p25h	PRJNA602528__pzq_12h	PRJNA602528__pzq_1h	PRJNA602528__pzq_24h	PRJNA602528__pzq_3h	PRJNA602528__pzq_48h	PRJNA602528__pzq_6h	PRJNA602528__pzq_96h	PRJNA602528__pzq_9h
Smp_000020	4145.801	4145.155	4144.581	4145.323	4144.03	4144.065	4145.156	4144.303	4145.636	4144.679
Smp_000030	3049.801	3049.155	3048.581	3049.323	3048.03	3048.065	3049.156	3048.303	3049.636	3048.679
Smp_000040	2654.801	2654.155	2653.581	2654.323	2653.03	2653.065	2654.156	2653.303	2654.636	2653.679
Smp_000050	6170.801	6170.155	6169.581	6170.323	6169.03	6169.065	6170.156	6169.303	6170.636	6169.679
Smp_000070	1236.801	1236.155	1235.581	1236.323	1235.03	1235.065	1236.156	1235.303	1236.636	1235.679
Smp_000075	1039.9174726505946	1039.9174726505946	1039.9174726505946	1039.9174726505946	1039.9174726505946	1039.9174726505946	1040.156	1039.9174726505946	1039.9174726505946	1039.679
Smp_000080	534.123	533.0401217244599	532.99	533.0401217244599	532.415	532.467	533.548	532.669	533.0401217244599	533.071
Smp_000100	8662.801	8662.155	8661.581	8662.323	8661.03	8661.065	8662.156	8661.303	8662.636	8661.679
Smp_000110	4555.801	4555.155	4554.581	4555.323	4554.03	4554.065	4555.156	4554.303	4555.636	4554.679
Smp_000130	4209.801	4209.155	4208.581	4209.323	4208.03	4208.065	4209.156	4208.303	4209.636	4208.679
Smp_000150	5535.801	5535.155	5534.581	5535.323	5534.03	5534.065	5535.156	5534.303	5535.636	5534.679
Smp_000160	4074.801	4074.155	4073.581	4074.323	4073.03	4073.065	4074.156	4073.303	4074.636	4073.679
Smp_000180	1232.801	1232.155	1231.581	1232.323	1231.03	1231.065	1232.156	1231.303	1232.636	1231.679
Smp_000190	1531.801	1531.155	1530.5809999999997	1531.323	1530.03	1530.0650000000003	1531.156	1530.303	1531.636	1530.6789999999999
Smp_000200	9373.801	9373.155	9372.581	9373.323	9372.03	9372.065	9373.156	9372.303	9373.636	9372.679
Smp_000230	7158.801	7158.155	7157.581	7158.323	7157.03	7157.065	7158.156	7157.303	7158.636000000001	7157.679
Smp_000240	1622.801	1622.155	1621.581	1622.3229999999999	1621.03	1621.065	1622.156	1621.3029999999999	1622.636	1621.6789999999999
Smp_000250	12.8404	12.8404	12.8404	12.8404	12.8404	12.8404	12.8404	12.8404	12.8404	12.8404
Smp_000260	3064.801	3064.1550000000007	3063.581	3064.323	3063.03	3063.0649999999996	3064.156	3063.303	3064.6360000000004	3063.679
Smp_000270	796.816	796.168	795.611	796.342	795.0529999999999	795.08	796.186	795.325	796.659	795.706
Smp_000280	706.956	706.276	705.751	706.463	705.181	705.249	706.345	705.452	706.768	705.862
Smp_000300	4677.801	4677.155	4676.581	4677.323	4676.03	4676.065	4677.156	4676.303	4677.636	4676.679
Smp_000310	1039.801	1039.155	1038.581	1039.323	1038.03	1038.065	1039.156	1038.303	1039.636	1038.679
Smp_000320	1796.801	1796.155	1795.581	1796.323	1795.03	1795.065	1796.156	1795.303	1796.636	1795.6789999999999
Smp_000340	6739.801	6739.155	6738.581	6739.323	6738.03	6738.0650000000005	6739.156	6738.303	6739.636	6738.679
Smp_000370	3479.801	3479.155	3478.581	3479.323	3478.03	3478.065	3479.156	3478.303	3479.636	3478.679
Smp_000390	642.052	641.35	640.887	641.614	640.334	640.3870000000001	641.468	640.589	641.871	640.986
Smp_000420	992.801	992.155	991.581	992.3229999999999	991.03	991.065	992.156	991.3030000000001	992.636	991.679
Smp_000430	851.8010000000002	851.155	850.581	851.3229999999999	850.03	850.065	851.156	850.3029999999999	851.636	850.679
Smp_000470	1232.801	1232.155	1231.581	1232.323	1231.03	1231.0650000000003	1232.156	1231.303	1232.636	1231.679
Smp_000480	9346.67315080246	9382.094648207116	9382.867461275064	9326.025691384022	9387.402837798549	9328.330315139137	9503.25612515601	9305.461502918199	9456.374934825004	9324.493917772194
Smp_000500	932.801	932.155	931.581	932.323	931.03	931.065	932.156	931.3029999999999	932.6359999999999	931.679
Smp_000510	1356.801	1356.155	1355.5809999999997	1356.323	1355.03	1355.065	1356.156	1355.303	1356.636	1355.679
Smp_000560	46.969	46.969	46.969	46.969	46.969	46.969	46.969	46.969	46.969	46.969
Smp_000580	4659.801	4659.155	4658.581	4659.323	4658.03	4658.064999999999	4659.156	4658.303	4659.636	4658.679
Smp_000590	2455.801	2455.155	2454.581	2455.323	2454.03	2454.065	2455.156	2454.303	2455.636	2454.679
Smp_000600	1828.8010000000002	1828.155	1827.581	1828.323	1827.03	1827.065	1828.156	1827.303	1828.636	1827.679
Smp_000620	1188.801	1188.155	1187.581	1188.323	1187.03	1187.065	1188.156	1187.303	1188.636	1187.679
Smp_000630	787.82	787.169	786.6210000000001	787.35	786.057	786.086	787.198	786.334	787.663	786.7130000000001
Smp_000640	1395.8009999999997	1395.155	1394.581	1395.323	1394.03	1394.065	1395.1560000000002	1394.3030000000003	1395.636	1394.679
Smp_000650	2065.801	2065.155	2064.581	2065.323	2064.03	2064.065	2065.156	2064.303	2065.636	2064.679
Smp_000660	5019.801	5019.155	5018.581	5019.323	5018.03	5018.065	5019.156	5018.303	5019.636	5018.679
Smp_000670	6040.801	6040.155	6039.581	6040.323	6039.03	6039.065	6040.156	6039.303	6040.636	6039.679
Smp_000680	1113.801	1113.155	1112.581	1113.323	1112.03	1112.065	1113.156	1112.303	1113.636	1112.679
Smp_000690	5152.801	5152.154999999999	5151.581	5152.323	5151.03	5151.065	5152.156	5151.303	5152.636	5151.679
Smp_000700	5244.801	5244.155	5243.581	5244.323	5243.03	5243.065	5244.156	5243.303	5244.636	5243.679
Smp_000710	1385.801	1385.155	1384.581	1385.323	1384.0299999999997	1384.065	1385.156	1384.303	1385.636	1384.679
Smp_000720	4763.801	4763.155	4762.581	4763.323	4762.03	4762.065	4763.156	4762.303	4763.636	4762.679
Smp_000740	1436.801	1436.155	1435.581	1436.323	1435.0300000000002	1435.065	1436.156	1435.303	1436.636	1435.679
Smp_000755	2857.801	2857.155	2856.581	2857.323	2856.03	2856.065	2857.156	2856.303	2857.636	2856.679
Smp_000770	40.474000000000004	40.474000000000004	40.474000000000004	40.474000000000004	40.474000000000004	40.474000000000004	40.474000000000004	40.474000000000004	40.474000000000004	40.474
Smp_000790	5385.574748691223	5380.233894446385	5381.417369235239	5377.274635682671	5372.385253447246	5370.526478777597	5371.911190797475	5371.468351545811	5369.660120907437	5385.978664132509
Smp_000810	2344.801	2344.155	2343.581	2344.323	2343.03	2343.065	2344.156	2343.303	2344.636	2343.679
Smp_000820	541.0183785466656	540.5422841412196	539.469357835578	540.5636813324348	539.0250889610792	539.3481110351523	540.2276023063735	539.5209388370433	541.153123243352	540.0080989549684
Smp_000830	2919.801	2919.155	2918.581	2919.323	2918.03	2918.065	2919.156	2918.303	2919.636	2918.679
Smp_000850	1221.801	1221.155	1220.581	1221.323	1220.03	1220.065	1221.156	1220.303	1221.636	1220.679
