gene_id	PRJNA597909__adult_control_r1	PRJNA597909__adult_control_r2	PRJNA597909__adult_control_r3	PRJNA597909__adult_control_r4	PRJNA597909__adult_control_r5	PRJNA597909__adult_pzq_r1	PRJNA597909__adult_pzq_r2	PRJNA597909__adult_pzq_r3	PRJNA597909__adult_pzq_r4	PRJNA597909__adult_pzq_r5	PRJNA597909__juvenile_control_r1	PRJNA597909__juvenile_control_r2	PRJNA597909__juvenile_control_r3	PRJNA597909__juvenile_control_r4	PRJNA597909__juvenile_control_r5	PRJNA597909__juvenile_pzq_r1	PRJNA597909__juvenile_pzq_r2	PRJNA597909__juvenile_pzq_r3	PRJNA597909__juvenile_pzq_r4	PRJNA597909__juvenile_pzq_r5
Smp_000020	4144.72	4144.554	4145.303	4144.814	4144.924	4144.741	4144.488	4144.826	4144.39	4144.389	4145.05	4145.344	4145.416	4145.612	4145.503	4145.395	4146.646	4146.077	4145.23	4145.033
Smp_000030	3048.72	3048.554	3049.303	3048.8139999999994	3048.924	3048.741	3048.488	3048.826	3048.39	3048.389	3049.05	3049.344	3049.416	3049.612	3049.503	3049.395	3050.646	3050.077	3049.23	3049.033
Smp_000040	2653.72	2653.554	2654.303	2653.814	2653.924	2653.741	2653.488	2653.826	2653.39	2653.389	2654.05	2654.344	2654.416	2654.612	2654.503	2654.395	2655.646	2655.077	2654.23	2654.033
Smp_000050	6169.72	6169.554000000001	6170.303000000001	6169.814	6169.924	6169.741	6169.488	6169.826	6169.39	6169.389	6170.05	6170.344	6170.416	6170.612	6170.503	6170.395	6171.646	6171.077	6170.23	6170.033
Smp_000070	1235.72	1235.554	1236.303	1235.814	1235.924	1235.741	1235.488	1235.826	1235.39	1235.389	1236.05	1236.344	1236.4160000000002	1236.612	1236.503	1236.395	1237.646	1237.077	1236.23	1236.033
Smp_000075	1039.7409999999998	1039.7409999999998	1039.7409999999998	1039.7409999999998	1039.7409999999998	1039.741	1039.7409999999998	1039.7409999999998	1039.7409999999998	1039.7409999999998	1039.7409999999998	1039.7409999999998	1039.7409999999998	1039.7409999999998	1039.7409999999998	1039.7409999999998	1039.7409999999998	1039.7409999999998	1039.7409999999998	1039.7409999999998
Smp_000080	533.172	532.978	533.721	533.291	533.41	533.216	532.934	533.279	532.843	532.834	533.604938143483	533.85	533.927	534.107	533.973	533.883	535.145	534.583	533.76	533.594
Smp_000100	8661.72	8661.554	8662.303	8661.814	8661.924	8661.741	8661.488	8661.826	8661.39	8661.389	8662.05	8662.344	8662.416	8662.612	8662.503	8662.395	8663.646	8663.077	8662.23	8662.033
Smp_000110	4554.72	4554.554	4555.303	4554.814	4554.924	4554.741	4554.488	4554.826	4554.39	4554.389	4555.05	4555.344	4555.416	4555.612	4555.503	4555.395	4556.646	4556.077	4555.23	4555.033
Smp_000130	4208.72	4208.554	4209.303	4208.814	4208.924	4208.741	4208.488	4208.826	4208.39	4208.389	4209.05	4209.344	4209.416	4209.612	4209.503	4209.395	4210.646	4210.077	4209.23	4209.033
Smp_000150	5534.72	5534.554	5535.303	5534.814	5534.924	5534.741	5534.488	5534.826	5534.39	5534.389	5535.05	5535.344	5535.416	5535.612	5535.503	5535.395	5536.646	5536.077	5535.23	5535.033
Smp_000160	4073.7200000000003	4073.554	4074.303	4073.814	4073.924	4073.741	4073.488	4073.826	4073.39	4073.3889999999997	4074.05	4074.344	4074.416	4074.612	4074.503	4074.395	4075.646	4075.077	4074.23	4074.0329999999994
Smp_000180	1231.72	1231.554	1232.303	1231.814	1231.924	1231.741	1231.488	1231.8260000000002	1231.39	1231.389	1232.05	1232.344	1232.416	1232.612	1232.503	1232.395	1233.646	1233.077	1232.23	1232.033
Smp_000190	1530.72	1530.5540000000003	1531.303	1530.814	1530.924	1530.741	1530.488	1530.826	1530.39	1530.389	1531.05	1531.344	1531.416	1531.612	1531.503	1531.395	1532.646	1532.077	1531.23	1531.033
Smp_000200	9372.72	9372.554	9373.303	9372.814	9372.924	9372.741	9372.488	9372.826	9372.39	9372.389	9373.05	9373.344	9373.416	9373.612	9373.503	9373.395	9374.646	9374.077	9373.23	9373.033
Smp_000230	7157.72	7157.553999999999	7158.303	7157.814	7157.924	7157.741	7157.488	7157.826	7157.39	7157.389000000001	7158.05	7158.344	7158.416	7158.612	7158.503	7158.395	7159.646	7159.077	7158.23	7158.032999999999
Smp_000240	1621.72	1621.554	1622.3029999999999	1621.814	1621.924	1621.741	1621.488	1621.826	1621.39	1621.389	1622.05	1622.3440000000003	1622.416	1622.6120000000003	1622.503	1622.395	1623.6460000000002	1623.077	1622.2300000000002	1622.033
Smp_000250	10.7328	10.7328	10.7328	10.7328	10.7328	10.7328	10.7328	10.7328	10.7328	10.7328	10.7328	10.7328	10.7328	10.7328	10.7328	10.7328	10.7328	10.7328	10.7328	10.7328
Smp_000260	3063.72	3063.554	3064.303	3063.814	3063.924	3063.741	3063.488	3063.826	3063.39	3063.389	3064.05	3064.344	3064.416	3064.6119999999996	3064.503	3064.395	3065.646	3065.077	3064.23	3064.033
Smp_000270	795.7419999999998	795.57	796.326	795.837	795.952	795.775	795.517	795.843	795.411	795.407	796.07	796.3669999999998	796.446	796.631	796.52	796.42	797.67	797.098	796.257	796.065
Smp_000280	705.892	705.719	706.486	706.008	706.136	705.942	705.672	705.99	705.574	705.553	706.224	706.515	706.591	706.779	706.683	706.58	707.809	707.262	706.413	706.251
Smp_000300	4676.72	4676.554	4677.303	4676.814	4676.924	4676.741	4676.488	4676.826	4676.39	4676.389	4677.05	4677.344	4677.416	4677.612	4677.503	4677.395	4678.646	4678.077	4677.23	4677.033
Smp_000310	1038.72	1038.554	1039.303	1038.814	1038.924	1038.741	1038.488	1038.826	1038.39	1038.389	1039.05	1039.344	1039.416	1039.612	1039.503	1039.395	1040.646	1040.077	1039.23	1039.033
Smp_000320	1795.72	1795.554	1796.303	1795.814	1795.924	1795.741	1795.488	1795.826	1795.39	1795.389	1796.05	1796.344	1796.416	1796.612	1796.5030000000002	1796.3950000000002	1797.646	1797.077	1796.2300000000002	1796.0330000000001
Smp_000340	6738.720000000001	6738.554	6739.303	6738.813999999999	6738.924	6738.741	6738.488	6738.826	6738.39	6738.389	6739.050000000001	6739.343999999999	6739.415999999999	6739.612	6739.503	6739.395	6740.646	6740.077	6739.23	6739.033000000001
Smp_000370	3478.72	3478.554	3479.303	3478.8139999999994	3478.9240000000004	3478.7410000000004	3478.488	3478.826	3478.39	3478.389	3479.05	3479.344	3479.416	3479.612	3479.503	3479.395	3480.646	3480.0769999999998	3479.2299999999996	3479.033
Smp_000390	641.089	640.902	641.646	641.223	641.329	641.116	640.857	641.177	640.751	640.744	641.456	641.754	641.834	642.02	641.88	641.802	643.044	642.482	641.664	641.507
Smp_000420	991.72	991.5539999999999	992.303	991.814	991.924	991.7409999999999	991.488	991.8259999999999	991.39	991.3889999999999	992.05	992.344	992.416	992.6119999999999	992.5030000000002	992.395	993.6460000000001	993.077	992.23	992.033
Smp_000430	850.72	850.554	851.303	850.814	850.924	850.741	850.4879999999999	850.8259999999999	850.39	850.389	851.0499999999998	851.344	851.416	851.6119999999999	851.503	851.3949999999999	852.646	852.077	851.23	851.033
Smp_000470	1231.72	1231.554	1232.303	1231.814	1231.924	1231.741	1231.488	1231.826	1231.39	1231.389	1232.05	1232.344	1232.416	1232.612	1232.5029999999997	1232.395	1233.6460000000002	1233.077	1232.2299999999998	1232.033
Smp_000480	9365.024764396305	9350.952773395722	9365.128927167274	9366.241905429533	9373.61815512925	9389.906778970357	9458.003156212686	9376.875324679853	9389.92524559682	9414.68231059973	9315.98857950189	9349.89357072845	9317.248761886283	9342.021785369187	9369.44308713387	9381.379924198322	9398.604884289316	9384.261761936252	9397.397722077676	9327.899454101529
Smp_000500	931.7200000000001	931.5540000000001	932.303	931.814	931.9240000000001	931.741	931.488	931.826	931.39	931.389	932.05	932.344	932.416	932.612	932.503	932.3949999999999	933.646	933.077	932.23	932.033
Smp_000510	1355.72	1355.554	1356.303	1355.814	1355.924	1355.741	1355.488	1355.826	1355.39	1355.389	1356.05	1356.3439999999998	1356.416	1356.612	1356.503	1356.3950000000002	1357.646	1357.077	1356.23	1356.033
Smp_000560	46.5518	46.5518	46.5518	46.5518	46.5518	46.5518	46.5518	46.5518	46.5518	46.5518	46.5518	46.5518	46.5518	46.5518	46.5518	46.5518	46.5518	46.5518	46.5518	46.5518
Smp_000580	4658.72	4658.554	4659.303	4658.814	4658.924	4658.741	4658.488	4658.826	4658.39	4658.389	4659.05	4659.344	4659.416	4659.612	4659.503	4659.395	4660.646	4660.077	4659.23	4659.033
Smp_000590	2454.72	2454.554	2455.303	2454.814	2454.924	2454.741	2454.488	2454.826	2454.39	2454.389	2455.05	2455.344	2455.416	2455.612	2455.503	2455.395	2456.646	2456.077	2455.23	2455.033
Smp_000600	1827.72	1827.5539999999999	1828.303	1827.8139999999999	1827.924	1827.7409999999998	1827.488	1827.8259999999998	1827.39	1827.389	1828.05	1828.344	1828.416	1828.612	1828.503	1828.395	1829.646	1829.0769999999998	1828.2299999999998	1828.033
Smp_000620	1187.72	1187.554	1188.303	1187.814	1187.924	1187.741	1187.488	1187.826	1187.39	1187.389	1188.05	1188.3439999999998	1188.416	1188.612	1188.503	1188.395	1189.646	1189.077	1188.23	1188.033
Smp_000630	786.758	786.58	787.3299999999999	786.843	786.96	786.778	786.523	786.847	786.418	786.415	787.077	787.375	787.456	787.636	787.53	787.426	788.678	788.104	787.261	787.072
Smp_000640	1394.72	1394.554	1395.303	1394.814	1394.924	1394.741	1394.488	1394.826	1394.39	1394.389	1395.0500000000002	1395.344	1395.416	1395.612	1395.503	1395.395	1396.646	1396.077	1395.23	1395.033
