gene_id	PRJNA602528__pzq_0h	PRJNA602528__pzq_0p25h	PRJNA602528__pzq_12h	PRJNA602528__pzq_1h	PRJNA602528__pzq_24h	PRJNA602528__pzq_3h	PRJNA602528__pzq_48h	PRJNA602528__pzq_6h	PRJNA602528__pzq_96h	PRJNA602528__pzq_9h
Smp_000020	27.753783	22.168197	30.585729	25.923684	31.453242	23.885931	24.305149	27.191718	28.882454	20.55996
Smp_000030	151.141614	134.860477	160.979807	143.362999	203.780005	140.793993	199.376478	154.777636	254.079879	118.137392
Smp_000040	114.828514	100.985876	113.987403	104.912043	136.507321	85.041585	135.834709	100.197127	158.666052	83.541457
Smp_000050	4.544519	3.995076	13.227778	5.020007	17.163636	4.576176	19.252046	4.783554	14.139475	5.035606
Smp_000070	67.886059	68.653196	74.111704	75.308489	79.138331	76.43008	73.419774	72.768285	86.724317	63.216497
Smp_000075	0	0	0	0	0	0	0.119119	0	0	0.057136
Smp_000080	1.154497	0	0.763998	0	0.300957	0.298793	0.614592	1.065132	0	0.138523
Smp_000100	61.179228	52.18672	49.619946	58.234487	29.903857	44.629429	19.683163	44.355614	28.791392	53.051555
Smp_000110	11.2944	9.651217	15.89442	12.297984	15.950337	12.632236	14.49782	12.308519	16.425248	10.551225
Smp_000130	49.461015	46.405582	46.73143	42.04183	40.866076	28.686301	42.152013	37.850163	61.658908	32.29067
Smp_000150	18.079579	18.331426	25.040578	16.310699	30.385184	14.225098	34.260969	18.189191	43.536613	15.48838
Smp_000160	7.217761	7.509798	6.268898	5.328408	5.964651	3.86957	8.151911	4.04513	9.48714	4.998343
Smp_000180	14.125207	12.663126	7.631098	9.237391	6.828461	5.261173	5.329529	9.33863	3.802126	7.716721
Smp_000190	58.526184	66.329953	107.980324	90.207007	90.102206	100.417796	63.833411	110.881389	70.68345	91.005875
Smp_000200	9.835502	8.767962	8.737227	11.088964	8.962213	10.279037	13.757346	9.471566	14.39988	9.227689
Smp_000230	12.752461	11.317885	17.291695	12.368058	14.104671	12.441232	15.163177	14.986441	23.735439	14.430131
Smp_000240	169.072784	118.580111	180.631642	175.85649	250.441342	165.618901	186.314218	171.658375	154.971104	120.630124
Smp_000250	0	0	0	0	0	0	0	0	0	0
Smp_000260	797.756639	722.235746	836.997857	805.34708	892.028973	699.740769	980.636559	817.56547	1645.713001	753.64768
Smp_000270	443.700802	497.273032	408.117234	461.543212	333.160445	488.305848	225.804109	449.318329	40.297616	566.063881
Smp_000280	2435.272921	2489.532939	2118.567106	2196.81054	1508.167604	2625.176863	753.988914	2377.82608	170.435768	2758.065319
