gene_id	PRJEB32839__f_26d_juveniles_r1	PRJEB32839__f_26d_juveniles_r2	PRJEB32839__f_26d_juveniles_r3	PRJEB32839__f_26d_juveniles_r4	PRJEB32839__f_26d_juveniles_r5	PRJEB32839__f_2d_somules_r1	PRJEB32839__f_2d_somules_r2	PRJEB32839__f_2d_somules_r3	PRJEB32839__f_2d_somules_r4	PRJEB32839__f_2d_somules_r5	PRJEB32839__f_32d_sporocysts_r1	PRJEB32839__f_32d_sporocysts_r2	PRJEB32839__f_32d_sporocysts_r3	PRJEB32839__f_32d_sporocysts_r4	PRJEB32839__f_32d_sporocysts_r5	PRJEB32839__f_cercariae_r1	PRJEB32839__f_cercariae_r2	PRJEB32839__f_cercariae_r3	PRJEB32839__f_cercariae_r4	PRJEB32839__f_cercariae_r5	PRJEB32839__m_26d_juveniles_r1	PRJEB32839__m_26d_juveniles_r2	PRJEB32839__m_26d_juveniles_r3	PRJEB32839__m_26d_juveniles_r4	PRJEB32839__m_26d_juveniles_r5	PRJEB32839__m_2d_somules_r1	PRJEB32839__m_2d_somules_r2	PRJEB32839__m_2d_somules_r3	PRJEB32839__m_2d_somules_r4	PRJEB32839__m_2d_somules_r5	PRJEB32839__m_32d_sporocysts_r1	PRJEB32839__m_32d_sporocysts_r2	PRJEB32839__m_32d_sporocysts_r3	PRJEB32839__m_32d_sporocysts_r4	PRJEB32839__m_32d_sporocysts_r5	PRJEB32839__m_cercariae_r1	PRJEB32839__m_cercariae_r2	PRJEB32839__m_cercariae_r3	PRJEB32839__m_cercariae_r4	PRJEB32839__m_cercariae_r5	PRJEB32839__x_1d_sporocysts_r1	PRJEB32839__x_1d_sporocysts_r2	PRJEB32839__x_1d_sporocysts_r3	PRJEB32839__x_1d_sporocysts_r4	PRJEB32839__x_1d_sporocysts_r5	PRJEB32839__x_2d_somules_r1	PRJEB32839__x_2d_somules_r2	PRJEB32839__x_2d_somules_r3	PRJEB32839__x_2d_somules_r4	PRJEB32839__x_2d_somules_r5	PRJEB32839__x_32d_sporocysts_r1	PRJEB32839__x_32d_sporocysts_r2	PRJEB32839__x_32d_sporocysts_r3	PRJEB32839__x_32d_sporocysts_r4	PRJEB32839__x_32d_sporocysts_r5	PRJEB32839__x_5d_sporocysts_r1	PRJEB32839__x_5d_sporocysts_r2	PRJEB32839__x_5d_sporocysts_r3	PRJEB32839__x_5d_sporocysts_r4	PRJEB32839__x_5d_sporocysts_r5	PRJEB32839__x_cercariae_r1	PRJEB32839__x_cercariae_r2	PRJEB32839__x_cercariae_r3	PRJEB32839__x_cercariae_r4	PRJEB32839__x_cercariae_r5	PRJEB32839__x_eggs_r1	PRJEB32839__x_eggs_r2	PRJEB32839__x_eggs_r3	PRJEB32839__x_eggs_r4	PRJEB32839__x_eggs_r5	PRJEB32839__x_miracidia_r1	PRJEB32839__x_miracidia_r2	PRJEB32839__x_miracidia_r3	PRJEB32839__x_miracidia_r4	PRJEB32839__x_miracidia_r5
Smp_000020	55.76019	55.017674	52.594736	57.116992	55.270865	29.016273	56.291123	51.912358	50.506222	49.285779	45.920945	45.659497	32.67853	26.579886	44.504062	20.126254	26.702992	28.571211	37.820254	18.46256	38.621762	32.763449	46.864709	56.940385	51.796844	27.193477	20.956054	30.873532	29.652392	28.815171	48.670172	30.856255	45.990145	45.894469	36.514642	18.99248	21.069176	17.945278	19.266661	15.452181	37.207385	24.790344	58.165939	42.05883	32.119027	33.768343	40.630021	23.949797	56.207032	58.752951	30.448008	34.709231	40.428192	29.813825	41.276263	41.29588	36.484746	36.618853	37.260764	34.759269	19.434635	22.758504	25.393751	29.046342	17.479848	30.077024	52.134296	36.339953	43.969381	38.776048	3.123176	35.373312	0.503929	35.341733	36.427102
Smp_000030	305.041241	338.943508	289.831399	317.515352	327.727379	178.619994	319.828932	288.069619	285.756645	284.499415	233.451343	206.738999	177.294933	120.764625	214.187992	104.631289	107.617516	134.351708	174.425365	97.534199	225.298748	192.445992	298.853329	299.343987	302.915112	200.708537	153.201862	210.400543	220.245702	204.368717	254.681109	188.831718	251.88335	217.11795	212.050127	136.594428	153.207947	138.997659	131.860999	126.45046	223.923394	202.190917	278.819641	277.432593	242.387883	207.101688	256.538375	176.961183	350.560867	351.726001	167.538807	195.255432	248.302146	183.223079	223.771853	243.579272	244.498013	211.310584	225.308553	239.793859	93.404127	125.019343	125.049129	141.525777	81.615545	145.472773	205.778472	246.312442	199.442769	213.294362	53.466752	274.932326	6.06627	266.452367	265.965411
Smp_000040	186.340835	181.412383	177.211919	192.452174	191.147723	138.233456	176.319987	166.177701	174.161306	155.256578	83.558801	98.50754	66.889855	69.571151	81.292556	55.390506	58.582465	72.918982	87.752894	50.374919	159.147718	143.135926	172.171297	182.169006	182.39319	142.369338	122.734655	147.692968	147.747744	144.245135	89.171395	79.314843	93.456976	90.469952	75.208904	56.064901	57.880028	48.828918	49.619483	42.732105	62.440428	52.463172	95.738239	82.985636	64.915359	144.329517	167.099038	135.586515	182.86175	179.936787	69.026842	72.084051	75.403518	61.408081	71.769595	49.9186	69.318745	54.506789	57.929375	66.093319	34.969875	54.009012	56.26931	58.002675	39.761011	70.803229	157.794549	80.860726	117.264468	90.768594	16.991057	78.178221	2.958071	85.726032	75.075412
Smp_000050	8.004684	7.746473	9.843931	9.52636	9.001455	21.006584	23.379649	20.30037	23.45737	17.952561	6.667621	4.187326	3.25992	3.533131	3.611304	2.37448	5.298994	4.337003	10.013949	3.555188	7.789517	7.450116	6.962053	8.460616	8.170488	20.988281	18.359751	27.893385	18.174591	19.283815	4.861153	4.751067	8.079423	2.969458	3.715948	4.221166	3.444146	4.145649	2.327935	3.316095	19.158676	6.023634	15.46813	19.942607	15.158858	23.311565	33.801472	23.641957	27.119144	27.916473	7.514117	4.606491	9.645314	5.786543	4.517646	14.431117	10.98295	15.689718	17.137642	17.439154	2.728141	3.83933	4.248168	3.537677	1.921848	4.975491	12.163863	8.463323	10.562192	11.495247	1.05016	10.22016	0.302503	10.895488	7.431496
Smp_000070	153.959347	144.964292	147.28742	147.772501	156.365011	85.177095	205.088011	119.915458	131.277459	185.980566	86.790954	138.28494800000001	121.123654	94.702667	118.937187	50.217083	61.896385	68.695018	70.548568	42.556962	114.929845	109.297375	122.514689	112.924439	113.475892	81.168656	79.582125	86.562609	97.362518	91.594408	103.07758	100.917175	102.89801	83.7279	102.127208	44.041995	47.502022	47.028361	45.831892	40.366733	134.349703	187.451095	116.672285	144.171865	116.782536	131.245283	114.984625	118.109531	143.206454	123.654926	103.634953	133.964198	103.262472	89.230402	104.586366	189.217224	207.133372	236.589885	228.274731	236.814589	52.001763	52.018901	60.879438	52.899486	52.169443	136.360284	103.511802	115.476898	138.720679	148.262915	139.555099	163.752694	82.747652	166.506496	160.381055
Smp_000075	0.068466	0	0	0	0.027097	0.548499	3.077322	3.032857	1.806292	3.848547	0.773696	0.99716	0.510922	1.326631	1.408111	0	0.190981	0.13792	0	0.15312	0	0	0	0.117627	0	0.775935	0.286207	0.352589	0.357966	0.307982	0.645712	0.980952	0.802125	0.566334	0.3877	0	0.031788	0.055964	0.048223	0.023705	0.559906	0.060738	1.719662	0.975076	0.924815	0.120126	0.963923	0.264773	0.307064	1.787066	0.647881	0.164422	0	0.239147	0.550422	0	0.25795	0.255736	0.057617	0.282802	0.042191	0	0.054303	0.034253	0.071988	0.174735	0.058237	0.147465	0.157883	0.049325	0	0.007966	0	0	0
Smp_000080	2.125203	0.235914	0.757732	2.371676	1.624159	1.312068	3.402184	3.84084	2.470083	3.142607	0.739689	1.538827	0.353513	2.375094	1.963686	1.78421	0.875121	3.132563	1.633495	1.167058	0.824106	1.770014	0.859973	0.24973	1.382848	0.981047	0.435186	1.066519	2.359351	1.431521	1.212984	1.12025	2.367136	0.357858	0.892691	1.0097	24.12658	1.120087	1.173604	0.701969	1.279968	0.939468	3.239133	1.854055	1.827623	1.284734	2.059327	1.560955	1.095622	3.382524	0.250669	1.007896	0.585105	0	0.290784	0.376046	1.840941	0.981613	0.955299	0.568908	2.129717	1.308994	1.033842	2.500586	2.676147	2.452751	1.759441	1.374301	3.341146	4.684203	0	1.512318	0.297117	1.526449	1.938238
Smp_000100	107.626156	113.133994	99.213337	110.489733	115.440606	25.82901	44.633931	39.906723	34.012014	39.055246	52.474077	62.427341	49.172855	45.907431	46.739951	30.275313	110.636706	70.246679	158.306991	84.384146	137.108236	122.022686	134.748873	128.726212	127.08376	40.722113	27.004072	36.185108	37.414899	39.620826	54.248819	41.222916	53.177558	58.834891	49.325012	68.129213	108.518949	54.340096	23.63224	95.199842	20.380644	9.973715	22.263443	19.08406	17.976931	26.066902	40.875357	28.262692	32.229579	35.724801	50.105142	29.709127	34.021766	43.940544	47.509789	37.18728	23.94728	19.101317	21.889674	25.342033	73.609304	95.469302	81.013712	101.716772	41.311416	23.073027	50.906631	21.753293	42.357487	28.120963	3.920542	18.603411	0.379955	21.558903	28.770902
Smp_000110	21.25065	21.316921	19.42124	22.631119	22.182231	17.119763	32.40999	28.079633	27.576466	26.702829	17.76266	16.60709	11.062735	9.723523	15.986928	16.43052	19.892818	22.694935	27.880204	13.196491	15.056114000000001	12.334565	14.648141	15.5101	15.841079	17.825943	13.546609	18.892019	18.936745	18.146029	15.6884	12.583582	17.529208	14.330243	14.974792	14.89128	14.711668	13.6722	14.857307	11.710021	15.385264	8.640848	22.596296	17.77421	13.613349	18.831228	26.99271	18.417497	27.968143	30.721599	15.285361	15.475047	17.770989	12.827236	17.945546	15.963732	15.121488	16.382656	18.242883	16.293793	15.781117	16.901167	18.988277	20.262676	14.180019	13.639142	23.41904	18.382071	20.786815	20.292131	2.086434	20.760735	0.422214	18.561814	16.797267
Smp_000130	59.952804	56.157553	58.788179	63.022734	59.510484	41.214705	65.6482	60.372826	60.22069	51.533645	24.896619	21.934068	21.333816	20.275955	21.894637	27.341441	38.24122	44.291712	60.418939	33.025425	57.946962	51.155274	57.724659	77.429021	66.833091	39.185157	31.272025	38.93853	37.59315	39.191159	21.04002	21.99752	19.840896	23.644494	21.322571	28.252473	26.31693	27.53313	23.153411	21.995332	32.947443	17.526003	41.237078	35.060317	29.060729	40.157003	49.597335	36.007168	58.521566	58.050101	19.764927	35.032549	29.378495	26.00963	24.733168	38.55132	31.580864	41.924351	39.389833	31.794626	26.655135	36.48697	33.267236	41.977202	21.265038	28.389527	66.397012	29.542413	57.085113	45.284997	8.554913	59.435053	1.13612	69.662561	48.060441
Smp_000150	37.314384	39.191672	35.874335	39.38666	39.64536	31.096368	44.759045	34.742656	30.380164	55.331896	18.60711	27.184471	19.468001	14.430143	24.974852	49.631103	37.725684	55.029975	36.775659	22.413123	22.69715	19.851007	20.697964	27.675605	23.931855	21.877384	17.309065	16.760581	15.890552	21.56641	26.611227	24.429758	21.371118	32.381218	28.005573	32.236882	24.68636	23.440563	35.137629	19.101007	25.760466	19.197797	48.928721	30.186282	22.652988	22.929505	28.493768	19.945647	35.339284	47.085602	17.793276	23.479163	24.227525	18.732682	23.019535	17.17182	24.204113	19.256727	21.288324	22.480699	30.828236	30.767786	36.259155	38.191688	26.245173	32.745627	50.699484	36.383801	58.364902	44.361799	13.086832	31.570551	11.754042	32.842097	27.096774
Smp_000160	19.456071	18.553792	20.479452	20.821236	24.577264	10.299341	13.786387	15.504375	11.634483	11.676183	14.160251	16.234297	14.602872	11.954596	12.422128	2.533651	3.948708	3.265607	4.152772	2.341659	15.559674	13.749179	15.520064	18.517444	18.659386	11.130764	11.364251	12.433677	10.263724	10.581928	15.541957	13.242966	13.501959	16.866719	12.296766	2.329878	1.851498	2.249366	2.478941	1.969862	4.218733	1.951007	4.695805	4.625188	3.896371	10.689446	12.421188	11.161302	11.670895	11.231996	9.507168	7.39311	8.427718	9.152246	9.006015	13.740277	10.88668	13.954431	15.900928	11.975043	2.321278	2.628122	2.87564	2.681891	1.909967	7.071674	19.846885	7.532998	19.01807	12.883319	1.856134	5.122023	0.256374	6.863561	6.609424
Smp_000180	9.426767	7.922787	10.681778	8.949488	11.028835	0.75174	1.400395	0.487706	0.834369	1.06503	8.654135	9.589761	11.740114	9.579874	7.936898	1.21701	2.120375	1.815896	1.918264	1.492772	45.29034	50.293633	42.33418	46.010641	44.750773	1.33533	2.197595	1.619311	1.657563	1.859154	8.407485	7.052287	5.538108	5.759013	8.348355	0.820544	0.587735	1.24604	0.708399	1.472787	1.4447	1.685214	1.747177	1.285464	1.950902	0.779259	1.723777	1.433683	1.031384	0.698921	5.3932	2.346012	2.125248	2.678469	3.7939	0.126918	0.671934	0.148583	0.177331	0.44338	1.772249	2.057186	1.116817	1.732285	0.464275	12.906673	19.616863	5.141961	15.632272	13.497405	1.948612	2.594391	0.540553	4.146999	5.991915
Smp_000190	221.035315	198.9584	205.48923	217.189502	199.120212	46.603736	57.228179	54.046276	61.323257	57.890161	23.782393	20.583027	17.49596	17.738548	17.788156	9.271282	15.16909	14.729874	17.410893	22.593937	121.283036	119.711741	114.503982	133.4693	137.649334	42.680706	44.302043	45.953786	51.148489	50.184993	20.264595	21.500703	21.56035	23.252389	21.133465	16.246936	14.229624	20.300564	14.199726	17.34163	20.967302	21.360366	20.447933	20.91177	19.871098	52.80396	59.528413	57.905918	64.506348	67.733288	19.251668	24.283393	23.405186	20.048495	17.939414	26.334286	19.770859	29.800084	29.595482	26.591902	9.222962	9.371773	10.994765	9.299329	11.895307	16.966072	15.66515	19.818289	19.266628	20.318688	16.60246	28.191332	9.0561	25.242262	19.945644
