group	query	query_display	gene_id	gene_name	gene_display_label	biotype	description	chromosome	gene_start	gene_end	strand	location	found_in_tpm	found_in_expression_matrix	n_samples	mean_TPM	median_TPM	max_TPM	fraction_samples_TPM_gt1	n_datasets	n_batches	n_tissues	context_with_highest_expression	n_deg_records	n_significant_contrasts	n_deg_projects	n_deg_modes	max_abs_log2FC	min_padj
Erasers	Smp_019170	Smp_019170	Smp_019170	Smp_019170	Smp_019170	protein_coding		SM_V10_1	46220125	46249289	-	SM_V10_1:46220125-46249289(-)	TRUE	TRUE	75	33.11177466666667	33.441435	70.924459	0.9866666666666667	1	1	1	PRJEB32839 | not_declared | juvenile_26d_female | juvenile_26d | whole_organism | female	12	3	1	1	1.22741348897478	4.48279227926356e-7
Erasers	Smp_034000	Smp_034000	Smp_034000	Smp_034000	Smp_034000	protein_coding		SM_V10_1	36564572	36601617	-	SM_V10_1:36564572-36601617(-)	TRUE	TRUE	75	28.2565436	26.845312	53.059428	0.9866666666666667	1	1	1	PRJEB32839 | not_declared | juvenile_26d_female | juvenile_26d | whole_organism | female	12	0	1	1	0.767802825897968	1.6909770304518e-4
Erasers	Smp_128500	Smp_128500	Smp_128500	Smp_128500	Smp_128500	Unknown							FALSE	FALSE										0	0	0	0		
Erasers	Smp_132170	Smp_132170	Smp_132170	Smp_132170	Smp_132170	protein_coding		SM_V10_Z	47706642	47731933	+	SM_V10_Z:47706642-47731933(+)	TRUE	TRUE	75	26.992519253333334	26.511681	52.229357	0.9866666666666667	1	1	1	PRJEB32839 | not_declared | schistosomulum_2d_female | schistosomulum_2d | whole_organism | female	12	0	1	1	0.855394127564156	6.04550481397838e-5
Erasers	Smp_137240	Smp_137240	Smp_137240	Smp_137240	Smp_137240	Unknown							FALSE	FALSE										0	0	0	0		
Erasers	Smp_147870	Smp_147870	Smp_147870	Smp_147870	Smp_147870	Unknown							FALSE	FALSE										0	0	0	0		
Erasers	Smp_150560	Smp_150560	Smp_150560	Smp_150560	Smp_150560	protein_coding		SM_V10_5	9773808	9801052	+	SM_V10_5:9773808-9801052(+)	TRUE	TRUE	75	15.82120744	17.572901	25.925567	0.9866666666666667	1	1	1	PRJEB32839 | not_declared | juvenile_26d_female | juvenile_26d | whole_organism | female	12	2	1	1	1.9445899485648	1.40683224360827e-20
Erasers	Smp_156290	Smp_156290	Smp_156290	Smp_156290	Smp_156290	protein_coding		SM_V10_3	28958068	28998845	+	SM_V10_3:28958068-28998845(+)	TRUE	TRUE	75	19.52228684	19.087915	37.03069	0.9866666666666667	1	1	1	PRJEB32839 | not_declared | juvenile_26d_female | juvenile_26d | whole_organism | female	12	0	1	1	0.673667272418531	0.0157275393961577
Erasers	Smp_160810	Smp_160810	Smp_160810	Smp_160810	Smp_160810	protein_coding		SM_V10_1	30993683	31006348	-	SM_V10_1:30993683-31006348(-)	TRUE	TRUE	75	18.45488994666667	17.22303	33.594363	0.9866666666666667	1	1	1	PRJEB32839 | not_declared | schistosomulum_2d_female | schistosomulum_2d | whole_organism | female	12	2	1	1	1.3126934026548	1.13424441688286e-12
Erasers	Smp_161400	Smp_161400	Smp_161400	Smp_161400	Smp_161400	protein_coding		SM_V10_1	69695479	69742579	+	SM_V10_1:69695479-69742579(+)	TRUE	TRUE	75	10.42773648	10.287891	25.340616	0.9866666666666667	1	1	1	PRJEB32839 | not_declared | juvenile_26d_female | juvenile_26d | whole_organism | female	12	2	1	1	1.86117221955431	3.47216642259146e-10
