gene_id	PRJEB14695__ovary_mixed_sex_r1	PRJEB14695__ovary_mixed_sex_r2	PRJEB14695__ovary_mixed_sex_r3	PRJEB14695__ovary_single_sex_r1	PRJEB14695__ovary_single_sex_r2	PRJEB14695__testis_mixed_sex_r1	PRJEB14695__testis_mixed_sex_r2	PRJEB14695__testis_mixed_sex_r3	PRJEB14695__testis_single_sex_r1	PRJEB14695__testis_single_sex_r2	PRJEB14695__testis_single_sex_r3	PRJEB14695__whole_female_mixed_sex_r1	PRJEB14695__whole_female_mixed_sex_r2	PRJEB14695__whole_female_mixed_sex_r3	PRJEB14695__whole_female_single_sex_r1	PRJEB14695__whole_female_single_sex_r2	PRJEB14695__whole_female_single_sex_r3	PRJEB14695__whole_male_mixed_sex_r1	PRJEB14695__whole_male_mixed_sex_r2	PRJEB14695__whole_male_mixed_sex_r3	PRJEB14695__whole_male_single_sex_r1	PRJEB14695__whole_male_single_sex_r2	PRJEB14695__whole_male_single_sex_r3
Smp_000020	35.519155	31.854811	38.524664	71.251421	73.630136	33.939048	44.821431	52.582686	48.565037	59.485176	32.259223	36.218288	16.844114	15.142216	20.123757	22.858801	23.213907	26.583864	30.292966	30.905035	23.550663	22.641119	22.902373
Smp_000030	238.468206	202.42974	249.481577	319.038473	319.430151	185.412628	229.582371	243.508523	245.194227	267.65206	216.790352	243.251781	131.715679	119.389063	177.707993	201.024258	174.056309	133.826964	234.421472	250.759016	212.195483	210.714591	193.983926
Smp_000040	66.690195	63.154866	72.500717	119.825063	116.941285	158.431071	171.365661	205.300434	174.467365	217.696121	154.986175	148.503819	74.092033	71.598068	129.110224	133.567929	122.842737	82.67204	159.192182	157.995537	152.540564	146.196517	137.408377
Smp_000050	2.044061	1.837673	2.452618	0.832128	1.154803	9.499735	9.072382	12.987092	5.025907	7.557378	4.745562	35.503089	1.19137	1.377327	5.033841	6.310412	5.237573	0.986985	24.94896	24.050164	8.020794	7.947112	13.575844
Smp_000070	168.74358	137.391797	149.915498	140.761402	138.870203	115.044124	118.047964	127.809941	112.244173	118.492046	101.782803	59.369353	46.377244	66.042345	94.533469	89.324779	99.068743	67.084971	69.197652	59.498898	62.80594	67.633969	56.035147
Smp_000075	0	0	0	0	0	0.454118	0	1.37367	0	0	0.177116	0	0	0	0	0	0	0	0	0	0	0.112888	0.059567
Smp_000080	0	0	0	0.909952	1.884609	0.741606	0	0	0.198831	0.822853	0.460267	0.285148	0.113277	0	0.379344	0.721708	0.088715	0	0.722094	0	0.594454	0	0.145277
Smp_000100	0.623113	0.854607	0.648252	12.220646	15.923473	0.483871	0.617889	1.257068	0.889878	2.200193	1.530567	79.914658	8.194218	6.499918	51.076774	46.262497	47.138539	9.063737	77.504786	97.194871	76.3975	79.756034	67.978842
Smp_000110	20.172714	19.346801	22.446373	19.828594	21.167474	8.643062	11.411277	9.591629	13.704855	14.768106	9.726133	9.867141	9.301666	7.909988	8.597081	9.796226	10.018726	7.344734	10.695581	9.714395	8.546633	8.527738	8.703513
Smp_000130	6.034026	5.499991	6.327278	25.038916	26.478542	10.354039	20.206878	15.759676	18.036128	21.500896	12.004055	54.574856	9.354448	8.558319	21.071483	24.680997	23.237436	13.698429	45.529032	43.698219	27.606933	26.233686	24.675964
Smp_000150	24.781762	21.346809	25.138279	37.668567	35.201678	19.162641	24.053019	24.434403	24.390304	30.245098	20.955578	25.422239	13.492953	10.294937	17.236683	18.86103	16.204014	14.331536	22.418325	25.774908	21.256836	19.830828	19.830861
Smp_000160	10.802502	7.964431	10.173232	4.601273	8.212621	0.593801	0.772528	0.561577	0.649506	0.85023	0.678859	12.286366	1.245092	1.352184	8.846491	8.670122	5.800695	2.930158	12.171285	11.010815	9.846749	8.661008	9.177642
Smp_000180	0	0	0	0.049185	0	0.189934	0	0.629632	0.372186	0.180145	0.592666	23.572471	0.264988	0.249278	3.867919	4.438089	3.545776	0.563553	12.583717	15.329682	29.827952	26.724811	33.532613
Smp_000190	32.624415	27.966328	30.113944	73.52116	67.3158	29.049252	19.732656	30.170635	37.204278	33.9964	34.053758	152.110677	94.714705	81.621865	181.994158	217.660826	212.390715	116.319063	191.406832	183.017736	195.007302	179.001892	158.217787
Smp_000200	4.91341	4.295981	4.743274	35.97673	37.242705	3.806962	5.309186	3.916383	9.826724	10.590283	6.44392	6.345409	3.684731	3.715785	6.914812	6.914071	8.372391	4.131353	7.684463	6.266319	8.221358	7.642009	7.830821
Smp_000230	5.428155	6.879148	6.303953	19.34567	20.727008	8.489678	11.018102	14.56332	14.643551	17.842969	9.224598	10.157944	6.293284	5.991145	5.344592	4.951813	8.523536	6.497485	10.30828	9.883867	7.579549	7.26813	7.260629
Smp_000240	449.361878	416.628704	495.243591	773.21314400000006	705.615035	394.212631	503.352363	390.485869	518.138861	539.641919	574.015385	233.244521	271.023892	294.05129	361.59877	417.81234	429.343341	261.521253	361.088184	393.659677	348.397268	353.786256	284.687383
Smp_000250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smp_000260	85.616045	85.011016	99.004696	230.847618	266.216322	270.362474	323.606696	345.346414	331.897852	407.839015	384.226133	839.414108	285.689428	307.87035	820.13248	797.118299	897.708606	329.885176	1158.797668	905.181735	1007.259508	966.516291	889.194796
Smp_000270	0.263339	0.701381	0.441918	0.387733	0.488141	1.107607	4.443436	0.329247	1.060523	0.858485	1.020957	0.474758	474.953062	403.734226	7.081314	25.308966	5.387435	473.220069	2.360187	3.541513	1.490525	1.12259	1.199315
Smp_000280	0.577723	1.149704	0.370337	0.240413	1.773771	17.451171	13.137234	20.719199	13.40089	17.109503	10.437782	6.821812	1623.840022	1614.167444	30.440429	117.22211	31.46794	1946.366679	6.398431	13.004057	4.976414	4.404507	2.204175
Smp_000300	3.045993	2.694927	2.905926	15.109695	14.589881	45.094526	48.629555	56.829485	48.616046	59.397109	38.132328	11.795969	1.643522	1.20763	12.30532	10.272198	13.295476	1.672233	13.161576	11.831481	11.155535	10.868059	9.19241
Smp_000310	82.914832	70.204622	91.408357	104.12988	91.710104	159.330552	170.923215	171.503872	128.972662	166.285711	93.974362	150.798006	83.708666	74.420069	82.302407	78.733066	76.395793	119.951412	138.100915	115.621298	102.313987	108.541209	121.038826
Smp_000320	4.046802	3.624848	3.635388	29.582113	54.040605	44.895999	42.561318	52.860356	38.869389	42.6149	45.113414	75.969998	14.530514	13.602121	134.483058	114.897464	108.720566	15.146843	125.617339	109.618738	104.594382	103.62989	92.287266
Smp_000340	0.173925	0.158388	0.112931	1.032774	0.815724	1.290786	3.212162	2.501264	1.65921	2.738076	1.094043	1.044003	4.426948	4.396767	0.737617	0.642412	0.641903	7.045049	1.501196	1.349438	1.041286	1.063273	0.804786
Smp_000370	16.784579	11.0894	15.830326	23.391042	22.522898	22.143232	26.295506	25.898816	19.980447	20.534813	24.025927	23.03819	26.039274	27.551242	31.540138	30.376012	32.57446	22.985015	30.231353	27.66691	28.811671	28.815267	24.9206
Smp_000390	0.331109	0.881832	0.334841	0.292511	0.26408	0.254581	1.35888	1.442995	0.148502	0.120512	0.505996	1.587873	1126.389698	987.759991	16.374973	58.52284	13.554836	1249.99961	2.209983	5.949116	2.062376	1.886573	0.612201
Smp_000420	0.537659	2.104526	0.944138	1.601191	1.269885	4.694914	7.037463	6.555406	5.135344	4.375164	3.475945	6.966846	2475.337012	2286.649127	61.312013	229.697065	67.163281	3462.904083	7.596846	17.908265	9.40692	6.820933	3.323817
Smp_000430	0.771491	1.743705	1.111005	1.37352	1.039086	24.182106	25.708749	17.204583	13.502076	19.181037	11.987978	5.953949	4087.224021	3661.748772	56.801636	213.315693	35.6945	4603.447789	7.51574	19.798252	11.04513	8.835297	4.082823
Smp_000470	46.663259	38.417683	45.401006	120.613323	120.23244	83.381087	78.936745	80.802814	82.836075	99.871739	66.801718	51.113824	22.415682	23.556757	53.913392	44.18215	64.457515	32.247782	58.772512999999996	50.254283	44.033493	42.04565	42.319567
Smp_000480	63.332639	53.334781	67.30981100000001	52.699305	53.650982	27.369063	30.467575999999998	28.26425	35.93683	34.874479	29.797065	24.330879	21.24098	18.636253	24.785207	24.322344	24.781447	21.560623	23.85646	27.925589	26.691635	25.64933	22.648722
Smp_000500	0.031881	0	0	0	0	0	0	0	0.39884	0	0	0.134313	3.906832	2.563391	2.959962	2.75882	3.687003	2.606606	0.257537	0.266494	0.063149	0.126671	0.201443
Smp_000510	28.106691	17.958639	25.674199	65.623835	62.873342	89.186843	72.208396	113.393265	73.876288	90.122814	71.257425	35.380431	13.099065	10.450731	44.102835	40.952119	45.493267	13.990096	32.577458	34.576077	40.996099	39.437497	41.166037
Smp_000560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smp_000580	0.086142	0.153137	0.149676	1.104335	1.059897	77.298648	47.098501	48.488886	48.488265	54.3818	26.962897	4.934236	0.93172	0.701887	4.262621	4.275546	4.672174	0.959299	3.75446	2.994417	3.057197	2.952075	2.665049
Smp_000590	42.887639	31.362607	41.034776	49.518979	50.133984	51.170858	55.071468	54.729483	45.315892	45.816132	33.993804	35.720325	16.271521	12.865712	30.74176	31.366634	38.558402	21.508604	28.974986	30.227454	29.756879	26.178517	26.934761
Smp_000600	104.526749	82.649546	108.004558	87.834087	80.002221	43.341159	45.409829	54.656106	51.038182	59.871135	45.049813	27.874539	31.718577	27.114635	28.9822	27.998669	30.4976	35.728838	25.472544	31.005026	25.121696	24.358045	23.077924
Smp_000620	0.099068	0.154	0.115714	1.07248	0.228476	0.32888	0.882562	0.871397	0.927735	0.810951	0.307865	0.627208	0.03932	0.086314	0.418064	0.397971	0.306822	0.130106	0.24944	0.155068	0.19634	0.343986	0.657446
Smp_000630	16.309721	13.092133	21.021728	14.167313	17.364245	17.328147	21.67016	13.992419	15.285689	20.817037	15.261455	6.396419	4.684346	3.268682	10.41159	8.338471	10.118337	3.325653	8.806275	10.586475	7.966982	9.926838	12.282534
Smp_000640	31.533773	21.661007	30.108786	40.433789	39.778684	33.579046	21.728595	37.426642	35.441482	30.621592	33.587905	53.998304	30.055054	32.097987	61.067034	55.307716	53.562758	32.223675	62.493974	56.590316	50.068998	50.471712	49.802561
Smp_000650	21.087202	19.77153	24.193666	56.368677	61.248255	47.650189	57.410335	65.092013	63.439133	70.387757	41.579909	27.632708	14.9697	12.951804	30.549766	28.355136	29.825297	20.775923	23.517392	23.580206	24.873905	23.661053	24.22214
Smp_000660	2.200136	2.844989	2.570543	9.63166	11.50252	44.633766	38.759053	46.757132	34.384646	40.797241	31.679567	196.498231	119.11758	118.119948	123.504065	110.021701	123.842647	161.222392	192.590206	190.503769	168.590068	167.894724	165.050553
