gene_id	PRJEB14695__ovary_mixed_sex_r1	PRJEB14695__ovary_mixed_sex_r2	PRJEB14695__ovary_mixed_sex_r3	PRJEB14695__ovary_single_sex_r1	PRJEB14695__ovary_single_sex_r2	PRJEB14695__testis_mixed_sex_r1	PRJEB14695__testis_mixed_sex_r2	PRJEB14695__testis_mixed_sex_r3	PRJEB14695__testis_single_sex_r1	PRJEB14695__testis_single_sex_r2	PRJEB14695__testis_single_sex_r3	PRJEB14695__whole_female_mixed_sex_r1	PRJEB14695__whole_female_mixed_sex_r2	PRJEB14695__whole_female_mixed_sex_r3	PRJEB14695__whole_female_single_sex_r1	PRJEB14695__whole_female_single_sex_r2	PRJEB14695__whole_female_single_sex_r3	PRJEB14695__whole_male_mixed_sex_r1	PRJEB14695__whole_male_mixed_sex_r2	PRJEB14695__whole_male_mixed_sex_r3	PRJEB14695__whole_male_single_sex_r1	PRJEB14695__whole_male_single_sex_r2	PRJEB14695__whole_male_single_sex_r3
Smp_000020	4104.277	4105.375	4091.782	4105.063	4094.0599999999995	4087.288	4094.55	4115.423	4096.603	4089.69	4087.684	4111.663	4094.5440000000003	4092.003	4104.266	4080.713	4103.409	4088.068	4094.01	4099.047	4103.649	4097.542	4061.6139999999996
Smp_000030	3008.277	3009.375	2995.782	3009.063	2998.06	2991.288	2998.55	3019.423	3000.603	2993.69	2991.684	3015.663	2998.544	2996.003	3008.266	2984.713	3007.409	2992.068	2998.01	3003.047	3007.649	3001.542	2965.614
Smp_000040	2613.277	2614.375	2600.782	2614.063	2603.0599999999995	2596.288	2603.55	2624.423	2605.603	2598.69	2596.684	2620.663	2603.544	2601.003	2613.266	2589.713	2612.409	2597.068	2603.01	2608.047	2612.649	2606.542	2570.614
Smp_000050	6129.277	6130.375	6116.782	6130.063000000001	6119.06	6112.288	6119.55	6140.423	6121.603	6114.69	6112.684	6136.663	6119.544	6117.003	6129.266	6105.713	6128.409	6113.068	6119.01	6124.047	6128.649	6122.542	6086.614
Smp_000070	1195.277	1196.375	1182.782	1196.063	1185.06	1178.288	1185.55	1206.423	1187.6029999999998	1180.69	1178.684	1202.663	1185.544	1183.003	1195.266	1171.713	1194.409	1179.068	1185.01	1190.047	1194.6490000000001	1188.542	1152.614
Smp_000075	984.7552719870222	984.7552719870222	984.7552719870222	984.7552719870222	984.7552719870222	982.288	984.7552719870222	1010.423	984.7552719870222	984.7552719870222	982.684	984.7552719870222	984.7552719870222	984.7552719870222	984.7552719870222	984.7552719870222	984.7552719870222	984.7552719870222	984.7552719870222	984.7552719870222	984.7552719870222	992.542	956.614
Smp_000080	482.6829015184591	482.6829015184591	482.6829015184591	493.62	482.35	476.901	482.6829015184591	482.6829015184591	485.536	478.95	476.867	500.49099999999993	483.05	482.6829015184591	492.64	470.07	491.801	482.6829015184591	482.78	482.6829015184591	492.388	482.6829015184591	452.11400000000003
Smp_000100	8621.277	8622.375	8608.782	8622.063	8611.06	8604.288	8611.55	8632.423	8613.603	8606.69	8604.684	8628.663	8611.544	8609.003	8621.266	8597.713	8620.409	8605.068	8611.01	8616.047	8620.649	8614.542	8578.614
Smp_000110	4514.277	4515.375	4501.782	4515.063	4504.06	4497.288	4504.55	4525.423	4506.603	4499.69	4497.684	4521.663	4504.544	4502.003	4514.266	4490.713	4513.409	4498.068	4504.01	4509.047	4513.649	4507.542	4471.614
Smp_000130	4168.277	4169.375	4155.782	4169.063	4158.06	4151.288	4158.55	4179.423	4160.603	4153.69	4151.684	4175.663	4158.544	4156.003	4168.266	4144.713	4167.409	4152.068	4158.01	4163.047	4167.649	4161.542	4125.614
Smp_000150	5494.277	5495.375	5481.782	5495.063	5484.06	5477.288	5484.55	5505.423	5486.603	5479.69	5477.684	5501.663	5484.544	5482.003	5494.266	5470.713	5493.409	5478.068	5484.01	5489.047	5493.649	5487.542	5451.614
Smp_000160	4033.2770000000005	4034.375	4020.782	4034.0629999999996	4023.0600000000004	4016.2879999999996	4023.5500000000006	4044.4229999999993	4025.603	4018.69	4016.684	4040.663	4023.544	4021.003	4033.2660000000005	4009.7129999999997	4032.4089999999997	4017.0680000000007	4023.0100000000007	4028.047	4032.6490000000003	4026.542	3990.6140000000005
Smp_000180	1182.065846097432	1182.065846097432	1182.065846097432	1192.063	1182.065846097432	1174.288	1182.065846097432	1202.423	1183.603	1176.69	1174.684	1198.663	1181.544	1179.003	1191.266	1167.713	1190.409	1175.068	1181.01	1186.047	1190.649	1184.542	1148.614
Smp_000190	1490.277	1491.375	1477.782	1491.063	1480.06	1473.288	1480.55	1501.423	1482.603	1475.69	1473.684	1497.663	1480.544	1478.003	1490.266	1466.7129999999997	1489.409	1474.068	1480.01	1485.047	1489.6489999999997	1483.542	1447.614
Smp_000200	9332.277	9333.375	9319.782	9333.063	9322.06	9315.288000000002	9322.55	9343.423	9324.603	9317.69	9315.684	9339.663	9322.544	9320.003	9332.266	9308.713	9331.409	9316.068	9322.01	9327.047	9331.649	9325.542	9289.614
Smp_000230	7117.277000000001	7118.375	7104.782	7118.063	7107.060000000001	7100.288	7107.55	7128.423	7109.603	7102.69	7100.684	7124.6630000000005	7107.544	7105.002999999999	7117.266	7093.713000000001	7116.409	7101.067999999999	7107.01	7112.046999999999	7116.649	7110.542	7074.614
Smp_000240	1581.2770000000003	1582.3749999999998	1568.782	1582.0629999999999	1571.06	1564.2880000000002	1571.55	1592.423	1573.603	1566.69	1564.684	1588.663	1571.544	1569.003	1581.266	1557.713	1580.409	1565.068	1571.01	1576.0470000000003	1580.6489999999997	1574.542	1538.614
